metadata_decision,crawl_rescue,review_reason,score,title,source,date,url,query_family,query_id,product_hits,adulteration_hits,enforcement_hits,india_hits,exclude_hits,query_used
confirm_metadata_drop,0,,9,How Safe Is It To Reuse Cooking Oil? Experts Weigh In,ndtv.com,2023-07-03,https://food.ndtv.com/food-drinks/how-safe-is-it-to-reuse-cooking-oil-experts-weigh-in-4172691,boolean,boolean_core_oils_fraud,cooking oil,reuse,,indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,How Safe Is It To Reuse Cooking Oil? Experts Weigh In,ndtv.com,2023-07-03,https://food.ndtv.com/food-drinks/will-re-using-leftover-cooking-oil-harm-your-family-read-this-1714132#publisher=newsstand,boolean,boolean_core_oils_fraud,cooking oil,reuse,,indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,Is it safe to reuse cooking oil? Smart ways to reuse this oil beyond kitchen,indiatimes.com,2025-11-29,https://timesofindia.indiatimes.com/life-style/food-news/is-it-safe-to-reuse-cooking-oil-smart-ways-to-reuse-this-oil-beyond-kitchen/articleshow/125658111.cms,boolean,boolean_core_oils_fraud,cooking oil,reuse,,india,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,Is it safe to reuse cooking oil? Ways to clean it at home,indiatimes.com,2024-07-10,https://timesofindia.indiatimes.com/life-style/food-news/is-it-safe-to-reuse-cooking-oil-ways-to-clean-it-at-home/articleshow/111615587.cms,boolean,boolean_core_oils_fraud,cooking oil,reuse,,india,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,oil term appears near adulteration/enforcement term | excluded context: mawa,9,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa edible oil worth Rs 29L,indiatimes.com,2026-02-26,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,boolean,boolean_core_oils_fraud,edible oil,adulterat,fsda; raid; raids; seize; seized,fsda; india; kanpur,mawa,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,oil term appears near adulteration/enforcement term | excluded context: paneer,9,"Paneer adulterated with vegetable oil, FDA collects samples",indiatimes.com,2024-08-21,https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,boolean,boolean_core_oils_fraud,vegetable oil,adulterat,fda; sample; samples,india; noida,paneer,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,RUCO to put an end to concerns over reuse of cooking oil in eateries,thehindu.com,2022-07-17,https://www.thehindu.com/news/national/kerala/ruco-to-put-an-end-to-concerns-over-reuse-of-cooking-oil-in-eateries/article65647306.ece,proximity,proximity_oil_food_safety,cooking oil,reuse,,indian_source; kerala,,"(""oil food safety""~10 AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,Smart Ways to Reuse Cooking Oil Safely at Home,thehansindia.com,2026-02-07,https://www.thehansindia.com/life-style/smart-ways-to-reuse-cooking-oil-safely-at-home-1046385,boolean,boolean_core_oils_fraud,cooking oil,reuse,,india; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"110 kg Chicken, Adulterated Materials Seized In Unlicensed Hyderabad Godown",ndtv.com,2026-06-19,https://food.ndtv.com/news/110-kg-chicken-adulterated-materials-seized-in-unlicensed-hyderabad-godown-11658820#publisher=newsstand,boolean,boolean_core_oils_fraud,,adulterat,seize; seized,hyderabad; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"22 cases booked in Cyberabad food adulteration crackdown, ₹64 lakh worth goods seized",thehindu.com,2026-04-22,https://www.thehindu.com/news/cities/Hyderabad/22-cases-booked-in-cyberabad-food-adulteration-crackdown-64-lakh-worth-goods-seized/article70892711.ece,boolean,boolean_core_oils_fraud,,adulterat,crackdown; seize; seized,hyderabad; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"3,500 kg Of <i>Saunf</i> Adulterated With Unsafe Green Colour Seized In Gujarat",ndtv.com,2026-05-23,https://food.ndtv.com/news/3-500-kg-of-fake-saunf-adulterated-with-unsafe-green-colour-seized-in-gujarat-11536427#publisher=newsstand,boolean,boolean_core_oils_fraud,,adulterat; fake; unsafe,seize; seized,gujarat; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"5 Easy Food Adulteration Tests You Can Perform At Home, As Shared By Food Authority",ndtv.com,2023-11-13,https://food.ndtv.com/food-drinks/food-adulteration-tests-5-easy-food-safety-tests-you-can-perform-at-home-as-shared-by-food-authority-4569847#publisher=newsstand,boolean,boolean_core_oils_fraud,,adulterat,food safety,indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,A massive percentage of pani puri samples fail quality test: FSSAI,indiatimes.com,2024-06-29,https://timesofindia.indiatimes.com/life-style/food-news/a-massive-percentage-of-pani-puri-samples-fail-quality-test-fssai/articleshow/111363315.cms,boolean,boolean_oils_enforcement_evidence,,quality test,fssai; quality test; sample; samples,fssai; india,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"" OR ""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND ((adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND ((FSSAI OR FDA OR FSDA OR ""food safety"" OR ""food safety department"" OR ""food safety officer"") OR (raid* OR seiz* OR ""sample collected"" OR ""samples collected"" OR ""samples sent"" OR ""lab test"" OR ""quality test"" OR prosecut* OR penal* OR fine OR ban* OR ""license suspended"" OR ""licence suspended"" OR ""shop sealed"" OR warehouse OR godown OR arrest* OR crackdown OR inspection))) AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"AMC food department: 409 samples taken from 1,027 food units in 15 days, 27 samples declared unfit & harmful",indianexpress.com,2026-06-19,https://indianexpress.com/article/cities/ahmedabad/amc-food-department-409-samples-taken-from-1027-food-units-in-15-days-27-samples-declared-unfit-harmful-10746785/,boolean,boolean_core_oils_fraud,,unfit,sample; samples,india; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,Adulterated Food Threatens Public Health in Gadwal District; Inspections Reduced to a Formality,thehansindia.com,2025-04-28,https://www.thehansindia.com/telangana/adulterated-food-threatens-public-health-in-gadwal-district-inspections-reduced-to-a-formality-966491,boolean,boolean_core_oils_fraud,,adulterat,inspection,india; indian_source; telangana,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,Alarming 8.3% of Food Samples in Gujarat Fail Safety Tests Amidst Growing Concerns Over Adulteration,indiatimes.com,2024-12-09,https://timesofindia.indiatimes.com/city/ahmedabad/alarming-83-of-food-samples-in-gujarat-fail-safety-tests-amidst-growing-concerns-over-adulteration/articleshow/116114619.cms,boolean,boolean_core_oils_fraud,,adulterat,sample; samples,gujarat; india,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"Assam food safety raids uncover illegal fruit ripening, unsafe food products",assamtribune.com,2026-06-16,https://assamtribune.com/guwahati/assam-food-safety-raids-uncover-illegal-fruit-ripening-unsafe-food-products-1612781,boolean,boolean_named_oils_fraud,,unsafe,food safety; raid; raids,assam,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"BMC to inspect sweet shops, storage facilities to keep a tab on food contamination",indianexpress.com,2023-09-19,https://indianexpress.com/article/cities/mumbai/bmc-inspection-sweet-shops-food-contimination-mumbai-8947311/,boolean,boolean_core_oils_fraud,,contaminat,inspection,india; indian_source; mumbai,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,Can’t eat this! 78 food samples unfit: FSSAI,newindianexpress.com,2022-10-26,https://www.newindianexpress.com/cities/bengaluru/2022/oct/26/cant-eat-this-78-food-samples-unfit-fssai-2511737.html,boolean,boolean_core_oils_fraud,,unfit,fssai; sample; samples,fssai; india; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,Crackdown on Food Adulteration Intensifies Across AP: Satyakumar,deccanchronicle.com,2026-02-13,https://www.deccanchronicle.com/southern-states/andhra-pradesh/crackdown-on-food-adulteration-intensifies-across-ap-satyakumar-1937008,boolean,boolean_core_oils_fraud,,adulterat,crackdown,andhra; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,Crackdown on Food Adulteration in Jamshedpur Ahead of Festive Season,indiatimes.com,2024-10-22,https://timesofindia.indiatimes.com/city/ranchi/crackdown-on-food-adulteration-in-jamshedpur-ahead-of-festive-season/articleshow/114440879.cms,boolean,boolean_core_oils_fraud,,adulterat,crackdown,india; ranchi,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,Crackdown on adulteration: Food Safety Department conducts raids in Mussoorie,garhwalpost.in,2026-03-03,https://garhwalpost.in/crackdown-on-adulteration-food-safety-department-conducts-raids-in-mussoorie/,boolean,boolean_named_oils_fraud,,adulterat,crackdown; food safety; food safety department; raid; raids,food safety department; indian_source,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"Cyberabad Cops Book 28, Seize Adulterated Food Worth Rs 64 Lakh",deccanchronicle.com,2026-04-22,https://www.deccanchronicle.com/southern-states/telangana/cyberabad-cops-book-28-seize-adulterated-food-worth-rs-64-lakh-1952140,boolean,boolean_core_oils_fraud,,adulterat,seize,indian_source; telangana,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,no edible-oil product signal,8,"Dairy products unit raided on suspicion of adulteration, owner booked",thehindu.com,2024-10-17,https://www.thehindu.com/news/cities/Hyderabad/hyderabad-dairy-products-unit-raided-on-suspicion-of-adulteration-owner-booked/article68763777.ece,boolean,boolean_core_oils_fraud,,adulterat,raid; raided,hyderabad; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
