article_id,title,source,date,url,file_path,query_family,query_id,rule_candidate,oil_role,final_label,confidence,reason,evidence_phrase,edible_oil_terms,adulteration_action_terms,negative_terms,llm_label,llm_confidence,llm_reason,llm_model,query_used,crawl_priority
3779,11 persons held for possession of narcotics in Ayanavaram and Vanagaram in two separate cases,thehindu.com,2026-06-20,https://www.thehindu.com/news/cities/chennai/11-persons-held-for-possession-of-narcotics-in-ayanavaram-and-vanagaram-in-two-separate-cases/article71122173.ece,,proximity,proximity_oil_seized,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"(""oil seized""~8 AND language:en) AND NOT (ghee OR vanaspati)",drop
10,"110 kg Chicken, Adulterated Materials Seized In Unlicensed Hyderabad Godown",ndtv.com,2026-06-19,https://food.ndtv.com/news/110-kg-chicken-adulterated-materials-seized-in-unlicensed-hyderabad-godown-11658820#publisher=newsstand,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"110 kg Chicken, Adulterated Materials Seized In Unlicensed Hyderabad Godown https://food.ndtv.com/news/110-kg-chicken-adulterated-materials-seized-in-unlicensed-hydera",,adulterated; seized,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
11,"H-FAST raids unlicensed food godown in Charminar, seizes adulterated food",thehindu.com,2026-06-19,https://www.thehindu.com/news/national/telangana/h-fast-raids-unlicensed-food-godown-in-charminar-seizes-adulterated-food/article71121824.ece,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"H-FAST raids unlicensed food godown in Charminar, seizes adulterated food https://www.thehindu.com/news/national/telangana/h-fast-raids-unlicensed-food-godown-in-charminar-seizes-adulterated-food/article71121",,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
12,34 people fall ill in suspected food poisoning case after eating pizza in Maharashtra’s Bhiwandi,livemint.com,2026-06-19,https://www.livemint.com/news/india/34-people-fall-ill-in-suspected-food-poisoning-case-after-eating-pizza-in-maharashtra-s-bhiwandi-11781889067823.html,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
13,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 14 entities over misleading claims",thehansindia.com,2026-06-19,https://www.thehansindia.com/news/national/fssai-issues-notices-to-marico-ferrero-bikanervala-among-14-entities-over-misleading-claims-1087940,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 14 entities over misleading claims https://www.thehansindia.com/news/national/fssai-is",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
14,Why is FSSAI cracking down on food brands?,businesstoday.in,2026-06-19,https://www.businesstoday.in/india/story/why-is-fssai-cracking-down-on-food-brands-538120-2026-06-19,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,Why is FSSAI cracking down on food brands? https://www.businesstoday.in/india/story/why-is-fssai-cracking-down-on-food-brands-538120-2026-06-19,,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
15,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock",mumbainews.net,2026-06-19,http://www.mumbainews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-stock,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock http://www.mumbainews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-",,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
16,"FSSAI serves notices to Bikanervala, Param Dairy on hygiene-related complaints from consumers",newindianexpress.com,2026-06-19,https://www.newindianexpress.com/india/2026/Jun/19/fssai-serves-notices-to-bikanervala-param-dairy-on-hygiene-related-complaints-from-consumers,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI serves notices to Bikanervala, Param Dairy on hygiene-related complaints from consumers https://www.newindianexpress.com/india/2026/Jun/19/",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
17,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock",bombaynews.net,2026-06-19,http://www.bombaynews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-stock,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock http://www.bombaynews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-",,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
18,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock",indiasnews.net,2026-06-19,http://www.indiasnews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-stock,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock http://www.indiasnews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-",,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
19,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 1",easternmirrornagaland.com,2026-06-19,https://www.easternmirrornagaland.com/fssai-issues-notices-to-marico-ferrero-bikanervala-among-14-entities-over-misleading-claims,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 1 https://www.easternmirrornagaland.com/fssai-issues-notices-to-marico-ferrero-bikaner",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
20,"FSSAI issues notices to food firms over claims, labelling and hygiene",business-standard.com,2026-06-19,https://www.business-standard.com/industry/news/fssai-issues-notices-to-food-firms-over-claims-labelling-and-hygiene-126061901185_1.html,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI issues notices to food firms over claims, labelling and hygiene https://www.business-standard.com/industry/news/fssai-issues-notices-to-foo",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
21,"FSSAI issues notices to Bikanervala, Marico, Param Dairy on consumer complaints, law violation",indiatimes.com,2026-06-19,https://economictimes.indiatimes.com/industry/cons-products/food/fssai-issues-notices-to-bikanervala-marico-param-dairy-on-consumer-complaints-law-violation/articleshow/131860222.cms,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI issues notices to Bikanervala, Marico, Param Dairy on consumer complaints, law violation https://economictimes.indiatimes.com/industry/cons",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
22,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock",newdelhinews.net,2026-06-19,http://www.newdelhinews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterated-stock,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"Telangana: Hyderabad Police busts illegal food godown in Charminar, seizes 110 kg adulterated stock http://www.newdelhinews.net/news/279133450/telangana-hyderabad-police-busts-illegal-food-godown-in-charminar-seizes-110-kg-adulterate",,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
23,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 14 entities over misleading claims",morungexpress.com,2026-06-19,https://morungexpress.com/fssai-issues-notices-to-marico-ferrero-bikanervala-among-14-entities-over-misleading-claims,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 14 entities over misleading claims https://morungexpress.com/fssai-issues-notices-to-m",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
24,H-Fast Busts Unlicensed Fast-food Godown in Charminar; Seizes Adulterated Food,deccanchronicle.com,2026-06-19,https://www.deccanchronicle.com/southern-states/telangana/h-fast-busts-unlicensed-fast-food-godown-in-charminar-seizes-adulterated-food-1964649,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,H-Fast Busts Unlicensed Fast-food Godown in Charminar; Seizes Adulterated Food https://www.deccanchronicle.com/southern-states/telangana/h-fast-busts-unlicensed-fast-food-godown-in-charminar-seizes-adulterated-foo,,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
25,"FSSAI pulls up more brands for misleading claims, labels",thehindubusinessline.com,2026-06-19,https://www.thehindubusinessline.com/companies/fssai-pulls-up-more-brands-for-misleading-claims-labels/article71121034.ece,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI pulls up more brands for misleading claims, labels https://www.thehindubusinessline.com/companies/fssai-pulls-up-more-brands-for-misleading",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
26,110 kg fried chicken seized at Charminar godown over food safety lapses,siasat.com,2026-06-19,https://www.siasat.com/110-kg-fried-chicken-seized-at-charminar-godown-over-food-safety-lapses-3492067/,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,110 kg fried chicken seized at Charminar godown over food safety lapses https://www.siasat.com/110-kg-fried-chicken-seized-at-charminar-godown-over-food-safety-lapses-,,seized; food safety,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
27,H-Fast Busts Unlicensed Fast-food Godown in Charminar,etemaaddaily.com,2026-06-19,http://www.en.etemaaddaily.com/world/hyderabad/h-fast-busts-unlicensed-fast-food-godown-in-charminar:1949,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
28,Tata and Hyundai's AI ads raise a bigger question for creativity,afaqs.com,2026-06-19,https://www.afaqs.com/news/advertising/tata-and-hyundais-ai-ads-raise-a-bigger-question-for-creativity-12052273,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
29,"AMC food department: 409 samples taken from 1,027 food units in 15 days, 27 samples declared unfit & harmful",indianexpress.com,2026-06-19,https://indianexpress.com/article/cities/ahmedabad/amc-food-department-409-samples-taken-from-1027-food-units-in-15-days-27-samples-declared-unfit-harmful-10746785/,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
