keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count,normalized_keyword,suppression_reason
nagar food safety authorities,yake,1,0.333333,1,1,0.0,0.984012,0.02381,0.125,0.301658,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...ied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,nagar food safety authority,not_selected_after_manual_cleanup
seized adulterated food items,yake,1,0.333333,1,1,0.0,0.983696,0.02381,0.125,0.301579,incident/action phrase,manual_review,incident/action phrase needs human pruning,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts of the district over the last 15-20 days. The total amount of s...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,seized adulterated food item,not_selected_after_manual_cleanup
seizing adulterated food items,yake,1,0.333333,1,1,0.0,0.982286,0.02381,0.125,0.301226,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...e Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,seizing adulterated food item,not_selected_after_manual_cleanup
fda officials seized,yake,1,0.333333,1,1,0.0,0.979461,0.02381,0.125,0.30052,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...city and found boxes of shrikhand with no manufacturing or expiry date. Taking serious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over Rs 18,000. FDA food inspectors also raided an oil stockies...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda official seized,not_selected_after_manual_cleanup
nagar food safety,yake,1,0.333333,1,1,0.0,0.978787,0.02381,0.125,0.300352,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...ied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and G...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,nagar food safety,near_duplicate: local fragment covered by food safety
fda food,yake,1,0.333333,1,1,0.0,0.975689,0.02381,0.125,0.299577,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...ious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over Rs 18,000. FDA food inspectors also raided an oil stockiest in Sinnar and seized 53 cans of loose soyabean oil, another 41 boxes...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda food,near_duplicate: fragment covered by FDA
fda officials seized shrikhand,yake,1,0.333333,1,1,0.0,0.974416,0.02381,0.125,0.299259,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...city and found boxes of shrikhand with no manufacturing or expiry date. Taking serious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over Rs 18,000. FDA food inspectors also raided an oil stockiest in Sinna...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda official seized shrikhand,not_selected_after_manual_cleanup
food safety officer suresh,yake,1,0.333333,1,1,0.0,0.97275,0.02381,0.125,0.298842,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Ja...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,food safety officer suresh,near_duplicate: named-person fragment covered by food safety officer
fda food inspectors,yake,1,0.333333,1,1,0.0,0.970641,0.02381,0.125,0.298315,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...ious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over Rs 18,000. FDA food inspectors also raided an oil stockiest in Sinnar and seized 53 cans of loose soyabean oil, another 41 boxes of re-used...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda food inspector,not_selected_after_manual_cleanup
food safety raids,yake,1,0.333333,1,1,0.0,0.966101,0.02381,0.125,0.29718,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplie...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,food safety raid,not_selected_after_manual_cleanup
seized adulterated food,yake,1,0.333333,1,1,0.0,0.964289,0.02381,0.125,0.296727,incident/action phrase,manual_review,incident/action phrase needs human pruning,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts of the district over the last 15-20 days. The total amoun...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,seized adulterated food,broad_or_noisy: broad mixed-food phrase; use existing seized/adulterated terms with oil terms
fda conducted operations,yake,1,0.333333,1,1,0.0,0.964199,0.02381,0.125,0.296705,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"The state department had raided a factory in Vashi area of Navi Mumbai on Tuesday, while the FDA conducted operations at units in Bhiwandi and Mira Road, the official said. The raids were conducted based on information about ad...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,fda conducted operation,not_selected_after_manual_cleanup
seizing adulterated food,yake,1,0.333333,1,1,0.0,0.961776,0.02381,0.125,0.296099,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...e Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, s...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,seizing adulterated food,broad_or_noisy: broad mixed-food phrase; use existing seized/adulterated terms with oil terms
lakhs seized sources revealed,yake,1,0.333333,1,1,0.0,0.961383,0.02381,0.125,0.296,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the oper...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,lakh seized source revealed,not_selected_after_manual_cleanup
worth lakhs seized sources,yake,1,0.333333,1,1,0.0,0.960253,0.02381,0.125,0.295718,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,worth lakh seized source,not_selected_after_manual_cleanup
food safety authorities,yake,1,0.333333,1,1,0.0,0.957797,0.02381,0.125,0.295104,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...th safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,food safety authority,not_selected_after_manual_cleanup
fda officials raided,yake,1,0.333333,1,1,0.0,0.955519,0.02381,0.125,0.294535,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...efined soyabean oil and 28 boxes of re-used palmolein oil, collectively worth Rs1.93 lakh. On November 1, the FDA officials raided a cold storage in Satpur and found over 10,000 kg of chilli powder worth over Rs 16 lakh and another 4,200 kg...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda official raided,not_selected_after_manual_cleanup
raids conducted,phrase_frequency; tfidf,2,0.666667,1,1,0.175213,0.0,0.02381,0.125,0.150312,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edi...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,raid conducted,not_selected_after_manual_cleanup
refined palmolein,phrase_frequency; tfidf; yake,3,1.0,5,2,0.243659,0.955181,0.119048,0.25,0.479433,other_candidate,drop,outside edible-oil/adulteration domain,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of e...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,refined palmolein,extractor_label_drop
found,yake,1,0.333333,20,6,0.0,0.987648,0.47619,0.75,0.464174,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...allegedly used expired ingredients, synthetic food colours, and hazardous chemicals. Many establishments were found operating in highly unhygienic conditions without valid FSSAI certification or trade licences. Overall, the p...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,found,extractor_label_drop
officials,yake,1,0.333333,14,5,0.0,0.977903,0.333333,0.625,0.421559,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,...ve-member committee under Nabha SDM officer to scrutinise and take forward an earlier investigation by health officials into three dropsy deaths which took place in Nabha in Sep this year. Chief minister field officer Navdeep Sin...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,official,extractor_label_drop
economic times prime,tfidf; yake,2,0.666667,2,1,0.188251,0.976002,0.047619,0.125,0.402448,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...(Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Eco...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,economic time prime,extractor_label_drop
sweets,yake,1,0.333333,10,4,0.0,0.963245,0.238095,0.5,0.384859,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a maj...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,sweet,extractor_label_drop
