keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count
collected edible oil samples,yake,1,0.333333,1,1,0.0,0.478363,0.01,0.055556,0.162757,oil/product,manual_review,food/product term is relevant but not strong enough alone,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...ctor of the Food Safety department, which comes under Institute of Preventive Medicine, said that their teams collected edible oil samples over three days and those have been sent to the State Food Laboratory in Nacharam. The tests are conducted to...",2,3,unique_round_02_relevant_articles_only,18
teams collected edible oil,yake,1,0.333333,1,1,0.0,0.477693,0.01,0.055556,0.16259,oil/product,manual_review,food/product term is relevant but not strong enough alone,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"..., director of the Food Safety department, which comes under Institute of Preventive Medicine, said that their teams collected edible oil samples over three days and those have been sent to the State Food Laboratory in Nacharam. The tests are cond...",2,3,unique_round_02_relevant_articles_only,18
seized adulterated food items,yake,1,0.333333,1,1,0.0,0.475282,0.01,0.055556,0.161987,incident/action phrase,manual_review,incident/action phrase needs human pruning,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts of the district over the last 15-20 days. The total amount of s...,2,3,unique_round_02_relevant_articles_only,18
telangana food safety authority,yake,1,0.333333,1,1,0.0,0.474851,0.01,0.055556,0.161879,incident/action phrase,manual_review,incident/action phrase needs human pruning,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...dible oil in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State, and collec...",2,3,unique_round_02_relevant_articles_only,18
telangana food safety,yake,1,0.333333,1,1,0.0,0.473654,0.01,0.055556,0.16158,incident/action phrase,manual_review,incident/action phrase needs human pruning,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...dible oil in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State,...",2,3,unique_round_02_relevant_articles_only,18
samples collected,phrase_frequency; tfidf,2,0.666667,0,0,0.198462,0.0,0.0,0.0,0.136128,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,,,,,2,3,unique_round_02_relevant_articles_only,18
raids conducted,phrase_frequency; tfidf,2,0.666667,1,1,0.160014,0.0,0.01,0.055556,0.132505,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edi...",2,3,unique_round_02_relevant_articles_only,18
found substandard,phrase_frequency; tfidf,2,0.666667,1,1,0.147034,0.0,0.01,0.055556,0.127962,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...department will now be sending notices to seek explanations from the manufacturers of the products which were found substandard. The official added that five samples of edible oil, 23 samples of milk and related products, six products of...",2,3,unique_round_02_relevant_articles_only,18
greater noida,phrase_frequency; tfidf,2,0.666667,4,2,0.098907,0.0,0.04,0.111111,0.123951,location,manual_review,location term; useful only if we decide to add geography-specific queries,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...same day, officials inspected Janaki Ballabh Foods Private Limited in UPSIDC Industrial Area, Site 5, Kasna, Greater Noida, and found edible oil containers bearing the fortification logo without actual fortification, which is mandat...",2,3,unique_round_02_relevant_articles_only,18
administration fda,phrase_frequency; tfidf,2,0.666667,0,0,0.110626,0.0,0.0,0.0,0.105386,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,,,,,2,3,unique_round_02_relevant_articles_only,18
drug administration fda,phrase_frequency; tfidf,2,0.666667,0,0,0.110626,0.0,0.0,0.0,0.105386,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,,,,,2,3,unique_round_02_relevant_articles_only,18
food drug administration fda,phrase_frequency; tfidf,2,0.666667,0,0,0.110626,0.0,0.0,0.0,0.105386,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,,,,,2,3,unique_round_02_relevant_articles_only,18
refined soybean oil pouches,phrase_frequency; tfidf,2,0.666667,0,0,0.107497,0.0,0.0,0.0,0.104291,oil/product,manual_review,food/product term is relevant but not strong enough alone,,,,,2,3,unique_round_02_relevant_articles_only,18
soybean oil pouches,phrase_frequency; tfidf,2,0.666667,0,0,0.107497,0.0,0.0,0.0,0.104291,oil/product,manual_review,food/product term is relevant but not strong enough alone,,,,,2,3,unique_round_02_relevant_articles_only,18
soybean oil pouches refined,phrase_frequency; tfidf,2,0.666667,0,0,0.107497,0.0,0.0,0.0,0.104291,oil/product,manual_review,food/product term is relevant but not strong enough alone,,,,,2,3,unique_round_02_relevant_articles_only,18
food,yake,1,0.333333,84,16,0.0,0.480072,0.84,0.888889,0.412685,other_candidate,drop,outside edible-oil/adulteration domain,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were colle...",2,3,unique_round_02_relevant_articles_only,18
drug administration,phrase_frequency; tfidf; yake,3,1.0,9,5,0.144041,0.476754,0.09,0.277778,0.324769,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that residents receive safe and pure festive d...",2,3,unique_round_02_relevant_articles_only,18
food items,phrase_frequency; tfidf; yake,3,1.0,8,5,0.145342,0.477685,0.08,0.277778,0.323958,other_candidate,drop,outside edible-oil/adulteration domain,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports,...",2,3,unique_round_02_relevant_articles_only,18
oil traders,phrase_frequency; tfidf; yake,3,1.0,6,2,0.195085,0.475809,0.06,0.111111,0.312899,other_candidate,drop,low score or outside edible-oil/adulteration scope,13,50 cases registered during raids on oil shops in A.P.     ,https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,"...gilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more than 250 places as the teams verified the stock,...",2,3,unique_round_02_relevant_articles_only,18
safety,yake,1,0.333333,34,12,0.0,0.478149,0.34,0.666667,0.303871,other_candidate,drop,outside edible-oil/adulteration domain,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...ation was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",2,3,unique_round_02_relevant_articles_only,18
palmolein oil,phrase_frequency; tfidf; yake,3,1.0,6,3,0.132267,0.47378,0.06,0.166667,0.298739,other_candidate,drop,low score or outside edible-oil/adulteration scope,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...eized 53 cans of loose soyabean oil, another 41 boxes of re-used refined soyabean oil and 28 boxes of re-used palmolein oil, collectively worth Rs1.93 lakh. On November 1, the FDA officials raided a cold storage in Satpur and found o...",2,3,unique_round_02_relevant_articles_only,18
oil samples,phrase_frequency; tfidf; yake,3,1.0,4,4,0.11226,0.476054,0.04,0.222222,0.297638,other_candidate,drop,low score or outside edible-oil/adulteration scope,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...is currently absconding. The warehouse has been closed, and a notice is being posted. Once the owner arrives, oil samples will be sent for testing. If found guilty, strict action will be taken."" FSDA Agra conducted inspections acro...",2,3,unique_round_02_relevant_articles_only,18
samples of the oil,yake,1,0.333333,1,1,0.0,1.0,0.01,0.055556,0.293167,other_candidate,drop,low score or outside edible-oil/adulteration scope,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...trict to Muhana Anaj Mandi in Jaipur. Upon surveillance, the goods were found being unloaded at Muhana Mandi. Samples of the oil were taken under the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Of...",2,3,unique_round_02_relevant_articles_only,18
found,yake,1,0.333333,31,11,0.0,0.476067,0.31,0.611111,0.290517,other_candidate,drop,outside edible-oil/adulteration domain,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...hich were collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradu...",2,3,unique_round_02_relevant_articles_only,18
edible oils,phrase_frequency; tfidf; yake,3,1.0,5,3,0.10656,0.476417,0.05,0.166667,0.2889,other_candidate,drop,low score or outside edible-oil/adulteration scope,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte...",2,3,unique_round_02_relevant_articles_only,18
refined palmolein oil,phrase_frequency; tfidf; yake,3,1.0,5,2,0.130076,0.475287,0.05,0.111111,0.288515,other_candidate,drop,low score or outside edible-oil/adulteration scope,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of expir...",2,3,unique_round_02_relevant_articles_only,18
state food,phrase_frequency; tfidf; yake,3,1.0,4,2,0.097036,0.476476,0.04,0.111111,0.275748,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...ctivity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and Drug Administration (FDA) due to hygiene violations. The restaurant is the 18th in the city to be tempora...,2,3,unique_round_02_relevant_articles_only,18
russian president vladimir putin,phrase_frequency; tfidf; yake,3,1.0,4,1,0.119067,0.478753,0.04,0.055556,0.275695,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultura...,2,3,unique_round_02_relevant_articles_only,18
president vladimir putin,phrase_frequency; tfidf; yake,3,1.0,4,1,0.119067,0.475815,0.04,0.055556,0.274961,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultura...,2,3,unique_round_02_relevant_articles_only,18
russian president vladimir,phrase_frequency; tfidf; yake,3,1.0,4,1,0.119067,0.475293,0.04,0.055556,0.27483,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted c...,2,3,unique_round_02_relevant_articles_only,18
officials,yake,1,0.333333,23,10,0.0,0.473655,0.23,0.555556,0.26958,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out...",2,3,unique_round_02_relevant_articles_only,18
collected,yake,1,0.333333,28,9,0.0,0.475302,0.28,0.5,0.269159,other_candidate,drop,outside edible-oil/adulteration domain,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oi...",2,3,unique_round_02_relevant_articles_only,18
food samples,phrase_frequency; yake,2,0.666667,3,3,0.0,0.475901,0.03,0.166667,0.215142,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...ound to be substandard, was collected during a special state-wide drive in October last year. The rest of the food samples were collected in February and March 2021. âAmong the 19 samples whose reports arrived on Monday, seven were...",2,3,unique_round_02_relevant_articles_only,18
petersburg international economic forum,phrase_frequency; yake,2,0.666667,3,1,0.0,0.477469,0.03,0.055556,0.198867,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,2,3,unique_round_02_relevant_articles_only,18
petersburg international economic,phrase_frequency; yake,2,0.666667,3,1,0.0,0.473632,0.03,0.055556,0.197908,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta...,2,3,unique_round_02_relevant_articles_only,18
food safety and standards,yake,1,0.333333,4,3,0.0,0.476756,0.04,0.166667,0.183522,enforcement/evidence,drop,weak domain term below threshold,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...ing. The FSDA has sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",2,3,unique_round_02_relevant_articles_only,18
food safety and drug,yake,1,0.333333,3,3,0.0,0.477603,0.03,0.166667,0.182234,enforcement/evidence,drop,weak domain term below threshold,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that residents receive safe and...",2,3,unique_round_02_relevant_articles_only,18
food and drug administration,yake,1,0.333333,6,2,0.0,0.478211,0.06,0.111111,0.178553,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts...,2,3,unique_round_02_relevant_articles_only,18
mustard,phrase_frequency; tfidf,2,0.666667,6,5,0.155973,0.0,0.06,0.277778,0.171924,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said tha...",2,3,unique_round_02_relevant_articles_only,18
food safety regulations,yake,1,0.333333,2,2,0.0,0.475152,0.02,0.111111,0.171788,enforcement/evidence,drop,weak domain term below threshold,14,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,"...atories are awaited in the the remaining three, Zirwal said while assuring strict action against violators of food safety regulations. In a separate discussion, Minister-in-Charge Shambhuraj Desai informed the assembly that a panel of architec...",2,3,unique_round_02_relevant_articles_only,18
coconut,phrase_frequency; tfidf,2,0.666667,7,1,0.224216,0.0,0.07,0.055556,0.163976,other_candidate,drop,low score or outside edible-oil/adulteration scope,17,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,"Tightening the noose around the adulterated coconut oil manufacturers, the State government has decided to allow a manufacturer to launch only one brand of cocon...",2,3,unique_round_02_relevant_articles_only,18
state food laboratory,yake,1,0.333333,2,1,0.0,0.47553,0.02,0.055556,0.163549,other_candidate,drop,outside edible-oil/adulteration domain,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...Medicine, said that their teams collected edible oil samples over three days and those have been sent to the State Food Laboratory in Nacharam. The tests are conducted to determine the acid value of oil and nature of oil among other factors...",2,3,unique_round_02_relevant_articles_only,18
refined soybean,phrase_frequency; tfidf,2,0.666667,7,4,0.150149,0.0,0.07,0.222222,0.163052,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...nder unhygienic conditions. In addition, 800 kg of edible oil â including 600 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establ...",2,3,unique_round_02_relevant_articles_only,18
