keep,keyword_or_keyphrase,review_label,source,category,composite_score,methods_found,method_count,total_frequency,document_frequency,review_reason,example_article_title,example_context,example_url,source_round_number,next_round_target
,edible oil samples,manual_review,extraction_unique_r2_relevant,oil/product,0.205736,phrase_frequency; yake,2,2,2,food/product term is relevant but not strong enough alone,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration","...Research Institute (CFTRI) in Mysuru in Karnataka, Zirwal said in the assembly. During 2024-25, a total of 12 edible oil samples were collected in Nandurbar district, out of which five were declared substandard, with legal proceedings ini...",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,2,3
,substandard edible oil,manual_review,extraction_unique_r2_relevant,incident/action phrase,0.171523,yake,1,2,2,incident/action phrase needs human pruning,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration","...cers failed to act, which has now resulted in disciplinary action. Officials found responsible in the case of substandard edible oil in Nandurbar district will be suspended, and the concerned company will be shut down,"" Zirwal informed the Ho...",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,2,3
,edible oil worth,manual_review,extraction_unique_r2_relevant,oil/product,0.163429,yake,1,2,1,food/product term is relevant but not strong enough alone,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,"...of Holi, the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team rai...",https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,collected edible oil samples,manual_review,extraction_unique_r2_relevant,oil/product,0.162757,yake,1,1,1,food/product term is relevant but not strong enough alone,Oil’s not well? Food safety teams smell fraud,"...ctor of the Food Safety department, which comes under Institute of Preventive Medicine, said that their teams collected edible oil samples over three days and those have been sent to the State Food Laboratory in Nacharam. The tests are conducted to...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,teams collected edible oil,manual_review,extraction_unique_r2_relevant,oil/product,0.16259,yake,1,1,1,food/product term is relevant but not strong enough alone,Oil’s not well? Food safety teams smell fraud,"..., director of the Food Safety department, which comes under Institute of Preventive Medicine, said that their teams collected edible oil samples over three days and those have been sent to the State Food Laboratory in Nacharam. The tests are cond...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,seized adulterated food items,manual_review,extraction_unique_r2_relevant,incident/action phrase,0.161987,yake,1,1,1,incident/action phrase needs human pruning,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts of the district over the last 15-20 days. The total amount of s...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,telangana food safety authority,manual_review,extraction_unique_r2_relevant,incident/action phrase,0.161879,yake,1,1,1,incident/action phrase needs human pruning,Oil’s not well? Food safety teams smell fraud,"...dible oil in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State, and collec...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,telangana food safety,manual_review,extraction_unique_r2_relevant,incident/action phrase,0.16158,yake,1,1,1,incident/action phrase needs human pruning,Oil’s not well? Food safety teams smell fraud,"...dible oil in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State,...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,samples collected,manual_review,extraction_unique_r2_relevant,enforcement/evidence,0.136128,phrase_frequency; tfidf,2,0,0,domain term is plausible but weaker or too broad,,,,2,3
,raids conducted,manual_review,extraction_unique_r2_relevant,enforcement/evidence,0.132505,phrase_frequency; tfidf,2,1,1,domain term is plausible but weaker or too broad,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edi...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,found substandard,manual_review,extraction_unique_r2_relevant,adulteration/fraud,0.127962,phrase_frequency; tfidf,2,1,1,domain term is plausible but weaker or too broad,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...department will now be sending notices to seek explanations from the manufacturers of the products which were found substandard. The official added that five samples of edible oil, 23 samples of milk and related products, six products of...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,greater noida,manual_review,extraction_unique_r2_relevant,location,0.123951,phrase_frequency; tfidf,2,4,2,location term; useful only if we decide to add geography-specific queries,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...same day, officials inspected Janaki Ballabh Foods Private Limited in UPSIDC Industrial Area, Site 5, Kasna, Greater Noida, and found edible oil containers bearing the fortification logo without actual fortification, which is mandat...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,administration fda,manual_review,extraction_unique_r2_relevant,enforcement/evidence,0.105386,phrase_frequency; tfidf,2,0,0,domain term is plausible but weaker or too broad,,,,2,3
,drug administration fda,manual_review,extraction_unique_r2_relevant,enforcement/evidence,0.105386,phrase_frequency; tfidf,2,0,0,domain term is plausible but weaker or too broad,,,,2,3
,food drug administration fda,manual_review,extraction_unique_r2_relevant,enforcement/evidence,0.105386,phrase_frequency; tfidf,2,0,0,domain term is plausible but weaker or too broad,,,,2,3
,refined soybean oil pouches,manual_review,extraction_unique_r2_relevant,oil/product,0.104291,phrase_frequency; tfidf,2,0,0,food/product term is relevant but not strong enough alone,,,,2,3
,soybean oil pouches,manual_review,extraction_unique_r2_relevant,oil/product,0.104291,phrase_frequency; tfidf,2,0,0,food/product term is relevant but not strong enough alone,,,,2,3
,soybean oil pouches refined,manual_review,extraction_unique_r2_relevant,oil/product,0.104291,phrase_frequency; tfidf,2,0,0,food/product term is relevant but not strong enough alone,,,,2,3
,palm olein oil,manual_review,rescue_manual,oil/product,,manual_article_read,1,2,1,spaced spelling variant of palmolein found in a new relevant article title,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India","Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India Kanpur: Teams of FSA on Thursday seized over 604 liters of mustard and palm o...",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,2,3
,dropsy deaths,manual_review,rescue_manual,health/adulterant signal,,manual_article_read,1,2,1,health-outcome phrase tied to argemone/mustard-oil adulteration in a new relevant article,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India Patiala: The Patiala deputy commiss...,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,adulteration of sunflower oil,manual_review,rescue_manual,adulteration/fraud,,manual_article_read,1,1,1,specific oil-plus-adulteration phrase from a new relevant article,"Maha govt, FDA crack down on oil manufacturers to check on adulteration","...A conducted operations at units in Bhiwandi and Mira Road, the official said. The raids were conducted based on information about adulteration of sunflower oil, which was allegedly being mixed with palm oil and sold in Mumbai and parts of Maharashtra such as Panvel, Alibaug, Raigad, among...",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,2,3
,fortification logo,manual_review,rescue_manual,adulteration/fraud,,manual_article_read,1,3,2,label-fraud phrase from articles where oil carried a fortification logo without fortification,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...allabh Foods Private Limited in UPSIDC Industrial Area, Site 5, Kasna, Greater Noida, and found edible oil containers bearing the fortification logo without actual fortification, which is mandated by FSSAI for vitamins A and D.  ""During an inspectionâ¦ the products bore the for...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,without actual fortification,manual_review,rescue_manual,adulteration/fraud,,manual_article_read,1,1,1,fortification-fraud phrase from a new relevant edible-oil article,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...e Limited in UPSIDC Industrial Area, Site 5, Kasna, Greater Noida, and found edible oil containers bearing the fortification logo without actual fortification, which is mandated by FSSAI for vitamins A and D.  ""During an inspectionâ¦ the products bore the fortification logo but fortifica...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,labelling violations,manual_review,rescue_manual,adulteration/fraud,,manual_article_read,1,1,1,mislabelling/food-fraud phrase from a new relevant edible-oil article,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...estive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,food,drop,extraction_unique_r2_relevant,other_candidate,0.412685,yake,1,84,16,outside edible-oil/adulteration domain,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were colle...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,drug administration,drop,extraction_unique_r2_relevant,other_candidate,0.324769,phrase_frequency; tfidf; yake,3,9,5,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that residents receive safe and pure festive d...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food items,drop,extraction_unique_r2_relevant,other_candidate,0.323958,phrase_frequency; tfidf; yake,3,8,5,outside edible-oil/adulteration domain,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports,...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,oil traders,drop,extraction_unique_r2_relevant,other_candidate,0.312899,phrase_frequency; tfidf; yake,3,6,2,low score or outside edible-oil/adulteration scope,50 cases registered during raids on oil shops in A.P.     ,"...gilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more than 250 places as the teams verified the stock,...",https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,2,3
,safety,drop,extraction_unique_r2_relevant,other_candidate,0.303871,yake,1,34,12,outside edible-oil/adulteration domain,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...ation was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,palmolein oil,drop,extraction_unique_r2_relevant,other_candidate,0.298739,phrase_frequency; tfidf; yake,3,6,3,low score or outside edible-oil/adulteration scope,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India","...eized 53 cans of loose soyabean oil, another 41 boxes of re-used refined soyabean oil and 28 boxes of re-used palmolein oil, collectively worth Rs1.93 lakh. On November 1, the FDA officials raided a cold storage in Satpur and found o...",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,oil samples,drop,extraction_unique_r2_relevant,other_candidate,0.297638,phrase_frequency; tfidf; yake,3,4,4,low score or outside edible-oil/adulteration scope,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...is currently absconding. The warehouse has been closed, and a notice is being posted. Once the owner arrives, oil samples will be sent for testing. If found guilty, strict action will be taken."" FSDA Agra conducted inspections acro...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,samples of the oil,drop,extraction_unique_r2_relevant,other_candidate,0.293167,yake,1,1,1,low score or outside edible-oil/adulteration scope,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India","...trict to Muhana Anaj Mandi in Jaipur. Upon surveillance, the goods were found being unloaded at Muhana Mandi. Samples of the oil were taken under the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Of...",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,2,3
,found,drop,extraction_unique_r2_relevant,other_candidate,0.290517,yake,1,31,11,outside edible-oil/adulteration domain,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...hich were collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradu...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,edible oils,drop,extraction_unique_r2_relevant,other_candidate,0.2889,phrase_frequency; tfidf; yake,3,5,3,low score or outside edible-oil/adulteration scope,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
,refined palmolein oil,drop,extraction_unique_r2_relevant,other_candidate,0.288515,phrase_frequency; tfidf; yake,3,5,2,low score or outside edible-oil/adulteration scope,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of expir...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,state food,drop,extraction_unique_r2_relevant,other_candidate,0.275748,phrase_frequency; tfidf; yake,3,4,2,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",...ctivity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and Drug Administration (FDA) due to hygiene violations. The restaurant is the 18th in the city to be tempora...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,russian president vladimir putin,drop,extraction_unique_r2_relevant,other_candidate,0.275695,phrase_frequency; tfidf; yake,3,4,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultura...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,president vladimir putin,drop,extraction_unique_r2_relevant,other_candidate,0.274961,phrase_frequency; tfidf; yake,3,4,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultura...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,russian president vladimir,drop,extraction_unique_r2_relevant,other_candidate,0.27483,phrase_frequency; tfidf; yake,3,4,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted c...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,officials,drop,extraction_unique_r2_relevant,other_candidate,0.26958,yake,1,23,10,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,collected,drop,extraction_unique_r2_relevant,other_candidate,0.269159,yake,1,28,9,outside edible-oil/adulteration domain,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oi...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,food samples,drop,extraction_unique_r2_relevant,other_candidate,0.215142,phrase_frequency; yake,2,3,3,low score or outside edible-oil/adulteration scope,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...ound to be substandard, was collected during a special state-wide drive in October last year. The rest of the food samples were collected in February and March 2021. âAmong the 19 samples whose reports arrived on Monday, seven were...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,petersburg international economic forum,drop,extraction_unique_r2_relevant,other_candidate,0.198867,phrase_frequency; yake,2,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,petersburg international economic,drop,extraction_unique_r2_relevant,other_candidate,0.197908,phrase_frequency; yake,2,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,food safety and standards,drop,extraction_unique_r2_relevant,enforcement/evidence,0.183522,yake,1,4,3,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...ing. The FSDA has sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food safety and drug,drop,extraction_unique_r2_relevant,enforcement/evidence,0.182234,yake,1,3,3,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that residents receive safe and...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food and drug administration,drop,extraction_unique_r2_relevant,other_candidate,0.178553,yake,1,6,2,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,mustard,drop,extraction_unique_r2_relevant,other_candidate,0.171924,phrase_frequency; tfidf,2,6,5,low score or outside edible-oil/adulteration scope,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said tha...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
