not_candidate,risk_flag,irrelevant_category,irrelevant_review_label,irrelevant_composite_score,irrelevant_document_frequency,irrelevant_total_frequency,positive_exact_kept,positive_overlap_terms,example_irrelevant_title,example_context
greater noida west,possible_not_candidate,other_junk,manual_review,0.100395,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...lterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his hands covered in oil. He claimed..."
greater noida resident claimed,possible_not_candidate,other_junk,manual_review,0.100333,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant t...
greater noida resident,possible_not_candidate,other_junk,manual_review,0.100218,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adul...
industrial acetic acid,possible_not_candidate,other_junk,drop,0.100215,1,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...ghly concentrated (often 99% or more). It can lead to major health issues like: Severe burns & tissue damage: Industrial acetic acid is highly corrosive and can burn the mouth, throat, and stomach lining and may cause permanent damage to inte..."
apartments in greater noida,possible_not_candidate,other_junk,manual_review,0.100201,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his hands covered in oil. He cla..."
stellar jeevan apartments,possible_not_candidate,other_junk,drop,0.100108,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...oil â a commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his hands cover..."
jeevan apartments in greater,possible_not_candidate,other_junk,drop,0.100007,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his hands covered in oil...."
heart disease,possible_not_candidate,other_junk,drop,0.1,2,4,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,...ations due to its versatility and long shelf life. Excessive consumption of palm oil may increase the risk of heart disease due to its high saturated fat content. It can also contribute to inflammation and weight gain if not consumed...
human consumption,possible_not_candidate,other_junk,drop,0.1,2,4,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...used in making plastics, dyes, and synthetic fibers). As per experts, use of industrial-grade acetic acid for human consumption is dangerous, as it is highly concentrated (often 99% or more). It can lead to major health issues like: Seve..."
noida west,possible_not_candidate,other_junk,manual_review,0.099423,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his hands covered in oil. He claimed..."
noida resident claimed,possible_not_candidate,other_junk,manual_review,0.099081,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant t...
jeevan apartments,possible_not_candidate,other_junk,drop,0.098778,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his hands cover..."
stellar jeevan,possible_not_candidate,other_junk,drop,0.098778,1,1,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...oil â a commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartments in Greater Noida West, said that when he went to chop the paneer he had just bought, he found his..."
across multiple,possible_not_candidate,other_junk,drop,0.09681,1,1,0,,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...tatewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake paneer, mawa and suspicious edible oil. In Ghaziabad, nearly 2,500 kg of paneer and..."
across multiple districts,possible_not_candidate,other_junk,drop,0.09681,1,1,0,,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...tatewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake paneer, mawa and suspicious edible oil. In Ghaziabad, nearly 2,500 kg of paneer and 200 kg of..."
authorities warning,possible_not_candidate,other_junk,drop,0.09681,1,1,0,,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...Saharanpur uncovered large quantities of suspected spurious paneer. Samples have been sent for testing, with authorities warning of strict action against adulterators as Holi approaches."
buddha nagar,possible_not_candidate,other_junk,drop,0.09681,1,1,0,,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...pur Dehat, officials seized around 30,000 containers of edible oil from four factories, while raids in Gautam Buddha Nagar and Saharanpur uncovered large quantities of suspected spurious paneer. Samples have been sent for testing, w..."
articles recently,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...tic acid. Then, vegetable oil was added to make it appear creamy and glossy. We also published the following articles recently Dairy farmers dispute reports of milk adulterationThe Progressive Dairy Farmers Association (PDFA) dismissed..."
control administration,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...oduction. Scroll down to find the detailed report. As per the latest news report In a raid, the Food and Drug Control Administration has seized 1500 kgs of adulterated paneer being manufactured in Ahmedabad, Gujarat. The incident happened on..."
following articles,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ce and acetic acid. Then, vegetable oil was added to make it appear creamy and glossy. We also published the following articles recently Dairy farmers dispute reports of milk adulterationThe Progressive Dairy Farmers Association (PDFA) d..."
following articles recently,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ce and acetic acid. Then, vegetable oil was added to make it appear creamy and glossy. We also published the following articles recently Dairy farmers dispute reports of milk adulterationThe Progressive Dairy Farmers Association (PDFA) dismissed..."
food products,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...istant commissioner of the food safety department Sarvesh Mishra said. This is not the first time adulterated food products have entered the markets. In March, six samples of paneer were found to be unsafe for consumption. As per rep..."
health benefits,possible_not_candidate,culinary/health_education,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...n a staple in Indian cuisine, known for its strong flavor and high smoke point. Recently, olive oil, with its health benefits and Mediterranean origins, has gained popularity. While olive oil is praised for heart health, mustard oil ha..."
high smoke,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...Mustard oil, derived from mustard seeds, has been a staple in Indian cuisine, known for its strong flavor and high smoke point. Recently, olive oil, with its health benefits and Mediterranean origins, has gained popularity. While..."
high smoke point,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...Mustard oil, derived from mustard seeds, has been a staple in Indian cuisine, known for its strong flavor and high smoke point. Recently, olive oil, with its health benefits and Mediterranean origins, has gained popularity. While olive..."
huge quantities,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ecently uncovered a fake tea powder manufacturing unit, highlighting rising concerns about food adulteration. Huge quantities of adulterated tea and packaging materials were found during a raid. The article offers tips on checking tea..."
issues like,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ilk production statistics and suggested the scare was a conspiracy to undermine milk producers, while genuine issues like adulterated paneer go unaddressed. How is olive oil different from mustard oil?Mustard oil, derived from must..."
rich source,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...times, adulteration of paneer has become a common practice by the market players in many cities. Paneer, as a rich source of protein for vegetarians has now become a matter of serious concern due to the use of dangerous chemicals i..."
smoke point,possible_not_candidate,other_junk,drop,0.096667,2,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...rd oil, derived from mustard seeds, has been a staple in Indian cuisine, known for its strong flavor and high smoke point. Recently, olive oil, with its health benefits and Mediterranean origins, has gained popularity. While olive..."
gobhi sarson,possible_not_candidate,other_junk,drop,0.07,1,4,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...ops which includes Indian mustard/raya/laha, Indian rapeseed/toria, yellow sarson, brown sarson, oilseed rape/gobhi sarson and Ethiopian mustard/African sarson and taramira which are used as edible oil. Black mustard/Banarasi rai (m..."
import palm,possible_not_candidate,price/trade/market,drop,0.06915,0,0,0,,,
warning customers,possible_not_candidate,other_junk,drop,0.06915,0,0,0,,,
decrease india,possible_not_candidate,other_junk,manual_review,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...apeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence on oil import. THE FOOD Safety Standards Authority of India (FSSAI) has banned blending of musta...
blood cholesterol,possible_not_candidate,culinary/health_education,drop,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...sterol scavenger and generates high density lipoprotein (HDL/good cholesterol). The PUFAs are known to reduce blood cholesterol, especially the harmful LDL and elevate HDL, which plays a role in transporting excess blood cholesterol back..."
canola varieties,possible_not_candidate,other_junk,drop,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...New Zealand etc., rapeseed-mustard conforming to canola norms can only be used as edible oil and oil from non-canola varieties is used for energy production (biofuel) or industrial purposes. They do not allow consumption of rapeseed-mus..."
contains higher,possible_not_candidate,other_junk,drop,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...s also a rich source of plant sterols and vitamin E, which protects the body from cardiovascular diseases and contains higher levels of plant sterols and Vitamin E than soybean, and corn oil. It contains higher plant sterols than sunfl..."
low erucic,possible_not_candidate,other_junk,drop,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...be reduced from rapeseed-mustard oil? Need to lower harmful erucic acid in oil has led to the development of low erucic acid varieties in rapeseed-mustard crops. Rapeseed-mustard varieties with ‘low erucic’ (less than 2 per cent)...
plant sterols,possible_not_candidate,other_junk,drop,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...to Omega 3 is effective in reducing the risk of heart diseases. Rapeseed-mustard oil is also a rich source of plant sterols and vitamin E, which protects the body from cardiovascular diseases and contains higher levels of plant stero..."
saturated fatty,possible_not_candidate,price/trade/market,drop,0.068333,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...ty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including saturated fatty acids (SFAs), mono-unsaturated fatty acids (MUFAs) and polyunsaturated fatty acids (PUFAs). The PUFAs are als..."
cent erucic,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...(monounsaturated fatty acids) and low proportion of omega 9. Regular consumption of oil with more than 20 per cent erucic acid in the diet can cause thickening of arteries, which may lead to diseases like myocardial fibrosis in adu..."
dairy farmers,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",...getable oil was added to make it appear creamy and glossy. We also published the following articles recently Dairy farmers dispute reports of milk adulterationThe Progressive Dairy Farmers Association (PDFA) dismissed social media a...
dairy products,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...bad, Gujarat. The incident happened on 4 February when an FDCA special squad from Gandhinagar raided Dwarkesh Dairy Products in Ahmedabad and seized a massive amount of adulterated paneer. It has been reported that the premises of Dwa..."
dwarkesh dairy,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...in Ahmedabad, Gujarat. The incident happened on 4 February when an FDCA special squad from Gandhinagar raided Dwarkesh Dairy Products in Ahmedabad and seized a massive amount of adulterated paneer. It has been reported that the premis..."
first time,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...when he went to chop the paneer he had just bought, he found his hands covered in oil. He claimed it was the first time that he had purchased paneer from the store near his housing complex. He claimed the manufacturer is based in..."
industrial grade,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...s being used for the manufacturing of the fake paneer including adulterants, large quantities of palm oil and industrial grade acetic acid were seized during the raid. What is Palm Oil? Palm oil is a type of vegetable oil derived from t..."
per cent erucic,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...cid (monounsaturated fatty acids) and low proportion of omega 9. Regular consumption of oil with more than 20 per cent erucic acid in the diet can cause thickening of arteries, which may lead to diseases like myocardial fibrosis in adu..."
purchase paneer,possible_not_candidate,other_junk,drop,0.066667,1,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",...tore near his housing complex. He claimed the manufacturer is based in Agra. âMost of the societyâs residents purchase paneer from there. Several local restaurants also purchase paneer from the store and we may have been consuming the...
authorities uttar pradesh,possible_not_candidate,other_junk,manual_review,0.065143,0,0,0,,,
authorities uttar pradesh intensified,possible_not_candidate,other_junk,manual_review,0.065143,0,0,0,,,
across multiple districts targeting,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
ahead holi,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
ahead holi authorities,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
ahead holi authorities uttar,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
around containers,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
authorities uttar,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
authorities warning strict,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
authorities warning strict action,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
buddha nagar saharanpur,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
buddha nagar saharanpur uncovered,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
dehat officials,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
destroyed hours,possible_not_candidate,other_junk,drop,0.065143,0,0,0,,,
acids such as omega,possible_not_candidate,other_junk,drop,0.065,1,1,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...aturated fatty acids (less than 10 per cent) and contains a relatively balanced proportion of essential fatty acids such as omega 6 and omega 3. This is in contrast to very high levels of saturated fatty acids in coconut (91 per cent), pal..."
decrease india dependence,possible_not_candidate,other_junk,manual_review,0.033333,0,0,0,,,
india dependence,possible_not_candidate,other_junk,manual_review,0.033333,0,0,0,,,
cent omega,possible_not_candidate,other_junk,drop,0.033333,0,0,0,,,
corn cottonseed,possible_not_candidate,financial,drop,0.033333,0,0,0,,,
less per,possible_not_candidate,other_junk,drop,0.033333,0,0,0,,,
