keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count,prior_keyword_match_file,normalized_keyword
food safety officers found,yake,1,0.333333,1,1,0.0,0.987724,0.02381,0.125,0.302586,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Jaipur. Food safety officers found expired materials at the bakery, which were seized. Action is now being taken to suspend its food licence. W...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,food safety officer found
food safety officer,yake,1,0.333333,1,1,0.0,0.967075,0.02381,0.125,0.297423,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sa...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,food safety officer
food safety officers,yake,1,0.333333,1,1,0.0,0.967075,0.02381,0.125,0.297423,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Jaipur. Food safety officers found expired materials at the bakery, which were seized. Action is now being taken to suspend its food licen...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,food safety officer
raids,phrase_frequency; tfidf,2,0.666667,7,6,0.225869,0.0,0.166667,0.75,0.283221,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ng units that were preparing ginger-garlic paste using harmful preservatives and fake branding. Following the raids, the police urged citizens to purchase food products only from licensed vendors, to check expiry dates, and t...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,raid
adulterated,phrase_frequency; tfidf,2,0.666667,8,3,0.267795,0.0,0.190476,0.375,0.245216,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the uni...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,adulterated
adulteration,phrase_frequency; tfidf,2,0.666667,6,4,0.216789,0.0,0.142857,0.5,0.238971,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major succes...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,adulteration
substandard,phrase_frequency; tfidf,2,0.666667,5,2,0.246359,0.0,0.119048,0.25,0.20825,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...uesday seized 6,683 litre of edible oil in Muhana Mandi and 6,000 litre at a factory in Niwai on suspicion of substandard quality. Health department officials said they had received information about substandard mustard oil of Rant...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,substandard
substandard quality,phrase_frequency; tfidf,2,0.666667,3,1,0.182782,0.0,0.071429,0.125,0.160105,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...uesday seized 6,683 litre of edible oil in Muhana Mandi and 6,000 litre at a factory in Niwai on suspicion of substandard quality. Health department officials said they had received information about substandard mustard oil of Ranthambore...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,substandard quality
food,yake,1,0.333333,40,7,0.0,1.0,0.952381,0.875,0.55744,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,food
economic times,phrase_frequency; tfidf; yake,3,1.0,4,1,0.376503,0.979719,0.095238,0.125,0.509741,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...nd Consumer Protection Department. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,reports\edible_oil_adulteration_round_01\not_terms_review\round_01_irrelevant_keyword_candidates.csv,economic time
food items,phrase_frequency; tfidf; yake,3,1.0,6,3,0.201116,0.991697,0.142857,0.375,0.495993,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ent Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,food item
drug administration,phrase_frequency; tfidf; yake,3,1.0,6,2,0.200802,0.989941,0.142857,0.25,0.476694,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,drug administration
food safety teams found,yake,1,0.333333,1,1,0.0,0.987717,0.02381,0.125,0.302584,enforcement/evidence,drop,non-oil food context without edible-oil signal,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them stored in unhygienic and contaminated conditions during a pre-Holi drive in GB Nagar. Assistant commiss...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,duplicate_within_round3_output,food safety team found
food safety teams,yake,1,0.333333,1,1,0.0,0.967061,0.02381,0.125,0.29742,enforcement/evidence,drop,non-oil food context without edible-oil signal,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them stored in unhygienic and contaminated conditions during a pre-Holi drive in GB Nagar. Assistant c...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,duplicate_within_round3_output,food safety team
edible,phrase_frequency; tfidf,2,0.666667,9,5,0.281132,0.0,0.214286,0.625,0.290956,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food a...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,edible
mustard,phrase_frequency; tfidf,2,0.666667,4,3,0.225494,0.0,0.095238,0.375,0.216125,other_candidate,drop,low score or outside edible-oil/adulteration scope,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...report to the CMâs field officer within seven days. During the probe, they found the affected family sourced mustard seeds from three places. They said adulteration was confirmed in oil samples tested in a lab. The affected fa...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,mustard
raided,phrase_frequency; tfidf,2,0.666667,5,2,0.205836,0.0,0.119048,0.25,0.194067,other_candidate,drop,low score or outside edible-oil/adulteration scope,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"The state department had raided a factory in Vashi area of Navi Mumbai on Tuesday, while the FDA conducted operations at units in Bhiwandi an...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,raided
sample,phrase_frequency; tfidf,2,0.666667,4,2,0.201547,0.0,0.095238,0.25,0.188994,other_candidate,drop,low score or outside edible-oil/adulteration scope,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...k Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for laboratory analysis. The remaining stock, about 100 kg, was destro...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,sample
assistant commissioner,phrase_frequency; tfidf,2,0.666667,3,3,0.157762,0.0,0.071429,0.375,0.188848,other_candidate,drop,outside edible-oil/adulteration domain,4,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,"...Besides, the department also collected as many as 23 samples for lab testing. According to Vijay Pratap Singh assistant commissioner (food) â II /designated officer on Thursday, raids were conducted in some big stores and sweets shops of the...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,f66bdd6f-22cb-438f-9381-21a2ca567634,timesofindia.indiatimes.com,indiatimes.com,2022-10-21,relevant,145,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,assistant commissioner
worth rs,tfidf,1,0.333333,3,3,0.245062,0.0,0.071429,0.375,0.186069,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...h operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources close to the development told Ind...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,worth rs
fssai,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.071429,0.375,0.100298,enforcement/evidence,drop,weak domain term below threshold,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...d hazardous chemicals. Many establishments were found operating in highly unhygienic conditions without valid FSSAI certification or trade licences. Overall, the police registered 22 cases and busted manufacturing units that...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,fssai
health department,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.071429,0.25,0.081548,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...societies. Three members of a family had died after consumption of unfit edible oil in Sept, after which the health department had issued an advisory and conducted a probe. Navdeep Singh said the committee will now act after going throu...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,health department
wheat flour,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...peration, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and il...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,wheat flour
samples of the oil,yake,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,other_candidate,drop,low score or outside edible-oil/adulteration scope,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...trict to Muhana Anaj Mandi in Jaipur. Upon surveillance, the goods were found being unloaded at Muhana Mandi. Samples of the oil were taken under the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Of...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,sample of the oil
