ensemble_prob,bucket,p_tfidf,p_e5,p_roberta,title,source,date,url,domain,query_family,word_count
0.6181,manual_review,0.357,0.958,0.473,5 hair oils which are best for men who balding,indiatimes.com,2024-08-09,https://timesofindia.indiatimes.com/life-style/beauty/5-hair-oils-which-are-best-for-men-who-balding/photostory/112164321.cms,timesofindia.indiatimes.com,boolean,486
0.5534,manual_review,0.58,0.629,0.437,Rs 46L fines issued after 153 food samples fail test,indiatimes.com,2024-12-18,https://timesofindia.indiatimes.com/city/noida/rs-46l-fines-issued-after-153-food-samples-fail-test/articleshow/116443411.cms,timesofindia.indiatimes.com,boolean,188
0.5464,manual_review,0.423,0.825,0.337,Telangana seeks new food testing laboratories to reduce delays,indiatimes.com,2026-01-03,https://timesofindia.indiatimes.com/city/hyderabad/telangana-seeks-new-food-testing-laboratories-to-reduce-delays/articleshow/126312457.cms,timesofindia.indiatimes.com,boolean,396
0.5389,manual_review,0.456,0.7,0.429,"Maggots found in FDA’s inspection in Mumbai’s Bademiya; Krishna Fastfood, Paradise Home Kitchen fined",indianexpress.com,2023-09-14,https://indianexpress.com/article/cities/mumbai/maggots-fdas-inspection-mumbais-bademiya-krishna-fastfood-paradise-home-kitchen-fined-8940407/,indianexpress.com,boolean,694
0.5121,manual_review,0.629,0.301,0.647,Raid Conducted on Fast Food Centers and Hotels for Using Adulterated Oils,thehansindia.com,2024-07-11,https://www.thehansindia.com/andhra-pradesh/raid-conducted-on-fast-food-centers-and-hotels-for-using-adulterated-oils-891217,thehansindia.com,title_only,146
0.5023,manual_review,0.52,0.398,0.609,"FSSAI seizes Rs 72k worth of sweets, savouries in Kovai, warns against reusing oil",newindianexpress.com,2024-10-29,https://www.newindianexpress.com/states/tamil-nadu/2024/Oct/29/fssai-seizes-rs-72k-worth-of-sweets-savouries-in-kovai-warns-against-reusing-oil,newindianexpress.com,boolean,261
0.45,manual_review,0.4,0.255,0.733,Storing cooking near the stove and other common mistakes you may be unknowingly making,indianexpress.com,2024-06-06,https://indianexpress.com/article/lifestyle/food-wine/how-to-store-cooking-oil-properly-stove-tips-mistakes-avoid-9375361/,indianexpress.com,boolean,651
0.4369,manual_review,0.409,0.412,0.495,Is adding camphor to your coconut oil good for your hair?,indiatimes.com,2024-08-15,https://timesofindia.indiatimes.com/life-style/beauty/is-adding-camphor-to-your-coconut-oil-good-for-your-hair/articleshow/111283466.cms,timesofindia.indiatimes.com,boolean,350
0.4307,manual_review,0.563,0.062,0.739,KSCDC to launch Coco Royal coconut oil,thehindu.com,2021-12-24,https://www.thehindu.com/news/national/kerala/kscdc-to-launch-coco-royal-coconut-oil/article38030514.ece,thehindu.com,boolean,197
0.4201,manual_review,0.323,0.478,0.447,"Beauty, personal care regulations in India: Progress, pitfalls and road ahead",siasat.com,2026-04-16,https://www.siasat.com/beauty-personal-care-regulations-in-india-progress-pitfalls-and-road-ahead-3454232/,siasat.com,boolean,890
0.4148,manual_review,0.374,0.416,0.454,Lucknow's Sahara Mall raided as UP govt cracks down on Halal-certified products,businesstoday.in,2023-11-20,https://www.businesstoday.in/latest/story/lucknows-sahara-mall-raided-as-up-govt-cracks-down-on-halal-certified-products-406437-2023-11-20?utm_source=rssfeed,businesstoday.in,boolean,351
0.3863,candidate_irrelevant,0.582,0.142,0.482,Chhattisgarh News: Food Safety Department Intensifies Sweet Quality Checks In Mahasamund Ahead Of Holi 2025,freepressjournal.in,2025-03-13,https://www.freepressjournal.in/india/chhattisgarh-news-food-safety-department-intensifies-sweet-quality-checks-in-mahasamund-ahead-of-holi-2025,freepressjournal.in,boolean,216
0.377,candidate_irrelevant,0.578,0.035,0.585,Black pepper worth Rs58 L seized on suspicion of being adulterated,indiatimes.com,2022-11-09,https://timesofindia.indiatimes.com/city/nagpur/black-pepper-worth-rs58-l-seized-on-suspicion-of-being-adulterated/articleshow/95387076.cms,timesofindia.indiatimes.com,boolean,318
0.375,candidate_irrelevant,0.462,0.195,0.503,"Pizza outlet adds chilli to seasoning, fails lab test",indiatimes.com,2024-08-08,https://timesofindia.indiatimes.com/city/noida/pizza-outlet-adds-chilli-to-seasoning-fails-lab-test/articleshow/112357602.cms,timesofindia.indiatimes.com,boolean,497
0.3696,candidate_irrelevant,0.663,0.001,0.516,Kerala Intensifies Food Safety Inspections Ahead of New Year Celebrations | Thiruvananthapuram News,indiatimes.com,2024-12-30,https://timesofindia.indiatimes.com/city/thiruvananthapuram/kerala-health-minister-veena-george-announces-intensified-food-safety-inspections-for-new-year/articleshow/116797482.cms,timesofindia.indiatimes.com,boolean,248
0.3601,candidate_irrelevant,0.284,0.325,0.478,Totally Bangin Self Tan Mousse Review,tribuneindia.com,2022-11-10,https://www.tribuneindia.com/news/brand-connect/totally-bangin-self-tan-mousse-review-natural-bronze-tanning-mousse-worth-it-449603,tribuneindia.com,boolean,1460
0.3536,candidate_irrelevant,0.491,0.132,0.481,500 kg of stale chicken seized in Kochi,newindianexpress.com,2023-01-13,https://www.newindianexpress.com/cities/kochi/2023/jan/13/500-kg-of-stale-chicken-seized-in-kochi-2537295.html,newindianexpress.com,boolean,412
0.3415,candidate_irrelevant,0.61,0.001,0.479,"Gautam Budh Nagar conducts food safety raids before Holi, Navratri",hindustantimes.com,2025-03-04,https://www.hindustantimes.com/cities/noida-news/gautam-budh-nagar-conducts-food-safety-raids-before-holi-navratri-101741028286287.html,hindustantimes.com,boolean,462
0.3412,candidate_irrelevant,0.622,0.005,0.462,21 establishments closed for non-compliance after statewide inspections,indiatimes.com,2025-01-08,https://timesofindia.indiatimes.com/city/thiruvananthapuram/21-establishments-closed-for-non-compliance-after-statewide-inspections/articleshow/117033839.cms,timesofindia.indiatimes.com,boolean,190
0.3393,candidate_irrelevant,0.504,0.013,0.564,"Sweet, Savoury Makers Under Fssai Lens Ahead Of Diwali",indiatimes.com,2022-10-12,https://timesofindia.indiatimes.com/city/trichy/sweet-savoury-makers-under-fssai-lens-ahead-of-diwali/articleshow/94800037.cms,timesofindia.indiatimes.com,boolean,320
0.3244,candidate_irrelevant,0.487,0.068,0.467,Rekha's govt steps up food safety drive ahead of Holi,thehansindia.com,2026-02-27,https://www.thehansindia.com/news/national/rekhas-govt-steps-up-food-safety-drive-ahead-of-holi-1052308,thehansindia.com,boolean,282
0.3201,candidate_irrelevant,0.497,0.075,0.436,Teams formed to inspect sweet shops ahead of Deepavali in Erode,thehindu.com,2025-10-09,https://www.thehindu.com/news/cities/Coimbatore/teams-formed-to-inspect-sweet-shops-ahead-of-deepavali-in-erode/article70142713.ece,thehindu.com,boolean,262
0.3163,candidate_irrelevant,0.443,0.045,0.513,"Consumer body urges Food Safety Department to inspect roadside eateries selling fried fish, meat in Salem",thehindu.com,2023-09-22,https://www.thehindu.com/news/cities/Coimbatore/consumer-body-urges-food-safety-department-to-inspect-roadside-eateries-selling-fried-fish-meat-in-salem/article67334874.ece,thehindu.com,boolean,233
0.3104,candidate_irrelevant,0.589,0.002,0.4,Bread with no tags seized from outlet in Noida,indiatimes.com,2026-01-01,https://timesofindia.indiatimes.com/city/noida/bread-with-no-tags-seized-from-outlet-in-noida/articleshow/126278282.cms,timesofindia.indiatimes.com,boolean,396
0.3077,candidate_irrelevant,0.486,0.029,0.462,Food Safety Dept Seizes 104.5 Kg Of Expired Meat In City,indiatimes.com,2023-09-21,https://timesofindia.indiatimes.com/city/coimbatore/food-safety-dept-seizes-104-5-kg-of-expired-meat-in-city/articleshow/103825526.cms,timesofindia.indiatimes.com,boolean,482
0.3048,candidate_irrelevant,0.387,0.027,0.554,Transparency in food manufacturing,sentinelassam.com,2024-04-27,https://www.sentinelassam.com/more-news/editorial/transparency-in-food-manufacturing,sentinelassam.com,boolean,819
0.3019,candidate_irrelevant,0.525,0.0,0.439,Stringent Measures Bring Down Unsafe Food Practices in Thiruvananthapuram | Thiruvananthapuram News,indiatimes.com,2024-02-09,https://timesofindia.indiatimes.com/city/thiruvananthapuram/stringent-measures-bring-down-unsafe-food-practices-in-thiruvananthapuram/articleshow/107540773.cms,timesofindia.indiatimes.com,boolean,414
0.3012,candidate_irrelevant,0.478,0.0,0.484,Food safety team takes samples for lab analysis,tribuneindia.com,2023-02-14,https://www.tribuneindia.com/news/jalandhar/food-safety-team-takes-samples-for-lab-analysis-479602,tribuneindia.com,boolean,127
0.2969,candidate_irrelevant,0.408,0.0,0.54,491 tonnes of banned tobacco products seized: Minister,thehindu.com,2022-03-25,https://www.thehindu.com/news/cities/chennai/491-tonnes-of-banned-tobacco-products-seized-minister/article65258831.ece,thehindu.com,boolean,283
0.2962,candidate_irrelevant,0.347,0.0,0.598,"If You Think That Red Sauce on Your Plate Is Tomato, Think Again – Dark Reality of Indian Street Food",thelogicalindian.com,2026-04-09,https://thelogicalindian.com/hapur-chemical-tomato-sauce-raid-street-food/,thelogicalindian.com,boolean,1055
0.2959,candidate_irrelevant,0.365,0.017,0.56,5 must-have natural ingredients to make you Holi ready,india.com,2021-03-28,https://zeenews.india.com/buzz/5-must-have-natural-ingredients-to-make-you-holi-ready-2351195.html,zeenews.india.com,boolean,439
0.2912,candidate_irrelevant,0.371,0.009,0.548,Mustard oil or olive oil: Which oil should be used for Indian cooking,indiatimes.com,2024-08-09,https://timesofindia.indiatimes.com/life-style/food-news/mustard-oil-or-olive-oil-which-oil-should-be-used-for-indian-cooking/articleshow/112397845.cms,timesofindia.indiatimes.com,boolean,567
0.2909,candidate_irrelevant,0.493,0.006,0.428,TTD EO crack down on hotel serving poor-quality food in Tirumala,thehindu.com,2024-07-18,https://www.thehindu.com/news/national/andhra-pradesh/ttd-eo-crack-down-on-hotel-serving-poor-quality-food-in-tirumala/article68417941.ece,thehindu.com,boolean,213
0.2898,candidate_irrelevant,0.513,0.0,0.413,Nine ill after eating grilled chicken from eatery in Madurai; probe on,indiatimes.com,2025-02-06,https://timesofindia.indiatimes.com/city/madurai/nine-ill-after-eating-chicken-from-eatery-in-madurai-probe-on/articleshow/117959429.cms,timesofindia.indiatimes.com,boolean,310
0.2859,candidate_irrelevant,0.42,0.0,0.493,​Boiled chana: 9 superhit recipes for evening snacks,indiatimes.com,2024-08-22,https://economictimes.indiatimes.com/news/web-stories/boiled-chana-9-superhit-recipes-for-evening-snacks/slideshow/112705803.cms,economictimes.indiatimes.com,boolean,194
0.2851,candidate_irrelevant,0.295,0.004,0.611,Oil cleansing: A fool-proof method to remove your makeup naturally,indianexpress.com,2021-02-07,https://indianexpress.com/article/lifestyle/life-style/makeup-removal-oil-cleansing-7178560/,indianexpress.com,boolean,359
0.2829,candidate_irrelevant,0.441,0.0,0.463,Govt declares war on food fraud; will use PD Act against offenders,thehansindia.com,2026-04-07,https://www.thehansindia.com/telangana/govt-declares-war-on-food-fraud-will-use-pd-act-against-offenders-1063357,thehansindia.com,boolean,460
0.2756,candidate_irrelevant,0.448,0.002,0.43,"Poor hygiene, expired food at top Hyderabad school",indiatimes.com,2023-09-16,https://timesofindia.indiatimes.com/city/hyderabad/poor-hygiene-expired-food-at-top-hyderabad-school/articleshow/103700820.cms,timesofindia.indiatimes.com,boolean,262
0.273,candidate_irrelevant,0.423,0.085,0.347,"1 lab, 2 states: Telanganaâs sole food testing facility delays safety reports by months",indiatimes.com,2026-01-03,https://timesofindia.indiatimes.com/city/hyderabad/1-lab-2-states-telanganas-sole-food-testing-facility-delays-safety-reports-by-months/articleshow/126318668.cms,timesofindia.indiatimes.com,boolean,404
0.273,candidate_irrelevant,0.337,0.024,0.507,How to use lemon oil to promote hair growth,indiatimes.com,2024-08-10,https://timesofindia.indiatimes.com/life-style/beauty/how-to-use-lemon-oil-to-promote-hair-growth/articleshow/111138231.cms,timesofindia.indiatimes.com,boolean,412
0.2691,candidate_irrelevant,0.467,0.001,0.391,Food Safety Officials to Check Food Joints Across State,deccanchronicle.com,2024-09-19,https://www.deccanchronicle.com/southern-states/andhra-pradesh/food-safety-officials-to-check-food-joints-across-state-1824652,deccanchronicle.com,boolean,285
0.2686,candidate_irrelevant,0.482,0.014,0.359,Street vendor awareness drive in Dibrugarh,indiatimes.com,2025-08-07,https://timesofindia.indiatimes.com/city/guwahati/street-vendor-awareness-drive-in-dibrugarh/articleshow/123172741.cms,timesofindia.indiatimes.com,boolean,91
0.2662,candidate_irrelevant,0.402,0.029,0.413,Food Adulteration Plagues Tirupati Eateries,deccanchronicle.com,2024-11-05,https://www.deccanchronicle.com/southern-states/andhra-pradesh/food-adulteration-plagues-tirupati-eateries-1835743,deccanchronicle.com,boolean,465
0.2641,candidate_irrelevant,0.393,0.001,0.449,Uttar Pradesh’s halal branding ban: Strategy to subjugate Muslims,thehindu.com,2024-01-03,https://frontline.thehindu.com/the-nation/frontline-on-air-uttar-pradeshs-halal-branding-ban-strategy-to-subjugate-muslims/article67698006.ece,frontline.thehindu.com,boolean,199
0.2637,candidate_irrelevant,0.425,0.0,0.417,Ministers order probe into food poisoning,thehindu.com,2022-06-04,https://www.thehindu.com/news/national/kerala/ministers-order-probe-into-food-poisoning/article65494802.ece,thehindu.com,boolean,341
0.2635,candidate_irrelevant,0.465,0.0,0.376,FDA seizes 239kg of suspected substandard paneer in Nashik,indiatimes.com,2025-03-25,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-239kg-of-suspected-substandard-paneer-in-nashik/articleshow/119488280.cms,timesofindia.indiatimes.com,boolean,482
0.2624,candidate_irrelevant,0.323,0.0,0.514,‘Operation Toofan’: over 400 arrested in Kozhikode this month,thehindu.com,2026-06-24,https://www.thehindu.com/news/national/kerala/operation-toofan-over-400-arrested-in-kozhikode-this-month/article71142006.ece,thehindu.com,proximity,348
0.2618,candidate_irrelevant,0.372,0.0,0.464,Must Try Recipe Homemade Gajar Ka Achaar Step By Step,india.com,2024-08-08,https://petuz.india.com/dishes/food-recipe/must-try-recipe-homemade-gajar-ka-achaar-step-by-step-7148303/,petuz.india.com,boolean,594
0.2611,candidate_irrelevant,0.351,0.015,0.465,Hyderabad food poisoning: Hygiene gaps stir the pot of sickness,thehindu.com,2024-11-29,https://www.thehindu.com/news/national/telangana/hyderabad-food-poisoning-hygiene-gaps-stir-the-pot-of-sickness/article68924611.ece,thehindu.com,boolean,1929
0.2604,candidate_irrelevant,0.48,0.0,0.351,Food Safety department to tighten vigil at border check-posts during Onam,thehindu.com,2023-08-23,https://www.thehindu.com/news/national/kerala/food-safety-department-to-tighten-vigil-at-border-check-posts-during-onam/article67227831.ece,thehindu.com,boolean,203
0.2589,candidate_irrelevant,0.375,0.0,0.452,Quick And Easy Coconut Curry Chicken Soup: A Wholesome Recipe You Should Try At Home This Monsoon Under 30 Minutes,hindustantimes.com,2026-06-24,https://www.hindustantimes.com/lifestyle/recipe/quick-and-easy-coconut-curry-chicken-soup-a-wholesome-recipe-you-should-try-at-home-this-monsoon-under-30-minutes-101782278626797.html,hindustantimes.com,boolean,995
0.2572,candidate_irrelevant,0.303,0.0,0.518,"This winter, manage your skin woes with these Ayurvedic remedies",indianexpress.com,2021-12-13,https://indianexpress.com/article/lifestyle/life-style/winter-season-skincare-ayurvedic-remedies-7667775/,indianexpress.com,boolean,316
0.2556,candidate_irrelevant,0.434,0.0,0.382,JSR food vendors come under quality scanner before festival,indiatimes.com,2025-03-07,https://timesofindia.indiatimes.com/city/ranchi/jsr-food-vendors-come-under-quality-scanner-before-festival/articleshow/118792750.cms,timesofindia.indiatimes.com,boolean,350
0.2548,candidate_irrelevant,0.287,0.001,0.526,5 Body Scrubs That Smell Delish & Leave Your Skin Soft AF,missmalini.com,2022-01-12,https://www.missmalini.com/2022/01/12/5-body-scrubs-that-smell-delish-leave-your-skin-soft-af/,missmalini.com,boolean,601
0.2541,candidate_irrelevant,0.281,0.006,0.523,Which olive oil can lower bad cholesterol and prevent heart attack?,indianexpress.com,2024-08-06,https://indianexpress.com/article/health-wellness/lower-heart-attack-risk-cholesterol-extra-virgin-olive-oil-most-effective-good-fat-9497385/,indianexpress.com,boolean,505
0.2526,candidate_irrelevant,0.445,0.0,0.362,"After inspections, food safety officials flag concern over contamination of paneer in Bengaluru",indianexpress.com,2025-03-27,https://indianexpress.com/article/cities/bangalore/food-safety-paneer-contamination-bengaluru-9909461/,indianexpress.com,boolean,510
0.2513,candidate_irrelevant,0.351,0.001,0.45,"Gurugram fake Mounjaro racket traces China link, online sales network",hindustantimes.com,2026-04-22,https://www.hindustantimes.com/cities/gurugram-news/gurugram-fake-mounjaro-racket-traces-china-link-online-sales-network-101776828290263.html,hindustantimes.com,boolean,553
0.2511,candidate_irrelevant,0.358,0.0,0.445,Master The Art Of Making Chicken Kebab With Just 6 Easy Steps,india.com,2024-08-12,https://petuz.india.com/dishes/food-recipe/master-the-art-of-making-chicken-kebab-with-just-6-easy-steps-7158503/,petuz.india.com,boolean,386
0.2507,candidate_irrelevant,0.337,0.002,0.461,Lookout for these 5 skin allergies during the monsoon season,indiatimes.com,2021-09-06,https://timesofindia.indiatimes.com/life-style/beauty/lookout-for-these-5-skin-allergies-during-the-monsoon-season/articleshow/85975812.cms,timesofindia.indiatimes.com,boolean,552
0.25,candidate_irrelevant,0.383,0.0,0.415,Crackdown on eateries in Tiruvannamalai district,thehindu.com,2021-09-12,https://www.thehindu.com/news/national/tamil-nadu/crackdown-on-eateries-in-tiruvannamalai-district/article36409637.ece,thehindu.com,boolean,357
0.2494,candidate_irrelevant,0.35,0.0,0.446,"Maharashtra FDA bans serving food in newspapers, issues statewide food safety order",indiatimes.com,2026-06-25,https://economictimes.indiatimes.com/news/india/maharashtra-fda-bans-serving-food-in-newspapers-issues-statewide-food-safety-order/articleshow/131985800.cms,economictimes.indiatimes.com,proximity,312
0.2474,candidate_irrelevant,0.29,0.008,0.491,Post-party night skincare regimes,thehansindia.com,2022-01-14,https://www.thehansindia.com/featured/womenia/post-party-night-skincare-regimes-724581,thehansindia.com,boolean,522
0.2471,candidate_irrelevant,0.284,0.003,0.501,Post-party skin care rituals that can bless you with a supple and radiant skin,freepressjournal.in,2022-01-16,https://www.freepressjournal.in/lifestyle/post-party-skin-care-rituals-that-can-bless-you-with-a-supple-and-radiant-skin,freepressjournal.in,boolean,519
0.2466,candidate_irrelevant,0.394,0.0,0.393,Dindigul reader’s mail,thehindu.com,2026-01-11,https://www.thehindu.com/news/cities/Madurai/dindigul-readers-mail/article70497451.ece,thehindu.com,boolean,379
0.2368,candidate_irrelevant,0.337,0.0,0.42,"A.P. Food Safety Department receives ₹80 crore funds for setting up food labs, says official",thehindu.com,2024-04-28,https://www.thehindu.com/news/national/andhra-pradesh/ap-food-safety-department-receives-80-crore-funds-for-setting-up-food-labs-says-official/article68118185.ece,thehindu.com,boolean,201
0.2368,candidate_irrelevant,0.281,0.0,0.475,Slice of an organic spice: The story behind Avadata Organics,thehindu.com,2021-12-02,https://www.thehindu.com/life-and-style/a-slice-of-an-organic-spice/article37801710.ece,thehindu.com,boolean,323
0.2366,candidate_irrelevant,0.359,0.0,0.397,"Two fall sick after eating McDonald’s burger, cake from Theobroma in Noida; food safety probe on",indianexpress.com,2024-04-30,https://indianexpress.com/article/trending/trending-in-india/mcdonalds-burger-fries-theobroma-cake-noida-food-safety-viral-9298460/,indianexpress.com,boolean,349
0.2354,candidate_irrelevant,0.354,0.0,0.398,Minister launches website for food safety and mobile app for consumers,thehindu.com,2023-05-04,https://www.thehindu.com/news/national/tamil-nadu/minister-launches-website-for-food-safety-and-mobile-app-for-consumers/article66808957.ece,thehindu.com,boolean,223
0.2351,candidate_irrelevant,0.308,0.0,0.443,How to make dinner without cooking anything,indianexpress.com,2021-08-25,https://indianexpress.com/article/lifestyle/food-wine/how-to-make-dinner-without-cooking-anything-7470550/,indianexpress.com,boolean,1736
0.2334,candidate_irrelevant,0.252,0.038,0.447,"Chhath politics, foaming Yamuna, and defoamers",indiatoday.in,2022-11-01,https://www.indiatoday.in/india/story/chhath-politics-yamuna-foam-defoamers-bjp-aap-delhi-2291839-2022-11-01?utm_source=rss,indiatoday.in,boolean,1285
0.2309,candidate_irrelevant,0.373,0.005,0.358,Diners Raise Concerns Over Overpricing and Hygiene at Highway Eateries,sentinelassam.com,2026-06-20,https://www.sentinelassam.com/breakingnews/diners-raise-concerns-over-overpricing-and-hygiene-at-highway-eateries,sentinelassam.com,boolean,233
0.2308,candidate_irrelevant,0.297,0.0,0.44,Not a fan of makeup? Try these dermatologist-approved tips to achieve a natural glow this festive season,hindustantimes.com,2024-08-14,https://www.hindustantimes.com/lifestyle/fashion/not-a-fan-of-makeup-try-these-dermatologist-approved-tips-to-achieve-a-natural-glow-this-festive-season-101723626885147.html,hindustantimes.com,boolean,905
0.2261,candidate_irrelevant,0.301,0.001,0.42,Winter haircare: Here’s how you can get rid of seasonal dandruff,indianexpress.com,2021-02-02,https://indianexpress.com/article/lifestyle/life-style/winter-haircare-seasonal-dandruff-remedies-7153056/,indianexpress.com,boolean,397
0.2258,candidate_irrelevant,0.367,0.0,0.354,Fight the freeze! How to protect your lips in winter,siasat.com,2021-01-02,https://www.siasat.com/fight-the-freeze-how-to-protect-your-lips-in-winter-2058759/,siasat.com,boolean,901
0.2251,candidate_irrelevant,0.324,0.0,0.394,How to lighten dark knees and elbows naturally,indiatimes.com,2021-03-02,https://timesofindia.indiatimes.com/life-style/beauty/how-to-lighten-dark-knees-and-elbows-naturally/articleshow/81276772.cms,timesofindia.indiatimes.com,boolean,882
0.2242,candidate_irrelevant,0.327,0.015,0.37,Why FSSAI has warned against wrapping food in newspapers,indianexpress.com,2026-06-09,https://indianexpress.com/article/lifestyle/health/why-fssai-has-warned-against-wrapping-food-in-newspapers-10731091/,indianexpress.com,boolean,573
0.2231,candidate_irrelevant,0.349,0.064,0.287,"Poultry stalls, slaughterhouses operate in Kerala flouting rules",newindianexpress.com,2022-07-14,https://www.newindianexpress.com/states/kerala/2022/jul/14/poultry-stalls-slaughterhousesoperate-in-kerala-flouting-rules-2476276.html,newindianexpress.com,boolean,596
0.2219,candidate_irrelevant,0.29,0.0,0.418,Premature grey hair? Natural remedies to fight it out,thehansindia.com,2021-08-07,https://www.thehansindia.com/featured/womenia/premature-grey-hair-natural-remedies-to-fight-it-out-700217,thehansindia.com,boolean,444
0.2211,candidate_irrelevant,0.268,0.0,0.438,Mira Kapoor reveals she didn’t go for bridal facial but used this DIY scrub instead,indianexpress.com,2021-01-05,https://indianexpress.com/article/lifestyle/life-style/mira-kapoor-diy-skincare-face-pack-hair-oil-scrub-7132372/,indianexpress.com,boolean,663
0.2169,candidate_irrelevant,0.326,0.0,0.367,Tomaticán recipe: The ultimate Chilean skillet comfort food for any day of the week,hindustantimes.com,2024-08-06,https://www.hindustantimes.com/lifestyle/recipe/tomaticn-recipe-the-ultimate-chilean-skillet-comfort-food-for-any-day-of-the-week-101722924256592.html,hindustantimes.com,boolean,569
0.2143,candidate_irrelevant,0.316,0.001,0.367,Anil Kapoor spotted at an event in Kolkata,indiatimes.com,2024-02-21,https://timesofindia.indiatimes.com/videos/entertainment/regional/bangla/anil-kapoor-spotted-at-an-event-in-kolkata/videoshow/107878585.cms,timesofindia.indiatimes.com,boolean,1715
0.2134,candidate_irrelevant,0.264,0.0,0.418,Tyler Perry CBD Gummies,tribuneindia.com,2022-12-16,https://www.tribuneindia.com/news/brand-connect/tyler-perry-cbd-gummies-dolly-parton-cbd-gummies-paul-mccartney-cbd-gummies-scam-exposed-truth-behind-review-461671,tribuneindia.com,boolean,1521
0.2124,candidate_irrelevant,0.316,0.001,0.361,YSRCP to field Ummareddy’s son,thehansindia.com,2024-02-10,https://www.thehansindia.com/andhra-pradesh/ysrcp-to-field-ummareddys-son-857703,thehansindia.com,boolean,547
0.2113,candidate_irrelevant,0.328,0.0,0.347,"Make ‘masala smashed potatoes’ for a fuss-free, delicious dinner tonight",indianexpress.com,2022-01-04,https://indianexpress.com/article/lifestyle/food-wine/an-easy-recipe-for-a-last-minute-addition-to-your-christmas-table-7688076/,indianexpress.com,boolean,155
0.2112,candidate_irrelevant,0.305,0.0,0.37,Say goodbye to body acne with these Ayurvedic home remedies,indianexpress.com,2021-08-11,https://indianexpress.com/article/lifestyle/life-style/body-acne-ayurveda-home-remedies-tips-7448528/,indianexpress.com,boolean,248
0.2104,candidate_irrelevant,0.356,0.0,0.316,"Rajpur: Government milk dairy in a mess, 7K litres milk rejected as samples fail tests",freepressjournal.in,2022-01-15,https://www.freepressjournal.in/indore/rajpur-government-milk-dairy-in-a-mess-7k-litres-milk-rejected-as-samples-fail-tests,freepressjournal.in,boolean,183
