keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,example_article_id,example_domain,example_publication_date,example_relevance_label,example_relevance_score,example_query_used,example_word_count
raid,phrase_frequency; tfidf,2,0.666667,38,19,0.27805,0.0,0.082969,0.186275,0.204371,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,...ided an unlicensed fast food godown in Charminar and the Hyderabad Commissioner's Task Force also conducted a raid and found shocking results. Scroll down to read the details. The Hyderabad Food Adulteration Surveillance Tea...,06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
food adulteration,phrase_frequency; tfidf,2,0.666667,46,28,0.177155,0.0,0.100437,0.27451,0.184913,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"Food adulteration has become every day affair. From ghee to milk, and meat to pulses, every ingredient is being adulterated and...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
cooking oil,phrase_frequency; tfidf,2,0.666667,44,24,0.187968,0.0,0.09607,0.235294,0.18216,oil/product,manual_review,food/product term is relevant but not strong enough alone,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...d godown in Charminar and seized around 110 kg of prepared fried chicken, half a dozen 15-litre tins of loose cooking oil and artificial chemical food colours. The H-FAST team posted on X,and mentioned that in association with the...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
raids,phrase_frequency; tfidf,2,0.666667,42,23,0.187973,0.0,0.091703,0.22549,0.180036,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...branded paneer across the city, seizing around 825 kilograms of suspected adulterated products during special raids. The team inspected nearly 45 retail outlets and eight manufacturing units and found several food business op...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
substandard,phrase_frequency; tfidf,2,0.666667,36,23,0.168196,0.0,0.078603,0.22549,0.171149,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,3,FDA seizes 3.4 tonnes of suspect chemically ripened mangoes at APMC,https://www.hindustantimes.com/cities/mumbai-news/fda-seizes-3-4-tonnes-of-suspect-chemically-ripened-mangoes-at-apmc-101780427156417.html,"...itan Region, the FDA’s Thane division also conducted raids in Thane, Ulhasnagar and Rabale, seizing suspected substandard edible oil, ghee, farsan and noodle products worth more than ₹7.30 lakh. Mundhe said those who compromise pub...",79f1b622-bb63-4727-aa20-b31d9e3baf17,hindustantimes.com,2026-06-03,relevant,0.95,"""edible oil"" adulteration India",503
food safety standards,phrase_frequency; tfidf,2,0.666667,5,5,0.237284,0.0,0.010917,0.04902,0.158706,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,52,Fake Edible Oil Ingredients: 6 harmful ingredients found in fake edible oil | - Times of India,https://timesofindia.indiatimes.com/life-style/food-news/harmful-ingredients-in-fake-edible-oil/articleshow/110737364.cms,...even cancer with prolonged exposure. The inclusion of mineral oil in edible products is a clear violation of food safety standards. ALSO READ: 5 drinks that ICMR has suggested to consume and avoid during summersArgemone oilArgemone oil is a...,a20e2894-4893-408b-9f67-062563c8ab6f,timesofindia.indiatimes.com,2024-06-05,irrelevant,,"""edible oil"" adulteration India",502
mustard oil,phrase_frequency; tfidf,2,0.666667,46,14,0.150211,0.0,0.100437,0.137255,0.154894,oil/product,manual_review,food/product term is relevant but not strong enough alone,17,"Food safety teams seize adulterated khoya in Agra, edible oil in Mânagar | Agra News - The Times of India",https://timesofindia.indiatimes.com/city/agra/food-safety-teams-seize-adulterated-khoya-in-agra-edible-oil-in-mnagar/articleshow/128652372.cms,"...2,000 litres of adulterated edible oil worth about Rs 15 lakh. The premises were sealed, and eight samples of mustard oil, rice bran oil and colouring material were collected for testing. Officials said further action would depend...",ebca1c9f-6eda-4334-b42a-ca8e2ae9e9a0,timesofindia.indiatimes.com,2026-02-22,relevant,1.0,"FSDA ""edible oil"" seized",243
food safety department,phrase_frequency; tfidf,2,0.666667,23,19,0.116235,0.0,0.050218,0.186275,0.142823,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"...n led to news of adulteration and selling of fake mawa in the market. In a major crackdown, the Uttar Pradesh Food Safety Department raided an illegal khoya manufacturing unit in Sardhana, Meerut, and seized over 800 kg of adulterated mawa. A...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
palm oil,phrase_frequency; tfidf,2,0.666667,25,19,0.103239,0.0,0.054585,0.186275,0.138929,oil/product,manual_review,food/product term is relevant but not strong enough alone,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...ere being manufactured under unhygienic conditions, they said. In another raid, 1,996kg of loose soyabean and palm oil worth Rs 3.19 lakh was seized from a trading firm for being sold in unpackaged form. âSamples from the seized...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
food safety officer,phrase_frequency; tfidf,2,0.666667,22,14,0.108714,0.0,0.048035,0.137255,0.13251,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...? In a latest series of incidents, the Hyderabad Food Adulteration Surveillance Team (H-FAST), along with the Food Safety Officer (FSO), raided an unlicensed fast food godown in Charminar and the Hyderabad Commissioner's Task Force also co...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
adulterated food,phrase_frequency; tfidf,2,0.666667,19,14,0.10739,0.0,0.041485,0.137255,0.131064,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,".... The H-FAST team posted on X,and mentioned that in association with the FSO, they seized large quantities of adulterated food material that was being stored under unhygienic conditions. As per the statement, the establishment was opera...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
crackdown,phrase_frequency; tfidf,2,0.666667,18,15,0.099765,0.0,0.039301,0.147059,0.129538,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...on Wednesday, adding that the raids were conducted on FDA commissioner Tukaram Mundheâs directive. In another crackdown in Chhatrapati Sambhajinagar, FDA seized cow ghee worth Rs 18,150 over suspected adulteration on Wednesday. T...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
food safety standards authority,phrase_frequency; tfidf,2,0.666667,1,1,0.172008,0.0,0.002183,0.009804,0.128668,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,84,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",https://indianexpress.com/article/cities/chandigarh/ban-on-blending-of-mustard-oil-will-benefit-farmers-lead-to-more-production-of-healthier-alternative-7378786/,...eed-mustard to provide a healthy oil for human consumption and decrease India's dependence on oil import. THE FOOD Safety Standards Authority of India (FSSAI) has banned blending of mustard oil with any other oil. Blending of edible oils was first per...,48a4021c-2fdd-4e64-b340-80827d1d3f5e,indianexpress.com,2021-06-28,relevant,0.95,"""edible oil"" adulteration India",1850
samples collected,phrase_frequency; tfidf,2,0.666667,4,3,0.101442,0.0,0.008734,0.029412,0.107893,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,59,Food samples from school fail quality test - The Tribune,https://www.tribuneindia.com/news/punjab/food-samples-from-school-fail-quality-test-574528,"Ferozepur, December 22 The food samples collected by a team of the Food Safety Standard Authority of India (FSSAI) from Meritorious School at Hukumat Singh Wal...",d412585c-a8de-4364-8e87-f3d053e2f2c9,tribuneindia.com,2023-12-23,irrelevant,,"""oil"" ""food safety"" ""seized"" India",111
products such as ghee,yake,1,0.333333,1,1,0.0,0.167651,0.002183,0.009804,0.077044,oil/product,manual_review,ghee can drift into dairy; keep only if you want oil-and-ghee coverage,12,Fake paneer and khoya seized in UP ahead of Holi: How do they impact your health?,https://indianexpress.com/article/health-wellness/fake-paneer-khoya-seized-up-holi-health-10561195/,"...ll states to carry out anti-adulteration drives ahead of Holi. With a surge in the requirement for milk-based products such as ghee, khoya, and paneer around Holi and Diwali — at times overshooting milk production in places — there is usuall...",33a1af34-2914-4a68-9362-0d2e43465cec,indianexpress.com,2026-03-02,relevant,0.95,"""vegetable oil"" adulteration India",553
vegetable oil,phrase_frequency,1,0.333333,17,13,0.0,0.0,0.037118,0.127451,0.058019,oil/product,manual_review,food/product term is relevant but not strong enough alone,12,Fake paneer and khoya seized in UP ahead of Holi: How do they impact your health?,https://indianexpress.com/article/health-wellness/fake-paneer-khoya-seized-up-holi-health-10561195/,"...It is essentially a non-dairy paneer where the milk fats and proteins are substituted by constituents such as vegetable oil, fats, vegetable proteins. With most people consuming this unknowingly, the regulator last year asked stakeho...",33a1af34-2914-4a68-9362-0d2e43465cec,indianexpress.com,2026-03-02,relevant,0.95,"""vegetable oil"" adulteration India",553
uttar pradesh,phrase_frequency,1,0.333333,13,10,0.0,0.0,0.028384,0.098039,0.052297,location,manual_review,location term; useful only if we decide to add geography-specific queries,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"...mawa has often led to news of adulteration and selling of fake mawa in the market. In a major crackdown, the Uttar Pradesh Food Safety Department raided an illegal khoya manufacturing unit in Sardhana, Meerut, and seized over 800 kg...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
soybean oil,phrase_frequency,1,0.333333,12,8,0.0,0.0,0.026201,0.078431,0.049028,oil/product,manual_review,food/product term is relevant but not strong enough alone,13,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...ufacturing unit in Kasna industrial area. According to the department, officials collected samples of refined soybean oil and refined palmolein oil of a branded variety for testing. The products were being sold with fortification l...",6359c859-9e31-4689-a0fa-bd3412be4be5,hindustantimes.com,2026-02-24,irrelevant,,"""edible oil"" adulterated India",481
coconut oil,phrase_frequency,1,0.333333,12,7,0.0,0.0,0.026201,0.068627,0.047558,oil/product,manual_review,food/product term is relevant but not strong enough alone,16,Oil Purity Test: 10000 kg rotten dates and 13972 litres of adulterated oil seized in Kanpur: FSSAI's oil purity tests to try at home,https://timesofindia.indiatimes.com/life-style/food-news/10000-kg-rotten-dates-and-13972-litres-of-adulterated-oil-seized-in-kanpur-fssais-oil-purity-tests-to-try-at-home/photostory/128717642.cms,"...consumer about food safety. Take a look at FSSAI's test for oils and fats, that one can conduct at home. Take coconut oil in a transparent glass. Place this glass in refrigerator for 30 miniyes. After refrigeration, coconut oil sol...",9ee7edd0-9918-4d1f-af18-dcedf3d70452,timesofindia.indiatimes.com,2026-02-23,relevant,0.95,"""coconut oil"" adulteration India",400
greater noida,phrase_frequency,1,0.333333,11,4,0.0,0.0,0.024017,0.039216,0.042818,location,manual_review,location term; useful only if we decide to add geography-specific queries,13,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...y authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edible oils, officials said on...",6359c859-9e31-4689-a0fa-bd3412be4be5,hindustantimes.com,2026-02-24,irrelevant,,"""edible oil"" adulterated India",481
sunflower oil,phrase_frequency,1,0.333333,11,4,0.0,0.0,0.024017,0.039216,0.042818,oil/product,manual_review,food/product term is relevant but not strong enough alone,53,How to identify fake cooking oil? (FSSAI recommended tips) - Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/how-to-identify-fake-cooking-oil-fssai-recommended-tips/articleshow/110694766.cms,"...tandards. Genuine oils have specific color and clarity. For example, olive oil is usually golden-green, while sunflower oil is pale yellow. Any unusual color or cloudiness can be a red flag. Genuine oils have characteristic smells. O...",39006316-82ee-4621-98ef-62317c47445f,timesofindia.indiatimes.com,2024-06-04,relevant,1.0,"""edible oil"" adulteration India",705
rapeseed-mustard oil,phrase_frequency,1,0.333333,14,1,0.0,0.0,0.030568,0.009804,0.039389,oil/product,manual_review,food/product term is relevant but not strong enough alone,84,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",https://indianexpress.com/article/cities/chandigarh/ban-on-blending-of-mustard-oil-will-benefit-farmers-lead-to-more-production-of-healthier-alternative-7378786/,...Experts see the FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's de...,48a4021c-2fdd-4e64-b340-80827d1d3f5e,indianexpress.com,2021-06-28,relevant,0.95,"""edible oil"" adulteration India",1850
india news and world,yake,1,0.333333,3,3,0.0,0.0,0.00655,0.029412,0.038728,location,manual_review,location term; useful only if we decide to add geography-specific queries,92,"FSSAI Recruitment 2021: Apply for food analyst, food safety officer and other posts, check fssai.gov.in | India, Jobs Career News | Zee News",https://zeenews.india.com/jobs-career/fssai-recruitment-2021-job-alert-apply-for-over-250-posts-sarkari-naukri-check-eligibility-age-limit-and-other-details-2409352.html,"...y informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world news on Zee News.",910c1cc3-6aa8-4de5-b8d6-922ffbfee1a7,zeenews.india.com,,relevant,0.55,"FSSAI ""edible oil"" India",1037
charminar and the hyderabad,yake,1,0.333333,1,1,0.0,0.0,0.002183,0.009804,0.035131,location,manual_review,location term; useful only if we decide to add geography-specific queries,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...urveillance Team (H-FAST), along with the Food Safety Officer (FSO), raided an unlicensed fast food godown in Charminar and the Hyderabad Commissioner's Task Force also conducted a raid and found shocking results. Scroll down to read the details....",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
collected from across india,yake,1,0.333333,1,1,0.0,0.0,0.002183,0.009804,0.035131,location,manual_review,location term; useful only if we decide to add geography-specific queries,78,FSSAI's 2-week long campaign to check adulteration to last till 14 August | Today News,https://www.livemint.com/news/india/fssais-2-week-long-campaign-to-check-adulteration-to-last-till-14-august-11659500215404.html,"...s, reported ANI. In the last year's survey, FSSAI found that 2.42% of the 4,461 edible oil samples, that were collected from across India, could not stand the safety standards set by the central authority. Moreover, the survey also showcased the p...",0459341e-d440-4616-a97c-17b8b8e7a593,livemint.com,2022-08-03,relevant,0.9,"""edible oil"" adulteration India",567
ghee if the ghee,yake,1,0.333333,1,1,0.0,0.0,0.002183,0.009804,0.035131,oil/product,manual_review,ghee can drift into dairy; keep only if you want oil-and-ghee coverage,48,Fake Ghee Identity: Thousands of tonnes of adulterated ghee seized: Hereâs how to identify fake ghee | - Times of India,https://timesofindia.indiatimes.com/life-style/food-news/thousands-of-tonnes-of-adulterated-ghee-seized-heres-how-to-identify-fake-ghee/articleshow/111258066.cms,"...nch of Hyaluronic acid and tablespoon of salt to two spoons of ghee , after 20 minutes check the color of the ghee if the ghee has turned red it means it is adulterated. Iodine Test: Add two drops of Iodine solution to ghee if it turns...",b4877a6a-6123-47ec-ba49-d2c686a0c614,timesofindia.indiatimes.com,2024-06-25,irrelevant,,"""oil"" ""food safety"" ""seized"" India",782
paneer,phrase_frequency; tfidf,2,0.666667,323,31,1.0,0.0,0.70524,0.303922,0.568041,other_candidate,drop,non-oil food context without edible-oil signal,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,".... In another case, the Hyderabad Commissioner's Task Force uncovered large-scale sales of fake and misbranded paneer across the city, seizing around 825 kilograms of suspected adulterated products during special raids. The tea...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
samples,phrase_frequency; tfidf,2,0.666667,162,53,0.4842,0.0,0.353712,0.519608,0.367134,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,...proper licences or traceability. The official said enforcement drives are continuing across the city and food samples have been sent for laboratory testing. More inspections are likely in the coming days. What is Analogue Panee...,06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
edible,phrase_frequency; tfidf,2,0.666667,143,58,0.38393,0.0,0.312227,0.568627,0.33317,other_candidate,drop,low score or outside edible-oil/adulteration scope,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...sent for lab testing, Patil said. Crackdown in Parbhani & BeedFDA officials seized bakery products and loose edible oil worth Rs 3.5 lakh in a separate action in Parbhani on May 29. Officials said packaged items like âCherry...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
