keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count
food safety,phrase_frequency; tfidf,2,0.666667,95,40,0.119564,0.0,0.042793,0.190476,0.143505,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,4,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,https://timesofindia.indiatimes.com/city/nagpur/fda-urges-big-hotels-to-hand-over-excess-edible-oil-for-bio-diesel/articleshow/88797263.cms,...hand over their excess edible used oils for bio-diesel recycling to a designated company empanelled with the Food Safety and Standards Authority of India (FSSAI). FDA sources said the hotels have been asked to ensure their excess...,1,2,human_irrelevant_articles_only,210,8881cf6e-374b-42f1-af1d-40e11f97d7df,timesofindia.indiatimes.com,indiatimes.com,2022-01-10,irrelevant,392
fssai,phrase_frequency; tfidf,2,0.666667,88,28,0.105104,0.0,0.03964,0.133333,0.129399,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,https://timesofindia.indiatimes.com/life-style/food-news/is-your-cooking-oil-adulterated-with-dangerous-metanil-yellow-colour/photostory/86060302.cms,"FSSAI is back with its weekly lessons on how to check food adulteration at home. In the long run, adulterated food...",1,2,human_irrelevant_articles_only,210,bce54b87-7d6e-45a4-9273-40ad87a634c8,timesofindia.indiatimes.com,indiatimes.com,2021-09-09,irrelevant,303
seized,phrase_frequency; tfidf,2,0.666667,68,28,0.098799,0.0,0.030631,0.133333,0.125841,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,3,Mumbai DRI seizes heroin worth Rs 125 crore hidden in cooking oil cargo,https://www.mid-day.com/mumbai/mumbai-crime-news/article/mumbai-dri-seizes-heroin-worth-rs-125-crore-hidden-in-cooking-oil-cargo-23195807,...from Iran Photo for representational purpose The Directorate of Revenue Intelligence's (DRI) Mumbai unit has seized a consignment of 25 kg heroin concealed in a consignment of groundnut oil at the Nhava Port Trust in Navi Mum...,1,2,human_irrelevant_articles_only,210,78cb9c4b-bab2-417e-9c58-3c77217bd94c,mid-day.com,mid-day.com,2021-10-08,irrelevant,150
fda,phrase_frequency; tfidf,2,0.666667,78,14,0.109544,0.0,0.035135,0.066667,0.120277,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,4,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,https://timesofindia.indiatimes.com/city/nagpur/fda-urges-big-hotels-to-hand-over-excess-edible-oil-for-bio-diesel/articleshow/88797263.cms,Nagpur: The Food and Drugs Administration (FDA) has urged eight city hotels â where edible oil consumption is more than 50 litres per day â to hand over the...,1,2,human_irrelevant_articles_only,210,8881cf6e-374b-42f1-af1d-40e11f97d7df,timesofindia.indiatimes.com,indiatimes.com,2022-01-10,irrelevant,392
coconut oil,phrase_frequency; tfidf,2,0.666667,75,15,0.103174,0.0,0.033784,0.071429,0.11856,oil/product,manual_review,food/product term is relevant but not strong enough alone,31,Fake Coconut Oil Identity: Signs your coconut oil is fake and how to spot the real one,https://timesofindia.indiatimes.com/life-style/beauty/signs-your-coconut-oil-is-fake-and-how-to-spot-the-real-one/photostory/124849847.cms,"As the price of coconut oil continues to surge in the market, especially in the southern region of India, the rising prices have now beco...",1,2,human_irrelevant_articles_only,210,0d4a2c7f-33c8-47ce-a96a-894e55407c0c,timesofindia.indiatimes.com,indiatimes.com,2025-11-03,irrelevant,479
bulk cooking oil,phrase_frequency; tfidf,2,0.666667,47,26,0.083065,0.0,0.021171,0.12381,0.117487,oil/product,manual_review,food/product term is relevant but not strong enough alone,46,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,https://www.businesstoday.in/latest/world/story/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices-330909-2022-04-22,"...recent days over high cooking oil prices. Indonesia's government has set a cap of 14,000 rupiah per litre for bulk cooking oil, but Trade Ministry data showed that it was sold at more than 18,000 rupiah this month. A government investig...",1,2,human_irrelevant_articles_only,210,0946a1d4-5e62-4801-bcbd-24a14ddcb364,businesstoday.in,businesstoday.in,2022-04-22,irrelevant,516
mustard oil,phrase_frequency; tfidf,2,0.666667,72,18,0.092737,0.0,0.032432,0.085714,0.116847,oil/product,manual_review,food/product term is relevant but not strong enough alone,1,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,https://www.opindia.com/2021/05/patanjali-mustard-oil-mill-alwar-raided-rajasthan-gehlot/,"...ter’s remark on allopathy, it has now been reported that Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill. As per a Republic World report, a raid was conducted on the mill on the orde...",1,2,human_irrelevant_articles_only,210,38237e4f-6b76-4d23-a854-743bda65fd24,opindia.com,opindia.com,2021-05-27,irrelevant,343
edible oil prices,phrase_frequency; tfidf,2,0.666667,41,30,0.049566,0.0,0.018468,0.142857,0.108214,oil/product,manual_review,food/product term is relevant but not strong enough alone,7,Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices,https://www.indiatoday.in/india/story/andhra-pradesh-edible-oil-traders-vigilance-raid-hoarding-black-market-ukraine-import-1921765-2022-03-07,"Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices Vigilance officials raided traders in Andhra Pradesh after prices of edible oils increased in the state, sinc...",1,2,human_irrelevant_articles_only,210,d63f5eb8-603a-414d-ac51-bed1950f181e,indiatoday.in,indiatoday.in,2022-03-07,irrelevant,278
banned,phrase_frequency; tfidf,2,0.666667,37,31,0.04412,0.0,0.016667,0.147619,0.106751,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,14,Blended edible oil beneficial: FSSAI | Today News,https://www.livemint.com/news/india/blended-edible-oil-beneficial-fssai-11697567700962.html,"...1.9 million tonnes (mt) against the previous year’s 10.2 mt, according to the agriculture ministry. The FSSAI banned the blending of mustard oil with any oil effective from 8 June 2021 to benefit farmers, provide healthy oil f...",1,2,human_irrelevant_articles_only,210,20fcaf5a-642c-47df-aa70-1885af131081,livemint.com,livemint.com,2023-10-18,irrelevant,526
palm oil export,phrase_frequency; tfidf,2,0.666667,32,28,0.049541,0.0,0.014414,0.133333,0.106168,oil/product,manual_review,food/product term is relevant but not strong enough alone,43,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,https://www.businesstoday.in/industry/story/palm-oil-ban-edible-oil-industry-asks-govt-to-initiate-dialogue-with-indonesia-331104-2022-04-25,"...has suggested immediate initiation of government to government (G2G) dialogue with Indonesia on the proposed palm oil export ban from April 28 by them as it would have an adverse repercussions in India. Indonesia, which is the world's...",1,2,human_irrelevant_articles_only,210,6f6ba76d-9689-4d3c-808b-f21963237165,businesstoday.in,businesstoday.in,2022-04-25,irrelevant,482
soybean oil,phrase_frequency; tfidf,2,0.666667,37,30,0.041741,0.0,0.016667,0.142857,0.105204,oil/product,manual_review,food/product term is relevant but not strong enough alone,14,Blended edible oil beneficial: FSSAI | Today News,https://www.livemint.com/news/india/blended-edible-oil-beneficial-fssai-11697567700962.html,"...early 60% of its total annual domestic consumption. The country primarily imports 8 mt of palm oil, 2.7 mt of soybean oil and 2 mt of sunflower oil. India produces a negligible amount sunflower seeds and sunflower oil against its c...",1,2,human_irrelevant_articles_only,210,20fcaf5a-642c-47df-aa70-1885af131081,livemint.com,livemint.com,2023-10-18,irrelevant,526
cooking oil prices,phrase_frequency; tfidf,2,0.666667,39,27,0.04594,0.0,0.017568,0.128571,0.104667,oil/product,manual_review,food/product term is relevant but not strong enough alone,42,"Sunflower oil shortage boon for palm oil producers, bane for consumers",https://www.siasat.com/sunflower-oil-shortage-boon-for-palm-oil-producers-bane-for-consumers-2290324/,"...andated a minimum proportion of production to be sold locally in a bid to curtail a dramatic rise in domestic cooking oil prices. Indonesia is the largest producer of oil palm, followed by Malaysia. Despite several attempts made by the Ce...",1,2,human_irrelevant_articles_only,210,fe4dfab2-352e-44bf-b6cd-728b96d246ec,siasat.com,siasat.com,2022-03-13,irrelevant,619
palm oil exports,phrase_frequency; tfidf,2,0.666667,38,27,0.044656,0.0,0.017117,0.128571,0.10415,oil/product,manual_review,food/product term is relevant but not strong enough alone,46,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,https://www.businesstoday.in/latest/world/story/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices-330909-2022-04-22,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shipments o...",1,2,human_irrelevant_articles_only,210,0946a1d4-5e62-4801-bcbd-24a14ddcb364,businesstoday.in,businesstoday.in,2022-04-22,irrelevant,516
palm oil prices,phrase_frequency; tfidf,2,0.666667,33,24,0.047007,0.0,0.014865,0.114286,0.102492,oil/product,manual_review,food/product term is relevant but not strong enough alone,42,"Sunflower oil shortage boon for palm oil producers, bane for consumers",https://www.siasat.com/sunflower-oil-shortage-boon-for-palm-oil-producers-bane-for-consumers-2290324/,New Delhi: Shortage of sunflower oil amid the ongoing Russia-Ukraine war has sent crude palm oil prices through the roof. The geo-political worries in the Black Sea region has a significant bearing on sunflower se...,1,2,human_irrelevant_articles_only,210,fe4dfab2-352e-44bf-b6cd-728b96d246ec,siasat.com,siasat.com,2022-03-13,irrelevant,619
used cooking oil,phrase_frequency; tfidf,2,0.666667,36,17,0.058426,0.0,0.016216,0.080952,0.101691,oil/product,manual_review,food/product term is relevant but not strong enough alone,10,FDA cracks down on shop selling reused cooking oil - Deshdoot,https://www.deshdoot.com/deshdoot-times/fda-cracks-down-on-shop-selling-reused-cooking-oil,"...seized the cooking oil, which is harmful to health. Traders playing with citizens’ health by repeatedly using used cooking oil have now come under the radar of the Food and Drug Administration. Edible oil is suitable for frying if its T...",1,2,human_irrelevant_articles_only,210,b1c44e6f-9e5e-4ada-9ace-5f0198a5d65a,deshdoot.com,deshdoot.com,2022-07-20,irrelevant,310
ban exports,phrase_frequency; tfidf,2,0.666667,16,15,0.05379,0.0,0.007207,0.071429,0.097289,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,43,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,https://www.businesstoday.in/industry/story/palm-oil-ban-edible-oil-industry-asks-govt-to-initiate-dialogue-with-indonesia-331104-2022-04-25,"...f palm oil and meets nearly 50 per cent of the total palm oil requirement in India annually, had announced to ban exports till further notice apparently to contain edible oil prices in their domestic market. ''We have suggested our...",1,2,human_irrelevant_articles_only,210,6f6ba76d-9689-4d3c-808b-f21963237165,businesstoday.in,businesstoday.in,2022-04-25,irrelevant,482
ban palm,phrase_frequency; tfidf,2,0.666667,8,7,0.042464,0.0,0.003604,0.033333,0.087069,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,46,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,https://www.businesstoday.in/latest/world/story/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices-330909-2022-04-22,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of...",1,2,human_irrelevant_articles_only,210,0946a1d4-5e62-4801-bcbd-24a14ddcb364,businesstoday.in,businesstoday.in,2022-04-22,irrelevant,516
ban palm oil,phrase_frequency; tfidf,2,0.666667,8,7,0.041559,0.0,0.003604,0.033333,0.086753,incident/action phrase,manual_review,incident/action phrase needs human pruning,46,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,https://www.businesstoday.in/latest/world/story/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices-330909-2022-04-22,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shi...",1,2,human_irrelevant_articles_only,210,0946a1d4-5e62-4801-bcbd-24a14ddcb364,businesstoday.in,businesstoday.in,2022-04-22,irrelevant,516
domestic cooking oil,tfidf,1,0.333333,27,17,0.049509,0.0,0.012162,0.080952,0.064629,oil/product,manual_review,food/product term is relevant but not strong enough alone,42,"Sunflower oil shortage boon for palm oil producers, bane for consumers",https://www.siasat.com/sunflower-oil-shortage-boon-for-palm-oil-producers-bane-for-consumers-2290324/,"...ecently mandated a minimum proportion of production to be sold locally in a bid to curtail a dramatic rise in domestic cooking oil prices. Indonesia is the largest producer of oil palm, followed by Malaysia. Despite several attempts made by...",1,2,human_irrelevant_articles_only,210,fe4dfab2-352e-44bf-b6cd-728b96d246ec,siasat.com,siasat.com,2022-03-13,irrelevant,619
uttar pradesh,phrase_frequency,1,0.333333,35,10,0.0,0.0,0.015766,0.047619,0.042841,location,manual_review,location term; useful only if we decide to add geography-specific queries,103,Steps to arrest decline in key edible oil prices soon,https://www.financialexpress.com/economy/steps-to-arrest-decline-in-key-edible-oil-prices-soon/3023894/,"...2.7 million tonne (MT) of the oilseed from farmers in key producing states namely Rajasthan, Madhya Pradesh, Uttar Pradesh, Haryana and Gujarat. The prices of soyabean, another key oil seed, have also fallen in recent months, but th...",1,2,human_irrelevant_articles_only,210,fadfa9b0-3cca-4935-bd21-84f1daaf5b4c,financialexpress.com,financialexpress.com,2023-03-28,irrelevant,618
former uttar pradesh,phrase_frequency,1,0.333333,32,8,0.0,0.0,0.014414,0.038095,0.04121,location,manual_review,location term; useful only if we decide to add geography-specific queries,130,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,https://www.businessworld.in/article/Centre-Conducts-Raids-In-Several-States-Over-Hoarding-Of-Edible-Oil/27-05-2022-430461,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic outp...,1,2,human_irrelevant_articles_only,210,84b63223-8176-4e31-939c-43a0a9b7340b,businessworld.in,businessworld.in,2022-05-27,irrelevant,682
uttar pradesh chief,phrase_frequency,1,0.333333,32,8,0.0,0.0,0.014414,0.038095,0.04121,location,manual_review,location term; useful only if we decide to add geography-specific queries,130,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,https://www.businessworld.in/article/Centre-Conducts-Raids-In-Several-States-Over-Hoarding-Of-Edible-Oil/27-05-2022-430461,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to...,1,2,human_irrelevant_articles_only,210,84b63223-8176-4e31-939c-43a0a9b7340b,businessworld.in,businessworld.in,2022-05-27,irrelevant,682
india semiconductor,phrase_frequency,1,0.333333,16,8,0.0,0.0,0.007207,0.038095,0.040129,location,manual_review,location term; useful only if we decide to add geography-specific queries,130,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,https://www.businessworld.in/article/Centre-Conducts-Raids-In-Several-States-Over-Hoarding-Of-Edible-Oil/27-05-2022-430461,"...to a final growth rate of 1.8 per cent in April 2026 The Union Budget 2026–27 allocated Rs 1,000 crore toward India Semiconductor Mission (ISM) 2.0, while the government has already approved 10 ISM projects worth Rs 1.60 lakh crore across...",1,2,human_irrelevant_articles_only,210,84b63223-8176-4e31-939c-43a0a9b7340b,businessworld.in,businessworld.in,2022-05-27,irrelevant,682
traders said after india,yake,1,0.333333,1,1,0.0,0.0,0.00045,0.004762,0.034115,location,manual_review,location term; useful only if we decide to add geography-specific queries,189,Palm oil price rallies as Indonesia dilly-dallies on revoking export ban ,https://www.thehindubusinessline.com/economy/agri-business/palm-oil-price-rallies-as-indonesia-dilly-dallies-on-revoking-export-ban/article65466888.ece,"...tonne, while RBD palmoleing’s cost is $1,800. Sunflower oil’s costs $2,100 and degummed soyabean oil $1,836. Traders said after India decided to allow imports of soyabean and sunflower oils duty-free on Tuesday, Argentina’s soyabean oil witnes...",1,2,human_irrelevant_articles_only,210,13d7edb5-bb6a-4e78-be58-6f00ea9057f6,thehindubusinessline.com,thehindubusinessline.com,2022-05-27,irrelevant,651
edible,phrase_frequency; tfidf,2,0.666667,387,125,0.256493,0.0,0.174324,0.595238,0.271873,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,https://timesofindia.indiatimes.com/city/nagpur/fda-urges-big-hotels-to-hand-over-excess-edible-oil-for-bio-diesel/articleshow/88797263.cms,Nagpur: The Food and Drugs Administration (FDA) has urged eight city hotels â where edible oil consumption is more than 50 litres per day â to hand over their excess edible used oils for bio-diesel re...,1,2,human_irrelevant_articles_only,210,8881cf6e-374b-42f1-af1d-40e11f97d7df,timesofindia.indiatimes.com,indiatimes.com,2022-01-10,irrelevant,392
cooking,phrase_frequency; tfidf,2,0.666667,364,94,0.288666,0.0,0.163964,0.447619,0.259437,other_candidate,drop,low score or outside edible-oil/adulteration scope,2,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,https://timesofindia.indiatimes.com/life-style/food-news/is-your-cooking-oil-adulterated-with-dangerous-metanil-yellow-colour/photostory/86060302.cms,"...is week, they have shared a test video on how to detect the use of a prohibited colour like metanil yellow in cooking oil. Here’s how you can check the adulteration at home. (Image: istock) 1. Take a sample of 1 ml oil in a tes...",1,2,human_irrelevant_articles_only,210,bce54b87-7d6e-45a4-9273-40ad87a634c8,timesofindia.indiatimes.com,indiatimes.com,2021-09-09,irrelevant,303
oils,phrase_frequency; tfidf,2,0.666667,193,87,0.147084,0.0,0.086937,0.414286,0.193329,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,https://timesofindia.indiatimes.com/city/nagpur/fda-urges-big-hotels-to-hand-over-excess-edible-oil-for-bio-diesel/articleshow/88797263.cms,...hotels â where edible oil consumption is more than 50 litres per day â to hand over their excess edible used oils for bio-diesel recycling to a designated company empanelled with the Food Safety and Standards Authority of I...,1,2,human_irrelevant_articles_only,210,8881cf6e-374b-42f1-af1d-40e11f97d7df,timesofindia.indiatimes.com,indiatimes.com,2022-01-10,irrelevant,392
per cent,phrase_frequency; tfidf,2,0.666667,227,61,0.185666,0.0,0.102252,0.290476,0.190559,other_candidate,drop,outside edible-oil/adulteration domain,6,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,https://timesofindia.indiatimes.com/city/vijayawada/vig-raids-to-check-edible-oil-hoarding/articleshow/90039485.cms,"...r oil got disrupted because of the ongoing conflict between Russia and Ukraine. India imports nearly 80 to 90 per cent of sunflower oil from Ukraine and Russia. Speaking to TOI, additional superintendent of vigilance and enforce...",1,2,human_irrelevant_articles_only,210,6a9cc28d-e0d0-4c6b-a20e-28e01f86f537,timesofindia.indiatimes.com,indiatimes.com,2022-03-07,irrelevant,275
oil prices,phrase_frequency; tfidf,2,0.666667,140,64,0.126493,0.0,0.063063,0.304762,0.166113,other_candidate,drop,low score or outside edible-oil/adulteration scope,7,Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices,https://www.indiatoday.in/india/story/andhra-pradesh-edible-oil-traders-vigilance-raid-hoarding-black-market-ukraine-import-1921765-2022-03-07,"Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices Vigilance officials raided traders in Andhra Pradesh after prices of edible oils increased in the state, sinc...",1,2,human_irrelevant_articles_only,210,d63f5eb8-603a-414d-ac51-bed1950f181e,indiatoday.in,indiatoday.in,2022-03-07,irrelevant,278
vegetable,phrase_frequency; tfidf,2,0.666667,118,62,0.118313,0.0,0.053153,0.295238,0.160335,other_candidate,drop,low score or outside edible-oil/adulteration scope,8,40 Quintal Cooking Oil Seized For Violation Of Rules | Indore News - Times of India,https://timesofindia.indiatimes.com/city/indore/40-quintal-cooking-oil-seized-for-violation-of-rules/articleshow/91716408.cms,"...Oilseeds Trade (Control) Order-2022, setting the stock limit of edible oil and oilseeds of soybean, mustard, vegetable, peanut, sunflower and palm for the retail and wholesale tradersâ said ADM Abhay Bedekar. He added that all t...",1,2,human_irrelevant_articles_only,210,13b4b523-7a7d-4d80-bbe0-e9c434fc0ccc,timesofindia.indiatimes.com,indiatimes.com,2022-05-22,irrelevant,245
crude palm,phrase_frequency; tfidf,2,0.666667,109,57,0.102292,0.0,0.049099,0.271429,0.150548,other_candidate,drop,outside edible-oil/adulteration domain,40,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities",https://www.financialexpress.com/market/commodities/sebi-bans-launch-of-new-derivative-contracts-of-crude-palm-oil-few-other-agri-commodities/2384767/,"Markets watchdog Sebi has banned the launch of new derivative contracts of crude palm oil, moong, wheat and few other agricultural commodities with immediate effect amid rising inflation. With re...",1,2,human_irrelevant_articles_only,210,ec80beb1-bbc7-4489-88d9-94cbc3ee3c41,financialexpress.com,financialexpress.com,2021-12-20,irrelevant,595
