not_candidate,risk_flag,irrelevant_category,irrelevant_review_label,irrelevant_composite_score,irrelevant_document_frequency,irrelevant_total_frequency,positive_exact_kept,positive_overlap_terms,example_irrelevant_title,example_context
rupiah per,possible_not_candidate,other_candidate,drop,0.111007,20,37,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"...across Indonesia in recent days over high cooking oil prices. Indonesia's government has set a cap of 14,000 rupiah per litre for bulk cooking oil, but Trade Ministry data showed that it was sold at more than 18,000 rupiah this m..."
rupiah per litre,possible_not_candidate,other_candidate,drop,0.110747,20,37,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"...across Indonesia in recent days over high cooking oil prices. Indonesia's government has set a cap of 14,000 rupiah per litre for bulk cooking oil, but Trade Ministry data showed that it was sold at more than 18,000 rupiah this month...."
extractors association,possible_not_candidate,other_candidate,drop,0.101987,23,23,0,,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities","....23 per cent amid hardening of prices of mineral oils, basic metals, crude petroleum and natural gas. Solvent Extractors Association of India (SEA) Executive Director B V Mehta said the government was compelled to suspend futures tradings in..."
solvent extractors association,possible_not_candidate,other_candidate,drop,0.101206,22,22,0,,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities","...gh of 14.23 per cent amid hardening of prices of mineral oils, basic metals, crude petroleum and natural gas. Solvent Extractors Association of India (SEA) Executive Director B V Mehta said the government was compelled to suspend futures tradings in..."
industry body,possible_not_candidate,other_candidate,drop,0.098459,12,34,0,,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,The cooking oil national industry body -- Solvent Extractors' Association (SEA) of India has suggested immediate initiation of government to governm...
economic times,possible_not_candidate,other_candidate,drop,0.097036,10,36,0,,FDA to ban Brominated Vegetable Oil in soda and food; here’s how it was impacting your health,"...tch all the US News, UK News, Canada News, International Breaking News Events, and Latest News Updates on The Economic Times.) Download The Economic Times News App to get Daily International News Updates. (Catch all the US News, UK Ne..."
million tonne,possible_not_candidate,other_candidate,drop,0.094028,12,32,0,,Food regulator bans blending of mustard oil with other edible oils,"...s released by the agriculture ministry in February, there may be a record production of mustard seen at 10.43 million tonne in 2020-21 crop year (July-June), up by over 14% from the previous year. However, the Central Organization fo..."
worth rs,possible_not_candidate,other_candidate,drop,0.067615,18,40,0,,Mumbai DRI seizes heroin worth Rs 125 crore hidden in cooking oil cargo,Mumbai DRI seizes heroin worth Rs 125 crore hidden in cooking oil cargo Further investigations led the DRI to businessman Sandeep Thakker in so...
last year,possible_not_candidate,other_candidate,drop,0.062636,18,30,0,,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,"...ecycling through a Mumbai company. The measure was undertaken as a part of the âEat Rightâ campaign initiated last year which aimed to enforce quality standards of food and eatables being sold at food joints, outlets, eateries an..."
breaking news and latest,possible_not_candidate,other_candidate,drop,0.044495,4,8,0,,"Maharashtra FDA cracks down on McDonald's, catches fast food major using cheap vegetable oil in place of cheese","...le the benchmark indices ended muted with a negative bias. With inputs from TOI (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Ca..."
uttar pradesh,possible_not_candidate,location,manual_review,0.042841,10,35,0,,Steps to arrest decline in key edible oil prices soon,"...2.7 million tonne (MT) of the oilseed from farmers in key producing states namely Rajasthan, Madhya Pradesh, Uttar Pradesh, Haryana and Gujarat. The prices of soyabean, another key oil seed, have also fallen in recent months, but th..."
alok ranjan,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of li..."
alok ranjan argues,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, edu..."
author alok,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, qualit..."
author alok ranjan,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of li..."
beyond economic,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's big securit..."
beyond economic output,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's big securities fra..."
chief secretary,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on h...
development journey,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive..."
development journey must,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growt..."
economic output,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"...Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's big securities fra..."
former uttar,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond econo...
former uttar pradesh,possible_not_candidate,location,manual_review,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic outp...
inclusive growth,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"...nt journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's big securities fraud charge was built by comparing a gold refinery's gross sales turnover to its proc..."
journey must,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growt..."
journey must move,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth Ind..."
move beyond,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's bi..."
move beyond economic,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's big securit..."
must move,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth Ind..."
must move beyond,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, education, healthcare and inclusive growth India's bi..."
pradesh chief,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to...
pradesh chief secretary,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on h...
ranjan argues,possible_not_candidate,other_candidate,drop,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to focus on happiness, quality of life, edu..."
uttar pradesh chief,possible_not_candidate,location,manual_review,0.04121,8,32,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,Former Uttar Pradesh Chief Secretary and author Alok Ranjan argues that India’s development journey must move beyond economic output to...
april as the country,possible_not_candidate,other_candidate,drop,0.040361,3,3,0,,India's palm oil imports in May surge to 7 month high despite Indonesia's ban - BusinessToday,"India's palm oil exports in May were its highest in seven months and up 15% on April as the country overcame curbs on Indonesian exports by sourcing more of the commodity from Malaysia, Thailand and Papua New..."
india semiconductor,possible_not_candidate,location,manual_review,0.040129,8,16,0,,Centre Conducts Raids In Several States Over Hoarding Of Edible Oil,"...to a final growth rate of 1.8 per cent in April 2026 The Union Budget 2026–27 allocated Rs 1,000 crore toward India Semiconductor Mission (ISM) 2.0, while the government has already approved 10 ISM projects worth Rs 1.60 lakh crore across..."
month following the ukraine,possible_not_candidate,other_candidate,drop,0.039074,1,1,0,,Edible oil prices in India to surge as Indonesia to ban palm oil exports | Today News,"...ery month for India. Experts said that India’s sunflower oil supplies had halved to nearly 100,000 tonnes per month following the Ukraine war and this could make things worse for households. Meanwhile, India's wholesale inflation, which has remain..."
cent of the export,possible_not_candidate,other_candidate,drop,0.038344,1,1,0,,Edible oil industry readies for tough time over Indonesian ban on exports,"...rt taken by the Indonesian government to control domestic oil inflation. Earlier, it had mandated that 30 per cent of the export quota should be sold domestically. Increased fuel prices have led to rising demand for palm oil for the manuf..."
cent of their export,possible_not_candidate,other_candidate,drop,0.037428,1,1,0,,Indonesia’s move to revoke palm oil export ban comes with a rider,"...sked to build a cooking oil buffer stock, he said. Earlier, palm oil producers were required to supply 20 per cent of their export volumes as part of DMO. Later, the percentage was increased to 30 per cent. The announcement on DMO pushed up..."
state and the union,possible_not_candidate,other_candidate,drop,0.03685,1,1,0,,"Ban import of palm oil, demand Tiruppur ryots",...hroughout the country and the price of copra has dropped to Rs 10. The protesting farmers claimed that if the State and the Union government procured coconut oil and other crops through cooperative departments and civil supplies department...
catch all the business,possible_not_candidate,other_candidate,drop,0.036731,4,8,0,,"Maharashtra FDA cracks down on McDonald's, catches fast food major using cheap vegetable oil in place of cheese","...a cut of over 2 per cent while the benchmark indices ended muted with a negative bias. With inputs from TOI (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and..."
prices will be high,possible_not_candidate,other_candidate,drop,0.036725,1,1,0,,How Indonesia's ban on palm oil exports will hurt us | Stock Market News,"...ediate solution is going to be a challenge. Experts said even if India manages to find an alternative source, prices will be high as a major exporter is now out of the calculation. The industry expects India to engage with Indonesia on an..."
prices were already high,possible_not_candidate,other_candidate,drop,0.036689,1,1,0,,Edible oil prices may rise 15-20% as Indonesia bans palm oil exports,"...plies were hit due to the Russia-Ukraine war. Now if palm oil supply is disrupted then prices will skyrocket. Prices were already high and Indonesia’s decision will add to the pressure and hurt supplies,” he said. Indonesia produces 48 million..."
year and the price,possible_not_candidate,other_candidate,drop,0.036683,1,1,0,,Kerala ports lose out as palm oil import ban completes 17 years,...sily from there through the road network. Kerala is estimated to consume over 2.5 lakh tonnes of palm oil per year and the price difference between the coconut oil and palm oil make the road transportation an attractive option for importe...
chaturvedi said that prices,possible_not_candidate,other_candidate,drop,0.036329,1,1,0,,"Indonesia to lift palm oil export ban, likely giving India 'big relief'","...ailand,” Atul Chaturvedi, president of Solvent Extractors Association (SEA) of India, told Business Standard. Chaturvedi said that prices will soften also because in summers usually demand for edible oil goes down as consumption of fried foods is..."
director b v mehta,possible_not_candidate,other_candidate,drop,0.034897,2,2,0,,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities","...oils, basic metals, crude petroleum and natural gas. Solvent Extractors Association of India (SEA) Executive Director B V Mehta said the government was compelled to suspend futures tradings in some farm commodities because of the high pr..."
hartarto said on friday,possible_not_candidate,other_candidate,drop,0.034897,2,2,0,,Indonesia to reimpose local palm oil sales rule as it ends export ban - BusinessToday,"...ns well above the government's target of 14,000 rupiahs (96 U.S. cents) per liter. Economy minister Airlangga Hartarto said on Friday the government will impose a Domestic Market Obligation (DMO) on palm oil to ensure 10 million tonnes of cook..."
nadu and other states,possible_not_candidate,other_candidate,drop,0.034897,2,2,0,,"Ban import of palm oil, demand Tiruppur ryots","...fined palm oil are imported every year from Malaysia and are widely distributed in all the PDS shops in Tamil Nadu and other states. However, coconut trees are grown throughout the country and the price of copra has dropped to Rs 10. The pro..."
trade on the commodities,possible_not_candidate,other_candidate,drop,0.034897,2,2,0,,India’s edible oil prices may rise due to Indonesia’s export ban on palm oil,"...on by that government. I am sure; they would reverse the decision in about 10-15 days.” Even when there is no trade on the commodities exchange over the weekend, the palm oil prices have already shown an increase of Rs 3,000-5,000. “The market..."
administration said on tuesday,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"US FDA to ban use of brominated vegetable oil in food, soda","The U.S. Food and Drug Administration said on Tuesday it would revoke the regulation that authorized the use of brominated vegetable oil in food items, effective A..."
cent of its domestic,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"Watch out for these stocks: Niva Bupa, Kotak Mahindra Bank, Ugro Capital, edible oil companies, IndiGo, Prestige Estates, IRB Infrastructure, IFB Agro, Thomas Cook, KRN Heat","...ng down the prices of cooking oils and protect domestic processing industries. India imports more than 50 per cent of its domestic edible oil requirement. Among others, shares such as Ajanta Soya, Patanjali, AWL Agri Business, Sundrop Brand..."
cent of the imports,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia's ban on palm oil exports a concern but impact to be transitory: FMCG industry,"...rts over 90 per cent of its 22 MNT of demand, majorly in the form of CPO. Indonesia constitutes around 50 per cent of the imports, while 45 per cent of imports are from Malaysia and the rest from Thailand, Ind-Ra report said. (Catch all th..."
commissioners of all states,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,FSSAI asks states to conduct inspections for enforcement of ban on blending of mustard oil ,"...table oil (MSEVOs) came into effect from June 8. In an order, the food safety authority has asked food safety commissioners of all States and UTs to conduct inspection drive of all units which were licensed for production of mustard blended edible..."
consumers that the product,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,AGMARK certification not required for imported blended edible oil: FSSAI ,"...tion to obtaining a valid FSSAI license. AGMARK is a certification mark for agricultural produce that assures consumers that the product conforms to standards notified by the Directorate of Marketing & Inspection (DMI), which is part of the Agric..."
country and the price,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"Ban import of palm oil, demand Tiruppur ryots","...tributed in all the PDS shops in Tamil Nadu and other states. However, coconut trees are grown throughout the country and the price of copra has dropped to Rs 10. The protesting farmers claimed that if the State and the Union government proc..."
country saw the price,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Explained | Why did Indonesia ban palm oil exports and how will it affect India?,"...which sells two types of cooking oil — expensive branded cooking oil and cheaper non-branded oil in bulk. The country saw the price of branded palm oil go from 14,000 Indonesian rupiah (IDR) per litre in March 2021, to 22,000 IDR in March th..."
cpo and its derivative,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"Indonesia ban on crude, RBD palm oil ‘temporary’","...conomic Affairs. Domestic prices target According to Airlangga, the Ministry of trade regulates export ban on CPO and its derivative products in order to avoid misinterpretation of the policy. He further said the implementation of the export..."
director at the solvent,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia palm oil export ban to hit packaged goods cos | Mint,"...for end consumers. There is clearly a demand-supply gap, this will impact prices,” said B.V. Mehta, executive director at The Solvent Extractors’ Association of India."
director of the solvent,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Cooking oil prices may go up by Rs 3-5 per kg as Indonesia bans palm oil exports,"...dible oil would shoot up in India as the prices (of edible oils) move in tandem,"" said Dr VB Mehta, executive director of The Solvent Extractors' Association of India (SEA of India). He says that the real impact (of the news) would be felt onl..."
farmers as their product,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia to reimpose local palm oil sales rule as it ends export ban - BusinessToday,"...t ban, an attempt to control high domestic cooking oil prices, shocking global edible oil markets and angered farmers as their product prices fell. Palm oil, used in everything from margarine to shampoo, comprises a third of the world's vegetab..."
general of the indonesia,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia seeks to issue first palm oil export permits since ban - BusinessToday,"...bulk cooking oil programme, a senior industry ministry official told media on Monday. Eddy Martono, secretary general of the Indonesia Palm Oil Association (GAPKI), said he hoped exports could soon return to a pre-ban level of 2.5 million to 3..."
imports will help domestic,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"As Indonesia enforces palm oil export ban, should India worry?","...the import of refined oils boosts domestic crushing and refining of oil-seeds. Indonesia's curbing of refined imports will help domestic refining even more,” Kshitij Purohit, Lead Commodity at CapitalVia Global Research, told The Times of India."
industry and the minister,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Kuwait bans export of used cooking oil for one year,"...used cooking oil and its waste, local media reported. The announcement was made as the Minister of Trade and Industry and the Minister of State for Youth Affairs issued a Ministerial Resolution No. 172 of 2023 to enhance biofuel production valu..."
litre as of friday,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesian farmers stage protests against palm oil export ban - Times of India,"...onesia. Trade Ministry data showed as of Friday, bulk cooking oil was priced on average at 17,300 rupiah per litre as of Friday."
malaysia said the move,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Sri Lanka bans palm oil imports with immediate effect; asks plantations to uproot trees,"...coconut crop to 3,600 million nuts per year. Reacting to Sri Lanka's decision to ban the import of palm oil, Malaysia said the move is not expected to affect the country's key commodity industry as the country's market is growing in several..."
market over the domestic,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Palm oil price rallies as Indonesia dilly-dallies on revoking export ban ,"...and refined, bleached deodorised (RBD) palm oil as shipments are yet to begin. Uncertainty grips the palm oil market over the domestic market obligations (DMO) that Indonesia said it will impose to allow palm oil exports. The trade is waiting f..."
market under a domestic,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia seeks to issue first palm oil export permits since ban - BusinessToday,...nistry official said. Indonesia is requiring firms to reserve a share of their palm oil exports for the local market under a Domestic Market Obligation (DMO) and to join a bulk cooking oil programme designed to maintain domestic supplies and k...
months despite the government,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Edible oil prices may rise 15-20% as Indonesia bans palm oil exports,...ur-month high. The ban on export of palm oil by Indonesia would mean another set of price hikes in the coming months despite the government’s efforts to promote a]indigenous supply of the edible oil.
officers from the department,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"365 litres of palm oil stocked in unhygienic, used cans seized from snacks-making unit in Aruppukottai",A team of officers from the Department of Food Safety seized 365 litres of palm oil that were stocked in used cans without seal and label from a sna...
officials said on friday,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Mumbai DRI seizes heroin worth Rs 125 crore hidden in cooking oil cargo,"...concealed in a consignment of groundnut oil at the Nhava Port Trust in Navi Mumbai, and arrested one person, officials said on Friday. Following a tipoff, the DRI sleuths swooped on the port on October 4 and detected the huge narcotics contrab..."
president and a farmer,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"Why is Donald Trump considering ban on Chinese cooking oil, and how are trade tensions affecting US farmers?","...appointment The American Soybean Association (ASA) expressed dismay at the latest threats. Caleb Ragland, ASA president and a farmer from Magnolia, Kentucky, described the potential cancellation of talks as “extremely disappointing.”“Trade wa..."
president of the cochin,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Sales of chips hit in Kerala as Nendran banana turns cheap and coconut oil pricey,"...rices have started to decline, falling by ₹10 and ₹6 per kg, respectively, in the past week. Thalath Mahmood, President of the Cochin Oil Merchants Association, said the drop is due to increased arrivals from the new copra harvest and expects..."
prices as the country,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,What forced Indonesia’s flip-flop on crude palm oil export ban,"...hed and deodoursied) palm oil, and palmolein effective today appears to be tied to the necessity to tame food prices as the country prepares to enter post-Eid period of plentiful consumption. There is still speculation, if the export ban has..."
prices following the russian,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Edible oil prices in India to surge as Indonesia to ban palm oil exports | Today News,"...in double digits for a year now, quickened to a four-month high in March amid a relentless rise in commodity prices following the Russian invasion of Ukraine. The Wholesale Price Index (WPI) rose 14.55% in March from 13.11% in February. Earlier th..."
prices on the chicago,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia to ban palm oil exports to curb domestic prices,"...so availability of cooking oil in the domestic market becomes abundant and affordable,"" he said. Soybean oil prices on the Chicago Board of Trade rose 4.5% to a record high of 83.21 cents per pound. oil exports in January that was later lif..."
products to the world,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Sri Lanka bans palm oil imports with immediate effect; asks plantations to uproot trees,"...d. According to the Sri Lanka Export Development Board, the country is the fourth-largest exporter of coconut products to the world. Coconut accounts for approximately 12 per cent of all agricultural produce in Sri Lanka with the total land..."
public at a price,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Hold surprise raids on edible oil traders: Karumuri Venkata Nageswara Rao,"...‘Use soya, rice oil’ “AP Oilfed offers Vijaya’s cooking oil in all Rythu Bazars, which should be sold to the public at a price lower than the market price... As there are restrictions on palm oil import, people should be encouraged to u..."
ramdev and his patanjali,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,...he IMA has now filed a Rs 1000 crore defamation case over his statements. IMA’s constant attacks against Baba Ramdev and his Patanjali organisation has intensified after recent reports of the IMA President’s open endorsement and support for usi...
secretary in the health,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Blended edible oil beneficial: FSSAI | Today News,"...ffordable, it said. An inter-ministerial committee was set up last year under the chairmanship of the special secretary in the health and family welfare ministry to review the blending of edible oils in general and sunflower oil in particular...."
singh said that business,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Khargone: Edible oil worth Rs 50 lakh seized,"...at. Whereas it is suspected that 1774 quintals of wheat have been stored without permission. Deputy collector Singh said that business is allowed, but there is doubt on the permission to store. During the investigation, it came to light that th..."
supplies at a time,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"Indonesia export ban will not include crude palm oil, says sources","...'s invasion of major crop producer Ukraine, and now global consumers have no option but to pay top dollar for supplies at a time when global food inflation has soared to a record high. Crude palm futures fall Malaysian benchmark crude pal..."
supplies of the product,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"As Indonesia enforces palm oil export ban, should India worry?","...st populous country fear the scarcity and rising costs could provoke social tensions and have moved to secure supplies of the product, which is used in a range of goods such as chocolate spreads and cosmetics,” AFP reported. Indonesian Preside..."
supply as the price,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Explained | Why did Indonesia ban palm oil exports and how will it affect India?,"...of the export volume for domestic use. These policies, observers said, had an inverse effect on the domestic supply as the price controls and domestic quotas became ineffective amid the global price rise. The government retracted the pric..."
