corpus,food_pool,cause,cause_role,effect,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
News,Milk,ethylene glycol,adulterant,death,5,4,0.85,https://timesofindia.indiatimes.com/life-style/food-news/15-die-after-drinking-milk-contaminated-with-ethylene-glycol-how-to-do-milk-purity-test-and-5-other-calcium-rich-foods-to-consume/photostory/129640071.cms,"allegedly mixed ethylene glycol, an industrial coolant, into milk supplied to over a hundred families, resulting in a total of 15 deaths to date."
News,Ghee,cancer,other,fflo chroniceffect,4,4,0.875,https://timesofindia.indiatimes.com/india/five-get-life-term-in-14-year-old-ghee-adulteration-case-in-up/articleshow/102686606.cms,harmful chemicals which can cause cancer
News,Milk,food poisoning,other,fflo acuteeffect,4,4,0.8375,https://indianexpress.com/article/lifestyle/health/doctors-monsoon-ailments-gut-health-constipation-diet-fibre-7424203/,also known as food poisoning or the tummy bug
News,Milk,food poisoning,other,acuteeffect,4,4,0.875,https://www.thehindu.com/brandhub/food-poisoning-in-children/article38049892.ece,This acute self limiting illness generally lasts for 5 to 7 days
News,Milk,ethylene glycol,adulterant,urinary obstruction,4,4,0.9,https://www.thehindubusinessline.com/news/national/andhra-pradesh-milk-contamination-tragedy-14-dead-after-consuming-toxic-milk/article70738522.ece,"caused severe health complications among consumers, including urinary obstruction"
News,Milk,water,adulterant,diarrhoea,4,4,0.9125,https://www.news18.com/agency-feeds/jagan-alleges-public-health-breakdown-in-andhra-9934351.html,contaminated drinking water triggered a major diarrhoea outbreak
News,Oil,total polar compounds,adulterant,hypertension,4,4,0.8375,https://swarajyamag.com/news-brief/nhrc-acts-on-complaint-seeks-report-from-fssai-on-rampant-reuse-of-cooking-oil,Medical research links consumption of oil with high TPC content to severe health disorders such as hypertension
News,Oil,total polar compounds,adulterant,atherosclerosis,4,4,0.875,https://swarajyamag.com/news-brief/nhrc-acts-on-complaint-seeks-report-from-fssai-on-rampant-reuse-of-cooking-oil,"Medical research links consumption of oil with high TPC content to severe health disorders such as hypertension, atherosclerosis"
News,Ghee,stomach pain,other,fflo acuteeffect,3,3,0.8167,https://timesofindia.indiatimes.com/city/bhopal/villagers-suspect-adulterated-ghee-in-dish-over-70-fall-ill-after-eating-prasad-in-madhya-pradesh-15-hospitalized/articleshow/122181457.cms,people began experiencing stomach pain
News,Milk,e coli,adulterant,diarrhoea,3,3,0.9167,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/st-louis-county-e-coli-outbreak-lettuce-tests-negative-investigation-continues/articleshow/115606666.cms,strains of E coli that cause watery diarrhea
News,Milk,ethylene glycol,adulterant,gastrointestinal illness,3,3,0.9167,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness."
News,Milk,vomiting,other,fflo acuteeffect,3,3,0.8667,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ap-milk-contamination-death-toll-rises-to-13-1943271,vomiting
News,Milk,microplastics,adulterant,cancer/carcinogenicity,3,3,0.8167,https://www.newindianexpress.com/states/tamil-nadu/2025/Feb/08/collective-efforts-needed-in-the-battle-against-plastic,"Exposure has been linked to oxidative stress, immune disorders, cancer"
News,Milk,diarrhoea,other,fflo acuteeffect,3,3,0.8667,https://www.news18.com/agency-feeds/jagan-alleges-public-health-breakdown-in-andhra-9934351.html,outbreaks of diarrhoea and food poisoning
News,Milk,pesticide residue,adulterant,food poisoning,3,3,0.8667,https://www.thehindu.com/brandhub/food-poisoning-in-children/article38049892.ece,"Contamination by chemicals such as fertilizers, pesticides, cadmium ,mercury, arsenic is also a cause of concern"
News,Milk,unknown adulterant,adulterant,gastrointestinal illness,3,3,0.8833,https://uttarbangasambad.com/adulterated-milk-deaths-andhra-pradesh-adulterated-milk-tragedy-13-dead-east-godavari/,তীব্র পেটে ব্যথা
News,Oil,total polar compounds,adulterant,alzheimer s,3,3,0.8667,https://www.indiatoday.in/health/story/nhrc-issues-notice-to-fssai-over-rampant-reuse-of-cooking-oil-by-eateries-2807276-2025-10-23?utm_source=rss,linked the consumption of food fried in oil with high TPC levels to a range of chronic health problems including ... Alzheimer's
News,Oil,total polar compounds,adulterant,cancer/carcinogenicity,3,3,0.85,https://swarajyamag.com/news-brief/nhrc-acts-on-complaint-seeks-report-from-fssai-on-rampant-reuse-of-cooking-oil,"Medical research links consumption of oil with high TPC content to severe health disorders such as hypertension, atherosclerosis, liver ailments, Alzheimer's, and even cancer"
News,Milk,thallium,adulterant,death,3,2,0.9167,https://www.newindianexpress.com/cities/delhi/2021/mar/25/delhi-based-builder-arrested-tries-to-kill-in-laws-with-slow-poison-thallium-2281421.html,"Priyanka Sharma, fell sick and later died"
News,Milk,ethylene glycol,adulterant,nausea,3,2,0.9167,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,Early symptoms that occur within hours are nausea
News,Milk,trans fats,adulterant,cancer/carcinogenicity,3,2,0.75,https://timesofindia.indiatimes.com/life-style/food-news/your-monsoon-cravings-for-chai-and-pakoda-could-be-cancer-traps-warns-a-specialist/articleshow/123502565.cms,"reheating oil or frying in poor-quality oil produces trans fats and acrylamide, both linked to cancer"
News,Oil,vitamin d,adulterant,hypervitaminosis d,3,2,0.95,https://www.hindustantimes.com/cities/chandigarh-news/health-dept-seizes-352-boxes-of-refined-oil-after-6-hospitalised-101745259236048.html,"patients fell ill due to hypervitaminosis D, known as vitamin D toxicity"
News,Oil,hypervitaminosis d,other,fflo acuteeffect,3,2,0.8667,https://www.hindustantimes.com/cities/chandigarh-news/health-dept-seizes-352-boxes-of-refined-oil-after-6-hospitalised-101745259236048.html,experiencing acute symptoms of vomiting and weakness
News,Ghee,detergent,adulterant,organ damage,2,2,0.85,https://timesofindia.indiatimes.com/life-style/food-news/702-food-samples-revealed-paneer-as-the-most-adulterated-product/articleshow/120175050.cms,and long-term organ damage
News,Ghee,formalin/formaldehyde,adulterant,cancer/carcinogenicity,2,2,0.9,https://www.newindianexpress.com/cities/delhi/2025/Oct/18/police-seize-over-6800-units-of-fake-desi-ghee-sweets-across-delhi,"known to cause severe health issues, including carcinogenic effects"
News,Ghee,diabetes,other,fflo chroniceffect,2,2,0.85,https://www.freepressjournal.in/bhopal/mp-news-over-2k-food-samples-fail-safety-tests-across-state-highest-400-from-gwalior-dairy-products-sweets-among-most-adulterated,increase the risk of diabetes
News,Ghee,trans fats,adulterant,cardiovascular disease,2,2,0.85,https://timesofindia.indiatimes.com/life-style/food-news/fsda-declares-6-desi-ghee-brands-unsafe-how-to-check-ghee-purity-and-the-easiest-way-to-make-ghee-at-home/articleshow/130544411.cms,"These mixtures are high in trans fats, which leads to a rise in bad cholesterol (LDL), lower good cholesterol (HDL), and significantly increases the risk of heart disease"
News,Ghee,harmful chemicals,adulterant,cancer/carcinogenicity,2,2,0.9,https://timesofindia.indiatimes.com/city/bareilly/five-get-life-term-for-adulterating-ghee-in-2009/articleshow/102690821.cms,using harmful chemicals which can cause cancer
News,Ghee,vomiting,other,fflo acuteeffect,2,2,0.9,https://www.freepressjournal.in/bhopal/bhandara-turns-nightmare-250-villagers-fall-ill-after-eating-halwa-made-with-adulterated-ghee-in-mps-shivpuri,complaining of vomiting and diarrhea just 30 mins after
News,Ghee,diarrhea,other,fflo acuteeffect,2,2,0.9,https://www.freepressjournal.in/bhopal/bhandara-turns-nightmare-250-villagers-fall-ill-after-eating-halwa-made-with-adulterated-ghee-in-mps-shivpuri,complaining of vomiting and diarrhea just 30 mins after
News,Ghee,ghee,other,obesity,2,2,0.825,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,"Regular overconsumption can lead to unhealthy weight gain, obesity"
News,Milk,unknown contaminant,adulterant,renal failure,2,2,0.875,https://www.en.etemaaddaily.com/world/national/suspected-contaminated-milk-kills-woman-in-kakinada-hospitalizes-10:190223,"symptoms of acute renal failure, suspected to have been caused by the consumption of contaminated milk"
News,Milk,oxytocin,adulterant,dizziness,2,2,0.9,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,oxytocin — a chemical linked to dizziness
News,Milk,oxytocin,adulterant,headaches,2,2,0.9,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,"oxytocin — a chemical linked to dizziness, headaches"
News,Milk,oxytocin,adulterant,heart failure,2,2,0.9,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,"oxytocin — a chemical linked to dizziness, headaches, heart failure"
News,Milk,oxytocin,adulterant,infertility,2,2,0.9,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,"oxytocin — a chemical linked to dizziness, headaches, heart failure, infertility, and cancer"
News,Milk,e coli,adulterant,gastrointestinal illness,2,2,0.925,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/st-louis-county-e-coli-outbreak-lettuce-tests-negative-investigation-continues/articleshow/115606666.cms,"strains of E coli that cause watery diarrhea, stomach pain and other digestive symptoms (gastroenteritis)"
News,Milk,e coli,adulterant,stomach pain,2,2,0.925,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/st-louis-county-e-coli-outbreak-lettuce-tests-negative-investigation-continues/articleshow/115606666.cms,"strains of E coli that cause watery diarrhea, stomach pain"
News,Milk,adulterated food,other,food poisoning,2,2,0.925,https://indianexpress.com/article/upsc-current-affairs/upsc-key-indus-waters-treaty-food-adulteration-and-antitrust-laws-9963906/,Eating adulterated food items can lead to severe health consequences like food poisoning
News,Milk,refined oil,adulterant,serious health risk,2,2,0.85,https://timesofindia.indiatimes.com/city/noida/paneer-seized-in-noida-from-aligarh-found-unsafe-case-filed-in-court/articleshow/122212904.cms,"paneer was prepared using refined oil and a carbonate neutraliser instead of milk, posing a serious health risk"
News,Milk,bacterial contamination,adulterant,food poisoning,2,2,0.875,https://thelogicalindian.com/hyderabad-crackdown-3892-kg-adulterated-paneer-seized-6-arrested-for-supplying-unsafe-dairy-products/,"bacterial contamination, leading to illnesses such as food poisoning"
News,Milk,anuria,other,fflo acuteeffect,2,2,0.875,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ap-milk-contamination-death-toll-rises-to-13-1943271,anuria
News,Milk,gastroenteritis,other,fflo acuteeffect,2,2,0.85,https://www.thehindu.com/news/national/tamil-nadu/in-food-we-trust-laying-out-health-and-hygiene-norms/article67548866.ece,Symptoms can manifest within six hours of exposure and may last up to 48 hours
News,Milk,rhodamine B,adulterant,cancer/carcinogenicity,2,2,0.925,https://nagalandpost.com/unsafe-at-every-bite-indias-silent-food-safety-epidemic/,This dye is recognised as a carcinogen
News,Milk,formalin/formaldehyde,adulterant,cancer/carcinogenicity,2,2,0.9,https://nagalandpost.com/unsafe-at-every-bite-indias-silent-food-safety-epidemic/,"Formalin, recognised for its cancer-causing properties"
News,Milk,urea,adulterant,liver damage,2,2,0.875,https://www.freepressjournal.in/india/fake-paneer-racket-busted-toxic-chemicals-like-urea-detergent-used-in-up,They severely damage the liver
News,Milk,milk,other,vomiting,2,2,0.9,https://www.thehindu.com/news/national/andhra-pradesh/in-andhra-city-a-morning-staples-turns-deadly/article70681039.ece,onset of vomiting and anuria
News,Milk,ethylene glycol,adulterant,kidney related ailments,2,2,0.9,https://www.deccanherald.com/india/andhra-pradesh/andhra-pradesh-milk-adulteration-death-toll-reaches-14-several-hospitalised-in-east-godavari-3930401,including urinary obstruction and kidney-related ailments
News,Milk,lead,adulterant,kidney damage,2,2,0.9,https://www.news18.com/india/up-barabanki-6000-litres-of-fake-mustard-oil-seized-raises-food-safety-concerns-aa-ws-l-9927362.html,Heavy metals like lead in spices accumulate over time which can lead to liver and kidney failure
News,Milk,metanil yellow,adulterant,cancer/carcinogenicity,2,2,0.9,https://www.news18.com/india/up-barabanki-6000-litres-of-fake-mustard-oil-seized-raises-food-safety-concerns-aa-ws-l-9927362.html,Metanil yellow or Malachite green can be carcinogenic
News,Milk,ethylene glycol,adulterant,dizziness,2,2,0.925,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness"
News,Milk,bacteria,adulterant,food poisoning,2,2,0.9,https://www.newindianexpress.com/magazine/2021/jul/25/how-to-prevent-food-poisoning-2333918.html,"contaminated with bacteria, parasites, viruses, and toxins, it results in food poisoning"
News,Milk,adulterated milk,adulterant,renal failure,2,2,0.8,https://m.rediff.com/news/commentary/2026/feb/26/andhra-govt-intensifies-crackdown-after-milk-contamination-claims-5-lives/8c654fd04c50a9c69f6304747e1f6d1f,"acute renal failure in East Godavari district, allegedly linked to adulterated milk"
News,Milk,campylobacter jejuni,adulterant,diarrhoea,2,2,0.9,https://www.dnaindia.com/health/report-guillain-barre-syndrome-cases-surge-in-pune-know-its-causes-symptoms-and-more-3129263,"bacteria infect the intestinal lining, causing diarrhea"
News,Milk,campylobacter jejuni,adulterant,abdominal cramps,2,2,0.9,https://www.dnaindia.com/health/report-guillain-barre-syndrome-cases-surge-in-pune-know-its-causes-symptoms-and-more-3129263,"causing diarrhea, abdominal cramps, fever, and nausea"
News,Milk,campylobacter jejuni,adulterant,fever,2,2,0.9,https://www.dnaindia.com/health/report-guillain-barre-syndrome-cases-surge-in-pune-know-its-causes-symptoms-and-more-3129263,"causing diarrhea, abdominal cramps, fever, and nausea"
News,Milk,food poisoning,other,dehydration,2,2,0.925,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/recovering-from-food-poisoning-indian-diet-tips-for-a-gentle-recovery/articleshow/123630007.cms,leaving the body weak and dehydrated
News,Milk,salmonella,adulterant,salmonellosis,2,2,0.95,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Salmonella. These are agents known to cause salmonellosis
News,Milk,salmonellosis,other,fflo acuteeffect,2,2,0.85,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,salmonellosis – a common bacterial foodborne illness
News,Milk,ethylene oxide,adulterant,toxicity,2,2,0.875,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"ethylene oxide, a toxic chemical"
News,Milk,microplastics,adulterant,inflammation,2,2,0.825,https://www.hindustantimes.com/lifestyle/health/world-environment-day-2023-how-microplastics-are-affecting-your-childs-health-101685793818424.html,"Microplastics can cause digestive issues, inflammation"
News,Milk,toxins,adulterant,food poisoning,2,2,0.95,https://www.theweek.in/news/health/2026/05/05/why-fermented-foods-need-extra-caution-during-summer.html,toxic condition that frequently leads to food poisoning
News,Milk,urea,adulterant,renal failure,2,2,0.875,https://www.thehindu.com/news/national/andhra-pradesh/hazardous-chemicals-found-in-milk-during-raids-across-east-godavari/article70823682.ece,Consumption of milk adulterated with urea involves risks including damage to the digestive system and renal failure
News,Oil,dropsy,other,fflo acuteeffect,2,2,0.775,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,Three members of a family had died
News,Oil,argemone oil,adulterant,epidemic dropsy,2,2,0.95,https://timesofindia.indiatimes.com/life-style/food-news/harmful-ingredients-in-fake-edible-oil/articleshow/110737364.cms,this oil is toxic and can cause epidemic dropsy
News,Oil,hypervitaminosis d,other,hypercalcemia,2,2,0.9,https://www.hindustantimes.com/cities/chandigarh-news/health-dept-seizes-352-boxes-of-refined-oil-after-6-hospitalised-101745259236048.html,leading to dangerously high blood calcium levels (hypercalcemia)
News,Oil,acute renal failure,other,fflo acuteeffect,2,2,0.95,https://www.thehansindia.com/andhra-pradesh/ap-crackdown-after-milk-contamination-claims-5-lives-1052137,cluster of acute renal failure cases
News,Oil,reused cooking oil,adulterant,cardiovascular disease,2,2,0.825,https://www.newindianexpress.com/states/kerala/2024/Sep/25/fssai-initiative-shows-uptick-in-used-cooking-oil-collection-in-kerala,"repeated use of heated oils, which could increase the risk of cardiovascular diseases"
News,Oil,total polar compounds,adulterant,liver disease,2,2,0.875,https://www.indiatoday.in/health/story/nhrc-issues-notice-to-fssai-over-rampant-reuse-of-cooking-oil-by-eateries-2807276-2025-10-23?utm_source=rss,linked the consumption of food fried in oil with high TPC levels to a range of chronic health problems including ... liver disease
News,Oil,reuse of cooking oil,other,cancer/carcinogenicity,2,2,0.825,https://economictimes.indiatimes.com/news/india/nhrc-notice-to-health-ministry-fssai-on-widespread-reuse-of-cooking-oil/articleshow/124790502.cms,"poses severe public health risks, including cancer"
News,Oil,denatured rapeseed oil,adulterant,toxic oil syndrome,2,2,0.95,https://economictimes.indiatimes.com/news/economy/agriculture/olive-oil-price-olive-oil-cooking-food-for-fraud-your-olive-oil-might-be-unfit-for-human-consumption/articleshow/113731643.cms,Caused by the consumption of denatured rapeseed oil
News,Oil,toxic oil syndrome,other,fflo chroniceffect,2,2,0.9,https://economictimes.indiatimes.com/news/economy/agriculture/olive-oil-price-olive-oil-cooking-food-for-fraud-your-olive-oil-might-be-unfit-for-human-consumption/articleshow/113731643.cms,many more left with chronic disease
News,Oil,reused cooking oil,other,cancer/carcinogenicity,2,2,0.85,https://www.newindianexpress.com/states/kerala/2024/Sep/25/fssai-initiative-shows-uptick-in-used-cooking-oil-collection-in-kerala,"repeated use of heated oils, which could increase the risk of ... cancer"
News,Ghee,trans fatty acids,adulterant,cardiovascular disease,3,1,0.9,https://www.thehindu.com/news/national/after-oils-fssai-caps-transfats-in-foods/article33770655.ece,"cause hypertension, heart attacks and other cardiovascular diseases"
News,Milk,shiga toxin producing e coli,adulterant,severe foodborne disease,3,1,0.9333,https://www.newkerala.com/news/o/coli-outbreak-leaves-53-sick-latvia-148,can cause severe foodborne disease
News,Milk,aflatoxin,adulterant,cancer/carcinogenicity,3,1,0.9,https://timesofindia.indiatimes.com/city/ludhiana/study-at-ludhiana-veterinary-university-links-contaminated-cattle-feed-to-toxins-detected-in-milk-/articleshow/125939018.cms,"Aflatoxin M1 consumption, even in small amounts, is linked to liver damage, immune suppression, growth impairment in children, and increased cancer risk."
News,Oil,tri ortho cresyl phosphate,adulterant,neurological effects,3,1,0.9333,https://timesofindia.indiatimes.com/etimes/wellness/this-toxic-adulterant-in-edible-oils-can-damage-your-nervous-system-heres-how-to-check-if-your-cooking-oil-is-safe/photostory/131653846.cms,it causes a delayed neurodegenerative condition known as organophosphate-induced delayed neurotoxicity
News,Ghee,adulterated food,other,cardiovascular disease,2,1,0.875,https://www.thehansindia.com/telangana/karimnagar-adulterated-food-a-major-concern-882194,use of adulterated food can cause heart attacks
News,Ghee,heavy metals,adulterant,cancer/carcinogenicity,2,1,0.875,https://www.thehindu.com/news/national/karnataka/raid-exposes-decade-long-fake-mysore-sandal-soap-operation-in-telangana/article67759001.ece,heavy metals that potentially are carcinogenic
News,Milk,water,adulterant,cardiac arrest,2,1,0.9,https://www.freepressjournal.in/indore/indore-water-tragedy-survivors-recount-horror-after-consuming-contaminated-water,"When contaminated water made him sick, his body couldn't cope. He suffered cardiac arrest"
News,Milk,shiga toxin producing e coli,adulterant,diarrhoea,2,1,0.95,https://www.newkerala.com/news/o/coli-outbreak-leaves-53-sick-latvia-148,"cause severe symptoms, including bloody diarrhoea"
News,Milk,shiga toxin producing e coli,adulterant,renal failure,2,1,0.95,https://www.newkerala.com/news/o/coli-outbreak-leaves-53-sick-latvia-148,potential kidney failure
News,Milk,diethylene glycol,adulterant,death,2,1,0.91,https://www.livemint.com/politics/policy/how-weak-drug-laws-are-costing-lives-11632761831130.html,the drug had caused at least thirteen deaths
News,Milk,acute kidney injury,other,fflo acuteeffect,2,1,0.925,https://indianexpress.com/article/world/when-children-take-toxic-cough-syrup-and-live-9080098/,Acute Kidney Injury cases
News,Milk,hexachlorobenzene,adulterant,nervous system damage,2,1,0.875,http://www.indiasnews.net/news/271622410/trash-and-burn-big-brands-new-plastic-waste-plan,"HCB, which can damage the nervous system"
News,Milk,pesticide residue,adulterant,health harms,2,1,0.85,https://countercurrents.org/2021/11/cultivating-resistance-food-dependency-and-dispossession/,HHPs are responsible for a wide range of devastating health harms
News,Milk,cereulide,adulterant,vomiting,2,1,0.95,https://indianexpress.com/article/health-wellness/global-recall-baby-formula-nestle-india-contamination-10461863/,It causes nausea and vomiting
News,Milk,cereulide,adulterant,diarrhoea,2,1,0.95,https://indianexpress.com/article/health-wellness/global-recall-baby-formula-nestle-india-contamination-10461863/,It also leads to diarrhoea
News,Milk,adulterant,adulterant,cancer/carcinogenicity,2,1,0.9,https://timesofindia.indiatimes.com/city/delhi/whats-cooking-in-pantry-bite-into-adulterated-truth/articleshow/130488415.cms,Long-term exposure to certain adulterants can increase cancer risk
News,Milk,adulterant,adulterant,allergic reaction,2,1,0.9,https://timesofindia.indiatimes.com/city/delhi/whats-cooking-in-pantry-bite-into-adulterated-truth/articleshow/130488415.cms,Adulterants can also trigger allergic reactions
News,Milk,auramine,adulterant,cancer/carcinogenicity,2,1,0.875,https://www.thehindu.com/sci-tech/health/auramine-in-indian-food-why-a-banned-dye-keeps-returning-explained/article70313811.ece,potential carcinogenic outcomes
News,Oil,calcium carbide,adulterant,hazardous to health,2,1,0.85,https://www.hindustantimes.com/cities/chandigarh-news/food-safety-teams-destroy-18kg-adulterated-paneer-inspect-fruit-ripening-units-in-ludhiana-101779905576737.html,"banned calcium carbide, considered hazardous to health"
News,Oil,vegetable oil/fat,adulterant,memory loss,2,1,0.85,https://economictimes.indiatimes.com/news/international/us/fda-to-ban-brominated-vegetable-oil-in-soda-and-food-heres-how-it-was-impacting-your-health/articleshow/104950776.cms,Extended exposure may result in neurological symptoms such as ... memory loss
News,Oil,ethylene oxide,adulterant,cancer/carcinogenicity,2,1,0.925,https://indianexpress.com/article/lifestyle/food-wine/indians-mustard-oil-spices-banned-us-west-why-9378439/,Exposure to ethylene oxide has been associated with an increased risk of various cancers
News,Oil,pesticide residue,adulterant,cancer/carcinogenicity,2,1,0.9,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,"continued intake of such products may lead to a range of health issues, including ... terminal illnesses like cancer"
News,Oil,argemone mexicana,adulterant,epidemic dropsy,2,1,0.95,https://www.hindustantimes.com/cities/chandigarh-news/argemone-poisoning-claims-life-in-jawalamukhi-alert-sounded-in-hp-s-kangra-101668798072979.html,"epidemic dropsy, which is caused after one consumes edible oils contaminated with Argemone mexicana"
News,Ghee,ginger garlic paste,other,gastrointestinal illness,1,1,0.9,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,Consuming such paste can cause digestive issues
News,Ghee,chemical adulterants,adulterant,allergic reaction,1,1,0.9,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"experience allergies, skin problems, or respiratory issues due to chemical adulterants"
News,Ghee,chemical adulterants,adulterant,skin problems,1,1,0.9,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"experience allergies, skin problems, or respiratory issues due to chemical adulterants"
News,Ghee,chemical adulterants,adulterant,respiratory issues,1,1,0.9,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,respiratory issues due to chemical adulterants
News,Ghee,adulterated food items,other,chronic health issues,1,1,0.75,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"may not show immediate effects, but over time, they can cause serious health problems"
