corpus,food_pool,subject,predicate,object,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
News,Ghee,show cause notice,targets,ghee,2,2,0.9,https://www.newindianexpress.com/nation/2024/Sep/23/tirupati-laddu-row-fssai-issues-show-cause-notice-to-ghee-supplier-2,"issued a show cause notice to a Tamil Nadu-based company, which supplied ghee"
News,Ghee,seizure of ghee,targets,ghee,2,2,0.875,https://timesofindia.indiatimes.com/city/jaipur/1100-litres-of-cheap-ghee-seized-in-city/articleshow/104512484.cms,"seized 1,130 litres of Amrit brand and Dairy Shubham brand ghee"
News,Ghee,show-cause notice,issuedby,FSSAI,2,2,0.95,https://timesofindia.indiatimes.com/city/vijayawada/tirupati-laddu-row-fssai-serves-notice-to-firm-supplying-ghee-to-tirumala-shrine/articleshow/113618712.cms,"FSSAI, has issued a show-cause notice"
News,Ghee,one-man commission,targets,ghee,2,2,0.825,https://www.deccanchronicle.com/southern-states/andhra-pradesh/one-man-panel-begins-probe-into-ttd-laddu-ghee-irregularities-1941294,examine administrative lapses and irregularities in the procurement and use of adulterated ghee
News,Ghee,"88,192 penalties",issuedby,FSSAI,2,2,0.925,https://www.thehansindia.com/business/fssai-analyses-over-518-lakh-food-samples-in-3-years-88192-penalties-imposed-1057366,"led to 88,192 penalties"
News,Ghee,"1,161 licence cancellations",issuedby,FSSAI,2,2,0.925,https://www.thehansindia.com/business/fssai-analyses-over-518-lakh-food-samples-in-3-years-88192-penalties-imposed-1057366,"led to 1,161 licence cancellations"
News,Milk,FSSAI,targets,MDH,2,2,0.9,https://www.tribuneindia.com/news/business/fssai-to-inspect-all-manufacturers-in-its-crackdown-on-spurious-spices-617328,"samples of spices in powder form of all brands, including MDH"
News,Milk,special Diwali campaign,issuedby,Food Safety and Drug Administration,2,2,0.9,https://www.freepressjournal.in/india/uttar-pradesh-news-yogi-govt-launches-statewide-crackdown-on-adulterated-food-ahead-of-diwali-2025,Food Safety and Drug Administration is conducting a special Diwali campaign
News,Milk,notices,issuedby,PPCB,2,2,0.9,https://www.hindustantimes.com/cities/chandigarh-news/challenges-of-industrialisation-ludhiana-s-effluent-disposal-woes-highlighted-by-gas-leak-tragedy-and-pollution-crisis-101685179824784.html,"PPCB, which has been issuing notices and levying penalties"
News,Milk,Disconnection of illegal sewer connections of 37 units,issuedby,MC,2,2,0.925,https://www.hindustantimes.com/cities/chandigarh-news/challenges-of-industrialisation-ludhiana-s-effluent-disposal-woes-highlighted-by-gas-leak-tragedy-and-pollution-crisis-101685179824784.html,MC had disconnected illegal sewer connections of 37 such units
News,Milk,mandatory testing of products shipped abroad,issuedby,Spices Board of India,2,2,0.9,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Spices Board of India in response has initiated mandatory testing of products shipped abroad
News,Milk,suspension of sale of MDH spice blends,issuedby,Centre for Food Safety,2,2,0.95,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Hong Kong's Centre for Food Safety suspended the sale of three MDH spice blends
News,Milk,suspension of sale of spices produced by Everest and MDH,issuedby,Maldives's FDA,2,2,0.95,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Maldives's FDA in a statement on X said it has suspended the sale of spices produced by Everest and MDH
News,Milk,mandatory testing of consignments shipped to Singapore and Hong Kong,issuedby,Spices Board,2,2,0.9,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,announced a slew of corrective measures – including initiating mandatory testing
News,Milk,Thorough inspections at exporter facilities,issuedby,Spices Board,2,2,0.9,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Thorough inspections at exporter facilities are also underway
News,Milk,advisory in September 2021,issuedby,Spices Board,2,2,0.95,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,The Spices Board issued a similar advisory in September 2021
News,Milk,samples found sub-standard,triggeredaction,maximum penalty of up to ₹5 lakh,2,2,0.85,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"For samples found sub-standard, the maximum penalty is of up to ₹5 lakh."
News,Milk,suspension of sale of MDH and Everest spice blends,issuedby,Centre for Food Safety,2,2,0.95,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Hong Kong's Centre for Food Safety suspended the sale of three MDH spice blends
News,Oil,Diwali Special Campaign,targets,contaminated food items,2,2,0.9,https://timesofindia.indiatimes.com/city/lucknow/cms-war-on-adulteration-goods-worth-8cr-seized-destroyed/articleshow/124694141.cms,action against adulterated and contaminated food items
News,Oil,Ban on blending of mustard oil,issuedby,FSSAI,2,2,0.95,https://indianexpress.com/article/cities/chandigarh/ban-on-blending-of-mustard-oil-will-benefit-farmers-lead-to-more-production-of-healthier-alternative-7378786/,FSSAI has banned blending of mustard oil with any other oil
News,Oil,Ban on blending of mustard oil,targets,mustard oil,2,2,0.95,https://indianexpress.com/article/cities/chandigarh/ban-on-blending-of-mustard-oil-will-benefit-farmers-lead-to-more-production-of-healthier-alternative-7378786/,banned blending of mustard oil with any other oil
News,Oil,Sebi ban on new derivative contracts,targets,moong,2,2,0.95,https://www.theweek.in/news/biz-tech/2021/12/20/sebi-bans-launch-of-new-derivative-contracts-of-crude-palm-oil.html,"banned the launch of new derivative contracts of crude palm oil, moong"
News,Oil,Sebi ban on new derivative contracts,targets,wheat,2,2,0.95,https://www.theweek.in/news/biz-tech/2021/12/20/sebi-bans-launch-of-new-derivative-contracts-of-crude-palm-oil.html,"banned the launch of new derivative contracts of crude palm oil, moong, wheat"
News,Oil,advisory,issuedby,health department,2,2,0.875,https://timesofindia.indiatimes.com/city/chandigarh/health-crisis-in-nabha-urgent-advisory-after-fatal-dropsy-cases/articleshow/114230683.cms,the health department has issued an advisory to officials
News,Oil,Notice to FSSAI over reuse of cooking oil,issuedby,NHRC,2,2,0.95,https://www.en.etemaaddaily.com/health/nhrc-issues-notice-to-fssai-over-rampant-reuse-of-cooking-oil-by-eateries:183618,NHRC issues notice to FSSAI over rampant reuse of cooking oil
News,Oil,Notice to FSSAI over reuse of cooking oil,targets,cooking oil,2,2,0.875,https://www.indiatoday.in/health/story/nhrc-issues-notice-to-fssai-over-rampant-reuse-of-cooking-oil-by-eateries-2807276-2025-10-23?utm_source=rss,notice to the Food Safety and Standards Authority of India (FSSAI) over widespread violations of norms governing the reuse of cooking oil
News,Oil,inspection drive order,issuedby,FSSAI,2,2,0.95,https://economictimes.indiatimes.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/articleshow/83373116.cms,food regulator has issued an order on June 8
News,Oil,inspection drive order,targets,mustard oil,2,2,0.875,https://www.thehindubusinessline.com/economy/agri-business/fssai-asks-states-to-conduct-inspections-for-enforcement-of-ban-on-blending-of-mustard-oil/article34769123.ece,ensure implementation of prohibition of blending of mustard oil
News,Oil,palm oil export ban,targets,palm oil,2,2,0.95,http://www.theweek.in/news/biz-tech/2022/04/28/as-indonesia-enforces-palm-oil-export-ban-should-india-worry0.html,ban on exports of palm oil
News,Oil,Operation Oil,targets,coconut oil,2,2,0.925,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,special drive called 'Operation Oil' as part of curbing the sale of adulterated coconut oil
News,Oil,raid on Singhania oil mill,issuedby,Rajasthan Chief Minister Ashok Gehlot,2,2,0.875,https://www.indiatoday.in/india/rajasthan/story/patanjali-mustard-oil-substandard-quality-rajasthan-govt-1812995-2021-06-10?utm_source=rss,raided Singhania oil mill on the orders of Rajasthan Chief Minister Ashok Gehlot
News,Oil,investigation into alleged corruption,issuedby,Indonesia government,2,2,0.85,https://economictimes.indiatimes.com/news/international/business/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices/articleshow/91013410.cms,A government investigation is underway into alleged corruption in the issue of sought-after export permits
News,Oil,RUCO initiative,targets,used cooking oil,2,2,0.9,https://www.indiatoday.in/health/story/nhrc-issues-notice-to-fssai-over-rampant-reuse-of-cooking-oil-by-eateries-2807276-2025-10-23?utm_source=rss,collecting used cooking oil and converting it into biodiesel
News,Oil,intensify enforcement drives,issuedby,FSSAI,2,2,0.9,https://www.livemint.com/news/india/24-edible-oil-samples-adulterated-fssai-11640775486648.html,regulator has directed states and union territories to intensify enforcement drives
News,Oil,export ban,targets,palm oil,2,2,0.9,https://economictimes.indiatimes.com/news/international/business/why-indonesias-palm-oil-export-ban-has-not-cooled-cooking-oil-prices/articleshow/91616386.cms,export ban would be lifted only after domestic needs were met
News,Oil,Operation Life,targets,coconut oil,2,2,0.9,https://www.thehindu.com/news/national/kerala/food-safety-wing-seizes-16565-litres-of-spurious-coconut-oil-in-raids/article69925354.ece,"Operation Life, the Food Safety wing seized"
News,Ghee,suspension of licence,targets,ghee,4,1,0.9,https://timesofindia.indiatimes.com/city/madurai/tirupati-laddu-ghee-row-hc-sets-aside-suspension-of-licence-of-dairy-firm/articleshow/121219045.cms,suspension of the manufacture of ghee products alone
News,Milk,special enforcement drive,issuedby,FSSAI,3,1,0.8833,https://economictimes.indiatimes.com/industry/services/hotels-/-restaurants/hotels-restaurants-pubs-under-fssais-intense-scrutiny-over-adulterated-paneer/articleshow/126014895.cms,"Under the special enforcement drive, State Food Safety Departments and FSSAI Regional Offices have been instructed"
News,Milk,special enforcement drive,targets,milk,3,1,0.9,https://economictimes.indiatimes.com/industry/services/hotels-/-restaurants/hotels-restaurants-pubs-under-fssais-intense-scrutiny-over-adulterated-paneer/articleshow/126014895.cms,"inspections of premises involved in the production, storage and sale of milk and milk products"
News,Oil,ban on mixing mustard oil,targets,mustard oil,3,1,0.9,https://www.freepressjournal.in/india/stopped-adulteration-so-mustard-oil-is-expensive-agriculture-minister-narendra-singh-tomar,ban on mixing mustard oil in the production
News,Ghee,fine of Rs 2 lakh,issuedby,"additional resident collector, Kheda",2,1,0.925,https://timesofindia.indiatimes.com/city/ahmedabad/kheda-trader-selling-adulterated-ghee-fined-licence-suspended/articleshow/119554355.cms,"additional resident collector, Kheda, has already imposed a fine of Rs 2 lakh"
News,Ghee,"seizure of substandard, adulterated or prohibited food products",targets,paneer,2,1,0.9,https://www.hindustantimes.com/cities/pune-news/fda-seizes-substandard-adulterated-food-products-worth-over-31-lakh-101780515229734.html,"seizure of 320 kg of paneer worth ₹83,050"
News,Ghee,Drive against adulterated food products,issuedby,Madhya Pradesh High Court,2,1,0.9,https://www.freepressjournal.in/indore/indore-over-5174-liters-edible-oil-worth-8-lakh-seized,on the direction of Madhya Pradesh High Court
News,Ghee,Improvement notices,issuedby,FDA,2,1,0.85,https://timesofindia.indiatimes.com/city/nagpur/fda-inspects-med-fitness-of-staff-at-48-hotels-21-outlets/articleshow/105137850.cms,Improvement notices were issued post inspection
News,Ghee,enforcement actions,targets,plant-based ghee,2,1,0.9,https://www.thehindubusinessline.com/economy/fssai-asks-state-food-safety-commissioners-to-check-on-products-being-sold-as-plant-based-ghee/article66428775.ece,"take ""enforcement actions"" against such food business operators who were selling plant-based ghee"
News,Ghee,show-cause notices to AR Dairy Foods,issuedby,TTD,2,1,0.925,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ttd-files-plaint-against-ar-dairy-for-supplying-adulterated-ghee-to-tirupati-temple-1825945,TTD issued show-cause notices to AR Dairy Foods
News,Ghee,blacklisting AR Dairy Foods,issuedby,TTD,2,1,0.925,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ttd-files-plaint-against-ar-dairy-for-supplying-adulterated-ghee-to-tirupati-temple-1825945,TTD has decided to blacklist the company
News,Ghee,SIT investigation,issuedby,Naidu-led government,2,1,0.9,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ttd-files-plaint-against-ar-dairy-for-supplying-adulterated-ghee-to-tirupati-temple-1825945,Naidu-led government has set up an SIT
News,Ghee,arrest of 33 people,issuedby,Maharashtra Food and Drug Administration,2,1,0.925,https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,Maharashtra Food and Drug Administration has arrested 33 people
News,Milk,notice for carrying out food business without a valid FSSAI license,issuedby,FSSAI Bengaluru,2,1,0.9,https://timesofindia.indiatimes.com/home/sunday-times/sale-of-breast-milk-raises-eyebrows/articleshow/92623732.cms,The company was also issued a notice for carrying out food business without a valid FSSAI license.
News,Milk,National Enforcement Drive on Milk Adulteration,targets,milk,2,1,0.925,https://www.newkerala.com/news/o/fssai-orders-nationwide-enforcement-drive-curb-adulteration-milk-paneer-339,enforcement drive against adulteration and misbranding of milk
News,Milk,seizure of 3800kg mango pulp,targets,mango pulp,2,1,0.95,https://timesofindia.indiatimes.com/city/pune/pune-fda-seizes-over-3800kg-of-adulterated-mango-pulp/articleshow/130152672.cms,"seized over 3,800 kg of adulterated mango pulp"
News,Milk,improvement notice,issuedby,FSSAI,2,1,0.9,https://scroll.in/article/1093546/indias-food-regulator-flagged-over-160-misleading-claims-years-later-120-are-still-around?utm_source=rss&utm_medium=public,the regulator had already issued improvement notices to the companies
News,Milk,special surveillance and enforcement drive,issuedby,FSSAI,2,1,0.9,https://www.newkerala.com/news/o/fssai-directs-states-uts-launch-drive-against-adulteration-milk-474,FSSAI had announced a special surveillance and enforcement drive
News,Milk,ban on sale of energy drinks to children,targets,energy drinks,2,1,0.95,https://indianexpress.com/article/cities/chandigarh/punjab-fda-flags-1420-failed-food-samples-hc-compliance-report-bans-energy-drinks-near-schools-10169092/,banning the sale of energy drinks to children
News,Oil,Seizure of Suji,targets,Suji,2,1,0.95,https://www.healthandme.com/nutrition/kanpur-food-adulteration-fssai-seizes-14000l-of-oil-1320kg-rotten-dates-and-more-ahead-of-festive-season-article-153707864,"seized 25,000 kg of Suji"
News,Oil,raid on edible oil hoarding,issuedby,Vigilance and Enforcement Wing,2,1,0.925,https://www.thehindu.com/news/cities/Visakhapatnam/vigilance-officials-conduct-raids-to-check-hoarding-of-edible-oil/article65202544.ece,"Officials of the Vigilance and Enforcement Wing conducted raids on the hoarding of edible oil by unscrupulous traders at various places in the city and district, on Monday."
News,Oil,ban on exports of de-oiled rice bran,targets,de-oiled rice bran,2,1,0.925,https://www.bombaynews.net/news/274385248/edible-oil-industry-urges-centre-not-to-extend-export-ban-on-de-oiled-rice-bran,ban on the exports of de-oiled rice bran
News,Oil,palm oil import ban through Kerala ports,targets,palm oil,2,1,0.925,https://www.thehindubusinessline.com/economy/agri-business/trade-bodies-oppose-extending-palm-oil-import-ban-in-kerala-ports/article66337873.ece,import ban on palm oil through ports in the State
News,Oil,seizure of suspected adulterated mawa,issuedby,Department of Food Safety Administration,2,1,0.9,https://www.freepressjournal.in/bhopal/bhopal-news-27-quintals-of-suspected-adulterated-mawa-seized-ahead-of-holi,Department of Food Safety Administration seized approximately 27 quintals of mawa
News,Oil,License suspension of Ahmednagar outlet,issuedby,Maharashtra FDA,2,1,0.95,https://timesofindia.indiatimes.com/business/india-business/use-only-milk-based-real-cheese-mcdonalds-says-after-maharashtra-fda-accuses-fast-food-giant-of-using-vegetable-oil/articleshow/107958419.cms,Maharashtra FDA has suspended the license of a McDonald's outlet in Ahmednagar
News,Oil,Export ban on palm oil,targets,palm oil,2,1,0.875,https://www.livemint.com/market/commodities/indonesia-to-lift-palm-oil-export-ban-from-monday-president-joko-widodo-11652955600773.html,"The export ban, designed to cool the domestic price of cooking oil"
News,Oil,Ban on palm oil imports through Kerala ports,targets,palm oil,2,1,0.95,https://www.thehindubusinessline.com/markets/commodities/dgft-extends-ban-on-palm-oil-imports-through-kerala-ports/article66332719.ece,The Government banned the import of palm group of oils through Kerala ports
News,Oil,urgent inquiry directive,issuedby,State Human Rights Commission,2,1,0.9,https://www.thehindu.com/news/national/kerala/sale-of-adulterated-coconut-oil-farmers-elated-over-shrcs-intervention/article70651539.ece,Commission directed the Food Safety Commissioner to conduct an urgent inquiry
News,Oil,Mumbai crackdown,issuedby,Maharashtra FDA,2,1,0.875,https://thelogicalindian.com/festive-food-safety-drive-maharashtra-fda-destroys-218-kg-fake-paneer-478-litres-unsafe-milk-in-mumbai/,Maharashtra FDA's ongoing crackdown exemplifies essential enforcement
News,Oil,Operation Oil,issuedby,food safety department,2,1,0.925,https://timesofindia.indiatimes.com/city/thiruvananthapuram/govt-cracks-down-on-sale-of-adulterated-coconut-oil/articleshow/95568940.cms,The food safety department has launched a special drive... Named Operation Oil
News,Oil,License suspension of Kedgaon branch,issuedby,FDA,2,1,0.9,https://timesofindia.indiatimes.com/india/fast-food-giant-replacing-cheese-with-cheaper-vegetable-oil-maharashtra-fda/articleshow/107923964.cms,the outlet's license was suspended
News,Oil,"ban on futures trade of wheat, paddy, chana, mustard seeds, soya bean, crude palm oil and moong",issuedby,Sebi,2,1,0.95,https://www.financialexpress.com/market/commodities/edible-oil-makers-urge-for-lifting-of-futures-trade-ban-on-crude-palm-oil-and-soy-oil-on-commodity-exchanges/2664648/,"Sebi had banned futures trade of wheat, paddy (non-basmati), chana, mustard seeds, soya bean, crude palm oil and moong"
News,Ghee,Supreme Court,triggeredaction,CBI-led investigation into the laddu prasadam issue,1,1,0.9,https://www.bombaynews.net/news/274781301/andhra-pradesh-sit-reaches-tirupati-to-probe-adulteration-in-ghee-used-in-srivari-laddu-prasadam,Supreme Court ordered a CBI-led investigation into the laddu prasadam issue
News,Ghee,formation of a one-member committee,targets,Tirumala laddus,1,1,0.8,https://www.thehansindia.com/andhra-pradesh/cm-chandrababu-announces-formation-of-committee-over-tirumala-ghee-adulteration-1045777,committee to investigate claims of adulterated ghee being used in the preparation of Tirumala laddus
News,Ghee,ED raids,issuedby,Enforcement Directorate,1,1,0.95,https://www.bombaynews.net/news/274997747/ed-raids-nine-places-in-madhya-pradesh-over-export-of-adulterated-milk-products-in-india-6-countries-abroad,The Enforcement Directorate (ED) on Wednesday conducted searches
News,Ghee,TTD,triggeredaction,blacklisting of the contractor,1,1,0.85,https://www.hindustantimes.com/india-news/tirupati-laddus-row-never-supplied-ghee-to-tirupati-temple-says-amul-101726849108427.html,the blacklisting of the contractor was initiated
News,Ghee,ghee adulteration incident,triggeredaction,suspension of FSSAI licence,1,1,0.85,https://www.thehindu.com/news/national/tamil-nadu/tirupati-laddu-row-madras-high-court-sets-aside-suspension-of-fssai-licence-of-dindigul-based-ar-dairy-food/article69582960.ece,suspension of the Food Safety and Standards Authority of India (FSSAI) licence
News,Ghee,suspension of FSSAI licence,issuedby,central licensing authority,1,1,0.9,https://www.thehindu.com/news/national/tamil-nadu/tirupati-laddu-row-madras-high-court-sets-aside-suspension-of-fssai-licence-of-dindigul-based-ar-dairy-food/article69582960.ece,suspension order passed by the central licensing authority
News,Ghee,show cause notice regarding licence suspension,issuedby,FSSAI,1,1,0.95,https://www.newdelhinews.net/news/274669202/madras-high-court-directs-fssai-to-issue-supplementary-notice-to-ar-dairy-food-over-tirupati-laddu-row,FSSAI issued a show cause notice seeking an explanation from the company
News,Ghee,Seizure of misbranded Ayurvedic medicines,issuedby,Maharashtra Food and Drug Administration,1,1,0.95,https://www.freepressjournal.in/mumbai/maharashtra-fda-seizes-7324-lakh-worth-of-misbranded-ayurvedic-medicines-in-statewide-crackdown-commissioner-tukaram-mundhe-warns-of-tougher-action,"The Maharashtra Food and Drug Administration (FDA) has intensified its enforcement drive against misleading health products, seizing misbranded Ayurvedic medicines"
News,Ghee,Warning against misleading advertisements,issuedby,Maharashtra Food and Drug Administration,1,1,0.9,https://www.freepressjournal.in/mumbai/maharashtra-fda-seizes-7324-lakh-worth-of-misbranded-ayurvedic-medicines-in-statewide-crackdown-commissioner-tukaram-mundhe-warns-of-tougher-action,Commissioner Tukaram Mundhe issued a stern warning
News,Ghee,suspension of three dairy licences,targets,ghee,1,1,0.9,https://www.freepressjournal.in/indore/indore-news-3-dairy-licences-suspended-in-ghee-adulteration-crackdown,suspended three dairy licences after detecting largescale irregularities in ghee
News,Ghee,SIT investigation,issuedby,Andhra government,1,1,0.9,https://www.newindianexpress.com/states/andhra-pradesh/2024/Sep/27/andhra-government-sets-up-sit-to-probe-ghee-adulteration,The State government formally issued orders constituting the Special Investigation Team
News,Ghee,SIT investigation,targets,Laddu Prasadam,1,1,0.85,https://www.newindianexpress.com/states/andhra-pradesh/2024/Sep/27/andhra-government-sets-up-sit-to-probe-ghee-adulteration,investigation into the alleged use of adulterated ghee in the preparation of Laddu Prasadam
News,Ghee,ghee seizure,targets,ghee,1,1,0.95,https://www.thehansindia.com/andhra-pradesh/low-quality-of-ghee-used-at-simhachalam-temple-908850,945-kg of ghee was seized by the officials
News,Ghee,issuance of notices,issuedby,licensing authorities,1,1,0.85,https://www.sentinelassam.com/business/ad-monitoring-panel-of-fssai-reports-32-cases-violating-regulations-647727,referred to the licensing authorities concernedfor issuance of notices
