food,adulterant_or_substitute,news_triplet_rows,news_distinct_articles,mean_model_confidence,confidence_weighted_article_support,fssai_baseline_direct_pair_rows,fssai_baseline_candidate_mentions,fssai_baseline_candidate_method_rows,news_candidate_method_rows,fssai_baseline_method_examples,news_method_examples,news_health_relation_articles,locally_linked_effects,baseline_gap_class,test_coverage_class,priority_score_0_100,priority_interpretation,example_url,example_evidence
everest fish curry masala,ethylene oxide,4,3,0.95,2.85,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,80.73,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/india/indian-spices-not-banned-in-singapore-and-hong-kong-govt/articleshow/112334804.cms,recalled 'Everest' fish curry masala due to the presence of ethylene oxide
Milk,palm oil family,16,12,0.8812,10.7,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,80.68,heuristic discovery rank; not a prevalence or risk estimate,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,Refined palm oil and soybean oil were used as cheaper substitutes for milk fat
Sunflower oil,palm oil family,13,10,0.9,8.9,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,80.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/nation/2022/nov/17/27-per-cent-samples-of-edible-oil-other-food-items-from-4-firms-in-thane-found-adulterated-fda-2519197.html,palmolein oil was mixed in products sold as sunflower
vegetables,oxytocin,5,3,0.94,2.85,0,0,0,0,,,7,dizziness (2); headaches (2); heart failure (2); infertility (2); health risk to young children (1); side effects on humans (1); cancer/carcinogenicity (1); renal failure (1),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,80.38,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/news/videos/milk-ghee-veggies-masala-tainted-raghav-chadha-flags-food-adulteration-in-rs/videoshow/127905488.cms,"vegetables, and garam masala are tainted with urea, synthetic colors, vegetable oil, oxytocin"
Milk,water,34,26,0.9176,24.1,0,335,1,75,Concentrates of fruit nectar --inputto--> physical removal of water,"Water test --producesindicator--> ghee floats; warm water test --producesindicator--> lathering; warm water dissolution test --producesindicator--> milky, cloudy, or frothy water; toor dal water test --producesindicator--> water turns light red; Water test --producesindicator--> ghee sinks",8,death (6); diarrhoea (4); cardiac arrest (2); gastrointestinal illness (1); typhoid fever (1); vomiting (1); sudden collapse (1); illness (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,79.89,heuristic discovery rank; not a prevalence or risk estimate,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"Water was the most common adulterant, added to expand supply"
Khoya/mawa,detergent,5,4,0.89,3.6,0,0,0,18,,detergent --detectedby--> arhar dal test; detergent --detectedby--> soybean powder test; detergent --detectedby--> froth test; detergent --detectedby--> water froth test; detergent --detectedby--> shaking test,8,organ damage (3); gastrointestinal illness (1); stomach irritation (1); vomiting (1); diarrhoea (1); serious health risks (1); gastrointestinal discomfort (1); irritate the digestive tract (1),candidate not represented in FSSAI baseline,method signal occurs in news only,79.83,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Khoya is often mixed with starch or detergent to cut costs.
Milk,pesticide residue,4,4,0.8875,3.55,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,79.74,heuristic discovery rank; not a prevalence or risk estimate,https://www.freepressjournal.in/india/man-mother-allegedly-kill-2-children-before-custody-handover-die-by-suicide-in-keralas-kannur,milk laced with pesticides
curry powder masala,ethylene oxide,4,2,0.95,1.9,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,79.18,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide
everest spice mix,ethylene oxide,2,2,0.95,1.9,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,79.18,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"Singapore ordered a recall of the Everest spice mix, stating: Ethylene oxide is a pesticide"
fresh vegetables,pesticide residue,2,2,0.95,1.9,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,79.18,heuristic discovery rank; not a prevalence or risk estimate,https://assamtribune.com/guwahati/assam-food-safety-raids-uncover-illegal-fruit-ripening-unsafe-food-products-1612781,harmful pesticide residue were detected in 19 out of 83 fresh vegetables
khowa,starch,2,2,0.95,1.9,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,79.18,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/ranchi/fssai-is-working-towards-felicitating-whistle-blowers-who-report-adulteration/articleshow/121853932.cms,starch ... in paneer and khowa
madras curry powder,ethylene oxide,3,2,0.95,1.9,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,79.18,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide
sambhar masala,ethylene oxide,3,2,0.95,1.9,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,79.18,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide
Ghee,urea,3,3,0.9,2.7,0,3,0,12,,urea --detectedby--> bromothymol blue test; urea --detectedby--> water froth test; urea --detectedby--> magic kits; urea --detectedby--> water test for urea/detergent; urea --detectedby--> colorimetric detection,11,kidney damage (2); organ damage (2); liver damage (2); renal failure (2); stomach irritation (1); multi-organ failure (1); digestive system damage (1); cancer/carcinogenicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,78.98,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/etimes/trending/deadly-substances-found-in-fake-ghee-factory-found-mimicking-leading-brands-in-alarming-scam/articleshow/117276930.cms,"mixing hazardous ingredients like urea, palm oil, and synthetic essences"
tea,pesticide residue,3,3,0.9,2.7,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,78.98,heuristic discovery rank; not a prevalence or risk estimate,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,"tea, fruits, and vegetables — many of which contained pesticide residues"
eggs,antibiotic residue,2,2,0.925,1.85,0,1,0,0,,,5,evolution of drug resistant superbugs (2); toxicities (2); c difficile infection (1); diarrhoea (1); serious harmful effects on human health (1),"candidate represented, but food-adulterant relation absent",no candidate-specific method relation represented,78.3,heuristic discovery rank; not a prevalence or risk estimate,https://www.dnaindia.com/health/report-zee-media-zara-sochiye-campaign-makes-you-think-about-food-adulteration-not-once-but-twice-3200012,Eggs Scientific studies have reported: • Antibiotic residues
Edible/cooking oil,total polar compounds,4,3,0.875,2.65,0,0,0,3,,oil-monitoring systems --producesindicator--> total polar compounds; total polar compounds --detectedby--> polarimeter devices; Total Polar Compounds --detectedby--> AOAC Official Method 982.27,8,cancer/carcinogenicity (4); hypertension (4); atherosclerosis (4); alzheimer s (3); liver disease (2); healtheffect_tpc_injury (1); liver ailments (1); clogged arteries (1),candidate not represented in FSSAI baseline,method signal occurs in news only,78.1,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-fast-food-joint-s-cooking-oil-fails-quality-test-say-health-dept-101764785730988.html,Tests showed the oil had Total Polar Compounds (TPC) above permissible limits
Tirupati laddu,palm oil family,9,5,0.9222,4.6,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.94,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindubusinessline.com/news/ed-to-probe-money-laundering-in-adulterated-tirupati-laddu-scam/article70616167.ece,"mixture of vegetable oils, specifically palm oil"
spice mixes,ethylene oxide,5,2,0.91,1.85,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,77.78,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,The spice mixes contained high levels of ethylene oxide
Soybean oil,palm oil family,5,4,0.94,3.8,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.58,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/nation/2022/nov/17/27-per-cent-samples-of-edible-oil-other-food-items-from-4-firms-in-thane-found-adulterated-fda-2519197.html,palmolein oil was mixed in products sold as sunflower and soyabean oils
Milk,oxytocin,2,2,0.9,1.8,0,0,0,0,,,7,dizziness (2); headaches (2); heart failure (2); infertility (2); health risk to young children (1); side effects on humans (1); cancer/carcinogenicity (1); renal failure (1),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/cities/delhi-news/delhi-hc-slams-officials-over-failure-to-ensure-dairies-follow-norms-101715189838942.html,This is the sort of milk that is being used in the production of sweets and chocolates and they are today not being examined by any statutory authorities. Oxytocin is rampant over there which is a banned drug.
curry powder,ethylene oxide,2,2,0.9,1.8,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,ethylene oxide in guar gum and curry powder from India
edible oils,heavy metals,2,2,0.9,1.8,0,1,0,0,,,6,cancer/carcinogenicity (3); kidney damage (2); neurological effects (1); chronic kidney disease (1); neurological problems (1); kidney issues (1); long term exposure to heavy metals (1),"candidate represented, but food-adulterant relation absent",no candidate-specific method relation represented,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,"presence of Aflatoxins, pesticide residues and heavy metals"
edible oils,pesticide residue,2,2,0.9,1.8,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,"presence of Aflatoxins, pesticide residues and heavy metals"
guar gum,ethylene oxide,2,2,0.9,1.8,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,ethylene oxide in guar gum
mithai,starch,2,2,0.9,1.8,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,many shop-bought mithai contain adulterants like starch
protein powder,lead,2,2,0.9,1.8,0,2,0,2,,lead --detectedby--> ICP-MS; IncidentFinding: Lead Contamination in Bengaluru Vegetables --identifies--> lead,6,kidney damage (2); behavioral changes (1); iq reduction (1); health issues (1); risks affecting growth (1); impaired brain development (1); impaired learning (1); serious health risks (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/etimes/wellness/taking-protein-powder-the-hidden-dangers-no-one-tells-you/photostory/131463925.cms,protein powders... had dangerously high levels of the toxic heavy metal lead
protein powder,pesticide residue,2,2,0.9,1.8,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.43,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/blogs/toi-edit-page/hey-kids-binge-on-sugar-no-ones-watching/,"reputable brands contained fungal toxins, pesticide residues"
Khoya/mawa,palm oil family,4,4,0.925,3.7,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,77.06,heuristic discovery rank; not a prevalence or risk estimate,https://www.freepressjournal.in/bhopal/beware-before-buying-raksha-bandhan-sweets-over-400-places-making-adulterated-mawa-in-madhya-pradesh-check-how-to-test-real-vs-fake,cheap palm oil or low-quality oil is mixed
