term,category,source,use,reason,review_excel_row,original_label,composite_score,total_frequency,document_frequency,example_article_title
adulteration,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,5,keep_core,0.617065,15,8,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
fake,fraud,manual_addition,query_component,High-value fraud term; useful for phrases like fake mustard oil.,,,,,,
food adulteration,fraud,review_workbook,combine_only,Fraud/adulteration signal for combination with oil-product terms.,7,keep_core,0.521004,7,6,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
substandard,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,54,manual_review,0.203985,6,3,Over 4 lakh litres seized in drive against substandard edible oil in UP
ban,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,56,manual_review,0.170734,5,1,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India
banned,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,59,manual_review,0.135774,3,1,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India
commissioner of food safety,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,42,manual_review,0.298478,2,1,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India
crackdown,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,55,manual_review,0.181645,4,4,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
food safety,enforcement,review_workbook,combine_only,Enforcement/evidence signal for high-precision news queries.,4,keep_core,0.673846,22,7,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
food safety and standards,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,20,manual_review,0.321436,3,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
food safety commission,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,51,manual_review,0.293298,1,1,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India
food safety department,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,10,keep_core,0.47398,5,4,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
food safety designated officers,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,34,manual_review,0.300317,1,1,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India
food safety officer,enforcement,manual_addition,query_component,Better complete phrase than fragment 'safety officer'.,,,,,,
food safety officers,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,36,manual_review,0.299752,1,1,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
food safety officials,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,39,manual_review,0.298942,1,1,Tea to ice-creams: Food adulteration on the rise in Hyderabad | Hyderabad News - Times of India
fsda,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,86,drop,0.334367,9,2,Over 4 lakh litres seized in drive against substandard edible oil in UP
fssai,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,52,manual_review,0.248461,5,3,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
raid,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,53,manual_review,0.237341,9,4,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
raids,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,57,manual_review,0.150634,3,2,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
seized,enforcement,review_workbook,query_component,Enforcement/evidence signal for high-precision news queries.,3,keep_core,0.698145,24,6,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
seizure,enforcement,manual_addition,query_component,Headline/query variant of seized.,,,,,,
edible oils,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,84,drop,0.351913,3,2,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
major crackdown,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,145,drop,0.072024,2,2,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
oil,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,13,manual_review,0.982842,56,8,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
oil manufacturing,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,85,drop,0.350284,3,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
oil manufacturing unit,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,88,drop,0.315976,2,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
raided,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,99,drop,0.196814,6,3,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
samples,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,16,manual_review,0.541738,11,5,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
seizing,support_only,review_workbook,do_not_query_alone,Kept only as a helper term; avoid standalone Media Cloud queries.,107,drop,0.13432,3,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
