keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context
mustard oil,phrase_frequency; tfidf; yake,3,1.0,4,2,0.134029,0.971328,0.071429,0.222222,0.43379,oil/product,keep_core,clear edible-oil product term found in sample text,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...for testing. On February 22, in a major crackdown on food adulteration in Deoria district, FSDA team raided a mustard oil manufacturing unit. Suspected adulteration materials seized, including 400 litres of refined soybean oil foun..."
oil,phrase_frequency; tfidf; yake,3,1.0,56,8,1.0,0.998036,1.0,0.888889,0.982842,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil..."
edible,phrase_frequency; tfidf; yake,3,1.0,13,5,0.322571,0.972945,0.232143,0.555556,0.574291,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food a..."
ghee,phrase_frequency; tfidf; yake,3,1.0,13,1,0.426577,0.97478,0.232143,0.111111,0.544485,oil/product,manual_review,ghee can drift into dairy; keep only if you want oil-and-ghee coverage,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...he Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated..."
samples,phrase_frequency; tfidf; yake,3,1.0,11,5,0.25265,0.962049,0.196429,0.555556,0.541738,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...and oil were being manufactured and packaged on a large scale. During the operation, officials collected 13 samples for testing and seized over 14,000 kilograms of suspected adulterated products. The main accused reportedly f..."
oils,phrase_frequency; tfidf; yake,3,1.0,7,5,0.181912,0.974488,0.125,0.555556,0.509375,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte..."
adulterated ghee,phrase_frequency; tfidf; yake,3,1.0,10,1,0.328136,0.992367,0.178571,0.111111,0.506392,incident/action phrase,manual_review,ghee can drift into dairy; keep only if you want oil-and-ghee coverage,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...tion under the Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated..."
food safety officer,phrase_frequency; tfidf; yake,3,1.0,3,2,0.115178,0.997055,0.053571,0.222222,0.430945,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...ed Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwasara. According to Kadwasara, all ghee and oil samples have been sent to the Jaipur laborator..."
food safety and standards,yake,1,0.333333,3,2,0.0,0.986933,0.053571,0.222222,0.321436,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...le oils. During the raid, five samples of adulterated ghee and oil were collected under the provisions of the Food Safety and Standards Act (FSS Act). Authorities seized approximately 10,260 kilograms of adulterated ghee, palm oil, soybean oil,..."
adulterated food products,yake,1,0.333333,2,2,0.0,0.992532,0.035714,0.222222,0.320157,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,...and officials are exploring possible links to a wider network involved in the production and distribution of adulterated food products across the region.
food safety commissioner,yake,1,0.333333,2,2,0.0,0.992424,0.035714,0.222222,0.32013,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...Officer (CMHO) Jaisalmer, Dr. Rajendra Kumar Paliwal, said the raid was carried out under the directions of Food Safety Commissioner Dr. T. Shubhamangala Rajasthan and under the leadership of Additional Commissioner (Food Safety) Bhagwat Sing..."
litres of edible oil,yake,1,0.333333,3,2,0.0,0.96604,0.053571,0.222222,0.316213,oil/product,manual_review,food/product term is relevant but not strong enough alone,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"Lucknow, Feb 28 (PTI) The Uttar Pradesh Food Safety and Drug Administration (FSDA) has seized 4,16,494 litres of edible oil of suspect or substandard quality, estimated to be worth approximately Rs 6.43 crore. FSDA has launched an in..."
adulterated ghee and oil,yake,1,0.333333,5,1,0.0,0.988218,0.089286,0.111111,0.310447,incident/action phrase,manual_review,incident/action phrase needs human pruning,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...tion under the Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and..."
ghee and oil,yake,1,0.333333,7,1,0.0,0.961117,0.125,0.111111,0.309029,oil/product,manual_review,food/product term is relevant but not strong enough alone,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...he Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and..."
jaisalmer food safety officer,yake,1,0.333333,1,1,0.0,0.996329,0.017857,0.111111,0.301761,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwasara. According to Kadwasara, all ghee and oil samples have been sent to the Jaipur laborator..."
food safety officer sanjay,yake,1,0.333333,1,1,0.0,0.992833,0.017857,0.111111,0.300887,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...seized mawa, valued at Rs 3.42 lakh, was transported to a rubbish disposal plant and destroyed. According to food safety officer Sanjay Pratap Singh, the action was taken in compliance with the directions of Cans the district magistrate. The spe..."
food safety department sarvesh,yake,1,0.333333,1,1,0.0,0.99258,0.017857,0.111111,0.300823,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,"...igation. âWe sent a team to take the samples which will be sent for lab tests,â assistant commissioner of the food safety department Sarvesh Mishra said. This is not the first time adulterated food products have entered the markets. In March, six sam..."
food safety officer kishanaram,yake,1,0.333333,1,1,0.0,0.992355,0.017857,0.111111,0.300767,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...ed Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwasara. According to Kadwasara, all ghee and oil samples have been sent to the Jaipur laboratory for analy..."
food safety officers vinod,yake,1,0.333333,1,1,0.0,0.992355,0.017857,0.111111,0.300767,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...food adulteration that poses a serious threat to public health. The operation was carried out by Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanara..."
jaipur-based food safety officers,yake,1,0.333333,1,1,0.0,0.992355,0.017857,0.111111,0.300767,incident/action phrase,manual_review,incident/action phrase needs human pruning,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...large-scale food adulteration that poses a serious threat to public health. The operation was carried out by Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kis..."
food safety department destroyed,yake,1,0.333333,1,1,0.0,0.991432,0.017857,0.111111,0.300537,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,".... The seized contaminated khoya was disposed of at the waste disposal plant in Govindnagar. In Barabanki, the Food Safety Department destroyed 60 kg of khoya, 250 litres of milk, 60 kg of spices, 370 kg of kachri-papad, and 90 kg of chenna. Ten samples..."
seizing adulterated food items,yake,1,0.333333,1,1,0.0,0.991067,0.017857,0.111111,0.300445,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...e Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources..."
food safety designated officers,yake,1,0.333333,1,1,0.0,0.990552,0.017857,0.111111,0.300317,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...Rajamanickam issued the ban after noticing that these brands of oil were being sold in the market though the food safety designated officers had banned them in some districts. Kera Matha, Kerala Nanma, Venma Pure, Kera Sampoornam, Kera choice, Kera..."
jaisalmer food safety,yake,1,0.333333,1,1,0.0,0.989767,0.017857,0.111111,0.30012,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwasara. According to Kadwasara, all ghee and oil samples have been sent to the Jaipur l..."
food safety officers,yake,1,0.333333,1,1,0.0,0.988296,0.017857,0.111111,0.299752,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...food adulteration that poses a serious threat to public health. The operation was carried out by Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kis..."
food safety department headquarters,yake,1,0.333333,1,1,0.0,0.987839,0.017857,0.111111,0.299638,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...as the largest crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokaran, where adulterated ghe..."
uttar pradesh food safety,yake,1,0.333333,1,1,0.0,0.985713,0.017857,0.111111,0.299107,incident/action phrase,manual_review,incident/action phrase needs human pruning,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"Lucknow, Feb 28 (PTI) The Uttar Pradesh Food Safety and Drug Administration (FSDA) has seized 4,16,494 litres of edible oil of suspect or substandard quality, es..."
food safety officials,yake,1,0.333333,1,1,0.0,0.985055,0.017857,0.111111,0.298942,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,9,Tea to ice-creams: Food adulteration on the rise in Hyderabad | Hyderabad News - Times of India,https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,"...derabad on top in food adulteration, among 19 Indian cities, with 246 cases being reported in 2022. âGHMC and food safety officials must intensify their raids against food products and check the quality. People also need to be aware of these..."
seizing adulterated food,yake,1,0.333333,1,1,0.0,0.984126,0.017857,0.111111,0.29871,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...e Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, s..."
kera nice coconut oil,yake,1,0.333333,1,1,0.0,0.983238,0.017857,0.111111,0.298488,oil/product,manual_review,food/product term is relevant but not strong enough alone,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...eri Brand, Coco Menma, Annapoorna Nadan, Kera Tasty, Kera Valley, Famous, Haritha Giri, Orange, N K Janasree, Kera Nice coconut oil, Malabar Supreme, Grand Kuttiyadi, Kerala Rich were banned on Thursday. The ban has been imposed based on th..."
commissioner of food safety,yake,1,0.333333,2,1,0.0,0.972482,0.035714,0.111111,0.298478,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"THIRUVANANTHAPURAM: In a major drive against adulteration of coconut oil, the office of commissioner of food safety has issued a ban on 45 brands of coconut oil, which were found to be substandard. Food safety commissioner M..."
jaipur-based food safety,yake,1,0.333333,1,1,0.0,0.981906,0.017857,0.111111,0.298155,incident/action phrase,manual_review,incident/action phrase needs human pruning,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...large-scale food adulteration that poses a serious threat to public health. The operation was carried out by Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Of..."
edible oil worth,yake,1,0.333333,2,1,0.0,0.970902,0.035714,0.111111,0.298083,oil/product,manual_review,food/product term is relevant but not strong enough alone,6,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...of Holi, the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team rai..."
pradesh food safety,yake,1,0.333333,1,1,0.0,0.98125,0.017857,0.111111,0.297991,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"Lucknow, Feb 28 (PTI) The Uttar Pradesh Food Safety and Drug Administration (FSDA) has seized 4,16,494 litres of edible oil of suspect or substandard quality, es..."
adulterated food items,yake,1,0.333333,1,1,0.0,0.98081,0.017857,0.111111,0.297881,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources..."
food safety designated,yake,1,0.333333,1,1,0.0,0.978621,0.017857,0.111111,0.297334,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...Rajamanickam issued the ban after noticing that these brands of oil were being sold in the market though the food safety designated officers had banned them in some districts. Kera Matha, Kerala Nanma, Venma Pure, Kera Sampoornam, Kera choi..."
edible oil manufacturing units,yake,1,0.333333,1,1,0.0,0.9755,0.017857,0.111111,0.296553,oil/product,manual_review,food/product term is relevant but not strong enough alone,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...in a post on X. The department said that 58 inter-district teams were formed and deployed on the field and 64 edible oil manufacturing units were inspected. “Eight units were found closed during the inspection, while 56 units were found operational,..."
adulterated foods,yake,1,0.333333,1,1,0.0,0.963394,0.017857,0.111111,0.293527,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,9,Tea to ice-creams: Food adulteration on the rise in Hyderabad | Hyderabad News - Times of India,https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,"...cium carbide is being used for ripening of mangoes. There are plenty of bad quality oils as well. Most of the adulterated foods are either substandard or unsafe,â said E Sudershan Reddy, designated food official, GHMC. âIf traders are fo..."
adulterated food business,yake,1,0.333333,1,1,0.0,0.963191,0.017857,0.111111,0.293476,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...ained and questioned. Investigators suspect the operation may be linked to a larger syndicate involved in the adulterated food business, with possible additional warehouses operating in Pokaran and nearby rural areas. Confirming the action, Chie..."
