term,category,query_role,use,source,source_round_number,next_round_target,reason,original_review_label,original_category,composite_score,document_frequency,total_frequency,methods_found,example_article_title,example_context,example_url
refined oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.039122,2,7,phrase_frequency,Health dept seizes 352 boxes of refined oil after 6 hospitalised,Health dept seizes 352 boxes of refined oil after 6 hospitalised Test results show Vitamin D toxicity in patients who hail from 2 Rajpura villages; accor...,https://www.hindustantimes.com/cities/chandigarh-news/health-dept-seizes-352-boxes-of-refined-oil-after-6-hospitalised-101745259236048.html
rice bran oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.113308,10,15,phrase_frequency; tfidf,185 spurious mustard oil cans seized in Burrabazar | Kolkata News - Times of India,"...e premises of three edible oil traders in the Posta region after receiving complaints that they were blending rice bran oil with deadly dyes and chemicals and repacking them as mustard oil and selling them at Rs 160 per litre, almost...",https://timesofindia.indiatimes.com/city/kolkata/185-spurious-mustard-oil-cans-seized-in-burrabazar/articleshow/87938067.cms
soyabean oil,oil/product,product,query_component,manual_addition,1,2,Spelling variant approved by user.,,,,,,,,,
soybean oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.109817,11,12,phrase_frequency; tfidf,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"...Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on Monday. C D Salunkhe, the joint commissioner of FDA, Nashik, said they had received...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
sunflower oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.051633,8,9,phrase_frequency,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality","...ros. These different oils were: mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran oil, sesame oil, corn oil, flaxseed oil and any other no...",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/
adulterated,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.261524,34,97,phrase_frequency; tfidf,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",NAGPUR: Tehsil police on Tuesday busted an adulterated edible oil manufacturing unit and booked three persons in this connection. The cops led by senior PI Jayesh...,https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms
adulterated oil,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.114349,9,14,phrase_frequency; tfidf,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India","...three persons in this connection. The cops led by senior PI Jayesh Bhandarkar also seized a huge quantity of adulterated oil being marketed by labelling it as a product by reputed brands. During the raid, police found around 28 15-lit...",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms
adulteration,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.204375,26,61,phrase_frequency; tfidf,SPECS presents report on adulteration in Mustard Oil,"By Our Staff Reporter Dehradun, 28 Oct: SPECS held a campaign on testing of adulteration in Mustard oil from June to September. Volunteers collected 469 samples from Dehradun, Vikas Nagar, Doiwala,...",https://garhwalpost.in/specs-presents-report-on-adulteration-in-mustard-oil/
counterfeit,fraud/adulteration,fraud_signal,query_component,manual_addition,1,2,Approved by user for Round 2 recall.,,,,,,,,,
fake,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.157096,11,41,phrase_frequency; tfidf,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India","...t as a product by reputed brands. During the raid, police found around 28 15-litre tins of impure edible oil, fake stickers and other material. The police have booked three â Prem Gagwani (58, a resident of Badkas Chowk, Mah...",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms
oil adulterated,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.088115,2,3,phrase_frequency; tfidf,"FDA busts fake edible oil racket, 1,925 litres seized | Nagpur News - Times of India","...he branded companies. The oil the racketeers were selling may be dangerous for health. To lure customers, the oil adulterated was being sold at lower prices,â the officials said. âSamples of the oil seized during the raid would be sent...",https://timesofindia.indiatimes.com/city/nagpur/fda-busts-fake-edible-oil-racket-1925-litres-seized/articleshow/93957827.cms
spurious,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.111726,7,14,phrase_frequency; tfidf,SPECS presents report on adulteration in Mustard Oil,"...palms and rub it. If there are any traces of colour and some chemical smell, then it means oil contains some spurious substance. Boil some oil and, if the top layer is full of effervescence means adulteration. Also, take a samp...",https://garhwalpost.in/specs-presents-report-on-adulteration-in-mustard-oil/
substandard,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,manual_review,adulteration/fraud,0.14829,15,29,phrase_frequency; tfidf,Patanjali mustard oil found to be of substandard food quality: Rajasthan govt,"Patanjali mustard oil found to be of substandard food quality: Rajasthan govt According to the Rajasthan government, mustard oil sold by Baba Ramdev's company...",https://www.indiatoday.in/india/rajasthan/story/patanjali-mustard-oil-substandard-quality-rajasthan-govt-1812995-2021-06-10?utm_source=rss
substandard quality,fraud/adulteration,fraud_signal,query_component,review_workbook_keep_1,1,2,Fraud/adulteration signal for Round 2 Boolean query fraud group.,drop,adulteration/fraud,0.046867,6,6,phrase_frequency,Patanjali mustard oil found to be of substandard food quality: Rajasthan govt,"...ds Authority Laboratory in Alwar. Mustard oil sold by Baba Ramdev’s company Patanjali has been found to be of substandard quality, the Rajasthan government claimed on Wednesday. According to the state government, five samples of mustard oi...",https://www.indiatoday.in/india/rajasthan/story/patanjali-mustard-oil-substandard-quality-rajasthan-govt-1812995-2021-06-10?utm_source=rss
unsafe,fraud/adulteration,fraud_signal,query_component,manual_addition,1,2,Approved by user for Round 2 recall.,,,,,,,,,
argemone oil,adulterant/mixing,adulterant_or_mixing_signal,query_component,manual_addition,1,2,Known adulterant signal found in relevant articles.,,,,,,,,,
blending,adulterant/mixing,adulterant_or_mixing_signal,query_component,manual_addition,1,2,Blending/adulteration phrase approved by user.,,,,,,,,,
mineral oil,adulterant/mixing,adulterant_or_mixing_signal,query_component,manual_addition,1,2,Known adulterant signal found in relevant articles.,,,,,,,,,
mixed with,adulterant/mixing,adulterant_or_mixing_signal,query_component,manual_addition,1,2,Mixing/adulteration phrase approved by user.,,,,,,,,,
crackdown,enforcement/evidence,enforcement_signal,query_component,manual_addition,1,2,Approved by user for enforcement-style queries.,,,,,,,,,
lab test,enforcement/evidence,enforcement_signal,query_component,manual_addition,1,2,Testing/evidence phrase approved by user.,,,,,,,,,
oil seized,enforcement/evidence,enforcement_signal,query_component,review_workbook_keep_1,1,2,Enforcement/evidence signal for Round 2 Boolean query enforcement group.,manual_review,enforcement/evidence,0.101538,2,2,phrase_frequency; tfidf,"FDA busts fake edible oil racket, 1,925 litres seized | Nagpur News - Times of India",".... To lure customers, the oil adulterated was being sold at lower prices,â the officials said. âSamples of the oil seized during the raid would be sent to government laboratory for analysis. Action would be initiated based on the f...",https://timesofindia.indiatimes.com/city/nagpur/fda-busts-fake-edible-oil-racket-1925-litres-seized/articleshow/93957827.cms
quality test,enforcement/evidence,enforcement_signal,query_component,manual_addition,1,2,Testing/evidence phrase approved by user.,,,,,,,,,
seizure,enforcement/evidence,enforcement_signal,query_component,manual_addition,1,2,Noun variant of seized approved by user.,,,,,,,,,
fda,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.149559,8,31,phrase_frequency; tfidf,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth ov...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
food safety,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.389095,52,125,phrase_frequency; tfidf; yake,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"...hose into manufacturing should ensure that the edible oil is stored in hygienic conditions. In this case, our food safety officers found that the concerned owner was not just far from observing hygienic practices during the manufac...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
food safety department,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.20758,10,20,phrase_frequency; tfidf; yake,"Loose Cooking Oil Seized, Fir Lodged Against Proprietor | Indore News - Times of India","...n suspicion adulteration. Acting on a complaint, collector Manish Singh and ADM Abhay Bedekar had instructed food safety department to carry out an inspection at M/S Sangeeta Traders in Tigariya. âIn the inspection, the team found sale, pack...",https://timesofindia.indiatimes.com/city/indore/loose-cooking-oil-seized-fir-lodged-against-proprietor/articleshow/93627772.cms
food safety officer,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.127313,6,7,phrase_frequency; yake,Fsda Busts Unit Making Adulterated Vegetable Oil | Varanasi News - Times of India,...il was being packed in containers of prominent mustard and soyabean oil brands including Fortune and Saloni. Food safety officer Ramesh Singh said that during the raid it was found that by contaminating essence and other chemicals with ri...,https://timesofindia.indiatimes.com/city/varanasi/fsda-busts-unit-making-adulterated-vegetable-oil/articleshow/91716833.cms
food safety officers,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.181307,7,9,phrase_frequency; tfidf; yake,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"...hose into manufacturing should ensure that the edible oil is stored in hygienic conditions. In this case, our food safety officers found that the concerned owner was not just far from observing hygienic practices during the manufacturing pr...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
food safety officials,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.123057,4,6,phrase_frequency; yake,"Unsafe cooking oil, food items disposed of | Vadodara News - The Times of India","...several times. Food items cooked in oil that should have been discarded and the oil itself were disposed of. Food safety officials of the civic body checked 10 shops, 10 handcarts, and one restaurant in different parts of the city. The cook...",https://timesofindia.indiatimes.com/city/vadodara/unsafe-cooking-oil-food-items-disposed-of/articleshow/118691575.cms
food safety standards,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.192557,5,5,phrase_frequency; tfidf; yake,"Uttarakhand: A year on, mustard oil manufacturer, supplier penalised for adulteration | Dehradun News - Times of India","In a matter of violation of food safety standards, a local court in Pauri penalised a supplier and a manufacturer of mustard oil with Rs 3 lakh, holding them g...",https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-a-year-on-mustard-oil-manufacturer-supplier-penalised-for-adulteration/articleshow/94903787.cms
fssai,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.165856,18,40,phrase_frequency; tfidf,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,"...ers of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegeta...",https://economictimes.indiatimes.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/articleshow/83373116.cms
raid,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.140691,16,22,phrase_frequency; tfidf,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"...iolating the government rules of manufacturing oil and not storing the edible oil in hygienic conditions. The raid was conducted by food officers S S Deore, A U Raskar under the guidance of Salunkhe and assistant commissione...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
raided,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,drop,other_candidate,0.121326,13,15,phrase_frequency; tfidf,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
raids,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.142378,12,22,phrase_frequency; tfidf,â¹50-lakh Worth Edible Oil Seized | Visakhapatnam News - Times of India,"VISAKHAPATNAM: Vigilance and enforcement personnel conducted raids on traders and seized 47,141 liters of edible oil from a wholesale dealer at Narsipatnam. The value of seize...",https://timesofindia.indiatimes.com/city/visakhapatnam/50-lakh-worth-edible-oil-seized/articleshow/90063876.cms
seized,enforcement/evidence,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,enforcement/evidence,0.260074,39,84,phrase_frequency; tfidf,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on Monday. C D Salunkhe, the joint...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
adulterated coconut oil,incident/action phrase,exact_incident_phrase,query_component,review_workbook_keep_1,1,2,Exact incident phrase useful for high-precision query variants.,manual_review,incident/action phrase,0.178681,4,10,phrase_frequency; tfidf; yake,Govt Cracks Down On Sale Of Adulterated Coconut Oil | Thiruvananthapuram News - Times of India,"...hapuram: The food safety department has launched a special drive across the state as part of its crackdown on adulterated coconut oil. Named Operation Oil, searches have been conducted in as many as 100 locations across the state, health and f...",https://timesofindia.indiatimes.com/city/thiruvananthapuram/govt-cracks-down-on-sale-of-adulterated-coconut-oil/articleshow/95568940.cms
adulterated cooking oil,incident/action phrase,exact_incident_phrase,query_component,review_workbook_keep_1,1,2,Exact incident phrase useful for high-precision query variants.,manual_review,incident/action phrase,0.094556,4,6,phrase_frequency; tfidf,How to identify fake cooking oil? (FSSAI recommended tips) - Times of India,"...than has tweeted on X (formerly Twitter). In the past, the apex food regulator of the country has seized such adulterated cooking oil manufacturers. Here arises an important question, what is fake cooking oil? How to identify whether the cooki...",https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/how-to-identify-fake-cooking-oil-fssai-recommended-tips/articleshow/110694766.cms
adulterated edible oil,incident/action phrase,exact_incident_phrase,query_component,review_workbook_keep_1,1,2,Exact incident phrase useful for high-precision query variants.,manual_review,incident/action phrase,0.182963,6,9,phrase_frequency; tfidf; yake,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",NAGPUR: Tehsil police on Tuesday busted an adulterated edible oil manufacturing unit and booked three persons in this connection. The cops led by senior PI Jayesh Bhandarkar...,https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms
fake cooking oil,incident/action phrase,exact_incident_phrase,query_component,review_workbook_keep_1,1,2,Exact incident phrase useful for high-precision query variants.,manual_review,incident/action phrase,0.045889,5,10,phrase_frequency,"Govt seizes 18,000 litres of fake cooking oil: Why they can be harmful, and tips to identify them","...The medical and health department of Ajmer seized the fake oil with duplicated labels of famous brands. “The fake cooking oil was being prepared by using duplicated labels of various famous brands by misbranding these items, along with...",https://indianexpress.com/article/lifestyle/food-wine/govt-seizes-fake-cooking-oil-harms-how-to-identify-9369475/
oil,support/other,combine_only,combine_only,review_workbook_keep_1,1,2,Useful only when combined with product/fraud/enforcement terms; do not query alone.,manual_review,other_candidate,0.792872,73,587,phrase_frequency; tfidf; yake,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
