keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count
food safety standards,phrase_frequency; tfidf; yake,3,1.0,5,5,0.098327,0.187461,0.008518,0.066667,0.192557,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,20,"Uttarakhand: A year on, mustard oil manufacturer, supplier penalised for adulteration | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-a-year-on-mustard-oil-manufacturer-supplier-penalised-for-adulteration/articleshow/94903787.cms,"In a matter of violation of food safety standards, a local court in Pauri penalised a supplier and a manufacturer of mustard oil with Rs 3 lakh, holding them g...",1,2,human_relevant_articles_only,75,eb3b142c-6ac9-4bde-af89-1afe8de3ee90,timesofindia.indiatimes.com,indiatimes.com,2022-10-17,relevant,184
adulterated edible oil,phrase_frequency; tfidf; yake,3,1.0,9,6,0.062302,0.18743,0.015332,0.08,0.182963,incident/action phrase,manual_review,incident/action phrase needs human pruning,6,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,NAGPUR: Tehsil police on Tuesday busted an adulterated edible oil manufacturing unit and booked three persons in this connection. The cops led by senior PI Jayesh Bhandarkar...,1,2,human_relevant_articles_only,75,0d9a2856-24c4-4691-9b90-a08bca13e55c,timesofindia.indiatimes.com,indiatimes.com,2021-06-17,relevant,186
food safety officers,phrase_frequency; tfidf; yake,3,1.0,9,7,0.051845,0.187447,0.015332,0.093333,0.181307,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"...hose into manufacturing should ensure that the edible oil is stored in hygienic conditions. In this case, our food safety officers found that the concerned owner was not just far from observing hygienic practices during the manufacturing pr...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
adulterated coconut oil,phrase_frequency; tfidf; yake,3,1.0,10,4,0.060793,0.187391,0.017036,0.053333,0.178681,incident/action phrase,manual_review,incident/action phrase needs human pruning,21,Govt Cracks Down On Sale Of Adulterated Coconut Oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/govt-cracks-down-on-sale-of-adulterated-coconut-oil/articleshow/95568940.cms,"...hapuram: The food safety department has launched a special drive across the state as part of its crackdown on adulterated coconut oil. Named Operation Oil, searches have been conducted in as many as 100 locations across the state, health and f...",1,2,human_relevant_articles_only,75,8c7f8bf5-eba8-4f7d-a077-0accf3e8da22,timesofindia.indiatimes.com,indiatimes.com,2022-11-17,relevant,264
fssai,phrase_frequency; tfidf,2,0.666667,40,18,0.151337,0.0,0.068143,0.24,0.165856,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,https://economictimes.indiatimes.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/articleshow/83373116.cms,"...ers of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegeta...",1,2,human_relevant_articles_only,75,068350a9-1c36-48c8-8fcd-7e5e55a45d21,economictimes.indiatimes.com,indiatimes.com,2021-06-09,relevant,107
fake,phrase_frequency; tfidf,2,0.666667,41,11,0.165578,0.0,0.069847,0.146667,0.157096,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,6,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,"...t as a product by reputed brands. During the raid, police found around 28 15-litre tins of impure edible oil, fake stickers and other material. The police have booked three â Prem Gagwani (58, a resident of Badkas Chowk, Mah...",1,2,human_relevant_articles_only,75,0d9a2856-24c4-4691-9b90-a08bca13e55c,timesofindia.indiatimes.com,indiatimes.com,2021-06-17,relevant,186
fda,phrase_frequency; tfidf,2,0.666667,31,8,0.168489,0.0,0.052811,0.106667,0.149559,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth ov...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
substandard,phrase_frequency; tfidf,2,0.666667,29,15,0.126321,0.0,0.049404,0.2,0.14829,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,5,Patanjali mustard oil found to be of substandard food quality: Rajasthan govt,https://www.indiatoday.in/india/rajasthan/story/patanjali-mustard-oil-substandard-quality-rajasthan-govt-1812995-2021-06-10?utm_source=rss,"Patanjali mustard oil found to be of substandard food quality: Rajasthan govt According to the Rajasthan government, mustard oil sold by Baba Ramdev's company...",1,2,human_relevant_articles_only,75,0fd9131c-7e9d-40c2-86f0-cd90978f26de,indiatoday.in,indiatoday.in,2021-06-10,relevant,259
raids,phrase_frequency; tfidf,2,0.666667,22,12,0.131685,0.0,0.037479,0.16,0.142378,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,11,â¹50-lakh Worth Edible Oil Seized | Visakhapatnam News - Times of India,https://timesofindia.indiatimes.com/city/visakhapatnam/50-lakh-worth-edible-oil-seized/articleshow/90063876.cms,"VISAKHAPATNAM: Vigilance and enforcement personnel conducted raids on traders and seized 47,141 liters of edible oil from a wholesale dealer at Narsipatnam. The value of seize...",1,2,human_relevant_articles_only,75,b14d8624-e18f-4656-90fb-fbd591b0fd91,timesofindia.indiatimes.com,indiatimes.com,2022-03-08,relevant,71
raid,phrase_frequency; tfidf,2,0.666667,22,16,0.104008,0.0,0.037479,0.213333,0.140691,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"...iolating the government rules of manufacturing oil and not storing the edible oil in hygienic conditions. The raid was conducted by food officers S S Deore, A U Raskar under the guidance of Salunkhe and assistant commissione...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
food safety officer,phrase_frequency; yake,2,0.666667,7,6,0.0,0.18743,0.011925,0.08,0.127313,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,13,Fsda Busts Unit Making Adulterated Vegetable Oil | Varanasi News - Times of India,https://timesofindia.indiatimes.com/city/varanasi/fsda-busts-unit-making-adulterated-vegetable-oil/articleshow/91716833.cms,...il was being packed in containers of prominent mustard and soyabean oil brands including Fortune and Saloni. Food safety officer Ramesh Singh said that during the raid it was found that by contaminating essence and other chemicals with ri...,1,2,human_relevant_articles_only,75,cad0c95e-f99c-43bf-95e4-731ad620386c,timesofindia.indiatimes.com,indiatimes.com,2022-05-22,relevant,238
palm oil,phrase_frequency; tfidf,2,0.666667,18,13,0.083307,0.0,0.030664,0.173333,0.126424,oil/product,manual_review,food/product term is relevant but not strong enough alone,9,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,"...rs of various states from 587 districts and four metros. These different oils were: mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran...",1,2,human_relevant_articles_only,75,6dd945a7-2197-4323-b3dc-7b84b6513e2c,financialexpress.com,financialexpress.com,2021-12-29,relevant,466
food safety officials,phrase_frequency; yake,2,0.666667,6,4,0.0,0.187429,0.010221,0.053333,0.123057,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,33,"Unsafe cooking oil, food items disposed of | Vadodara News - The Times of India",https://timesofindia.indiatimes.com/city/vadodara/unsafe-cooking-oil-food-items-disposed-of/articleshow/118691575.cms,"...several times. Food items cooked in oil that should have been discarded and the oil itself were disposed of. Food safety officials of the civic body checked 10 shops, 10 handcarts, and one restaurant in different parts of the city. The cook...",1,2,human_relevant_articles_only,75,123b80bc-2f62-4cb0-bddf-d75e3fd9e490,timesofindia.indiatimes.com,indiatimes.com,2025-03-04,relevant,167
adulterated oil,phrase_frequency; tfidf,2,0.666667,14,9,0.074585,0.0,0.02385,0.12,0.114349,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,6,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,"...three persons in this connection. The cops led by senior PI Jayesh Bhandarkar also seized a huge quantity of adulterated oil being marketed by labelling it as a product by reputed brands. During the raid, police found around 28 15-lit...",1,2,human_relevant_articles_only,75,0d9a2856-24c4-4691-9b90-a08bca13e55c,timesofindia.indiatimes.com,indiatimes.com,2021-06-17,relevant,186
rice bran oil,phrase_frequency; tfidf,2,0.666667,15,10,0.065167,0.0,0.025554,0.133333,0.113308,oil/product,manual_review,food/product term is relevant but not strong enough alone,8,185 spurious mustard oil cans seized in Burrabazar | Kolkata News - Times of India,https://timesofindia.indiatimes.com/city/kolkata/185-spurious-mustard-oil-cans-seized-in-burrabazar/articleshow/87938067.cms,"...e premises of three edible oil traders in the Posta region after receiving complaints that they were blending rice bran oil with deadly dyes and chemicals and repacking them as mustard oil and selling them at Rs 160 per litre, almost...",1,2,human_relevant_articles_only,75,64217ea7-1449-4966-8d6d-4251d3416f7f,timesofindia.indiatimes.com,indiatimes.com,2021-11-27,relevant,527
spurious,phrase_frequency; tfidf,2,0.666667,14,7,0.078519,0.0,0.02385,0.093333,0.111726,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,7,SPECS presents report on adulteration in Mustard Oil,https://garhwalpost.in/specs-presents-report-on-adulteration-in-mustard-oil/,"...palms and rub it. If there are any traces of colour and some chemical smell, then it means oil contains some spurious substance. Boil some oil and, if the top layer is full of effervescence means adulteration. Also, take a samp...",1,2,human_relevant_articles_only,75,126dd605-80a2-4c79-8f67-9c58cc4d3180,garhwalpost.in,garhwalpost.in,2021-10-30,relevant,336
soybean oil,phrase_frequency; tfidf,2,0.666667,12,11,0.051668,0.0,0.020443,0.146667,0.109817,oil/product,manual_review,food/product term is relevant but not strong enough alone,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"...Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on Monday. C D Salunkhe, the joint commissioner of FDA, Nashik, said they had received...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
adulterated edible,phrase_frequency; tfidf,2,0.666667,11,8,0.068915,0.0,0.018739,0.106667,0.109598,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,6,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,NAGPUR: Tehsil police on Tuesday busted an adulterated edible oil manufacturing unit and booked three persons in this connection. The cops led by senior PI Jayesh Bhandar...,1,2,human_relevant_articles_only,75,0d9a2856-24c4-4691-9b90-a08bca13e55c,timesofindia.indiatimes.com,indiatimes.com,2021-06-17,relevant,186
rajasthan by the food,yake,1,0.333333,1,1,0.0,0.282609,0.001704,0.013333,0.106241,location,manual_review,location term; useful only if we decide to add geography-specific queries,26,Fake Edible Oil Ingredients: 6 harmful ingredients found in fake edible oil | - Times of India,https://timesofindia.indiatimes.com/life-style/food-news/harmful-ingredients-in-fake-edible-oil/articleshow/110737364.cms,"...ly, a disturbing incident underscored this threat when 18,000 litres of fake edible oil were seized in Ajmer, Rajasthan by the Food Safety and Standards Association of India (FSSAI) which highlights the ongoing threat posed by food adulterat...",1,2,human_relevant_articles_only,75,94696d19-9209-4b6b-b108-f0a8afb99c70,timesofindia.indiatimes.com,indiatimes.com,2024-06-05,relevant,502
fake cooking,phrase_frequency; tfidf,2,0.666667,15,5,0.064198,0.0,0.025554,0.066667,0.102969,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,24,"Govt seizes 18,000 litres of fake cooking oil: Why they can be harmful, and tips to identify them",https://indianexpress.com/article/lifestyle/food-wine/govt-seizes-fake-cooking-oil-harms-how-to-identify-9369475/,"...The medical and health department of Ajmer seized the fake oil with duplicated labels of famous brands. “The fake cooking oil was being prepared by using duplicated labels of various famous brands by misbranding these items, along...",1,2,human_relevant_articles_only,75,5c3b4f65-1119-4cb7-9bf5-8dccd568b46b,indianexpress.com,indianexpress.com,2024-06-04,relevant,438
oil seized,phrase_frequency; tfidf,2,0.666667,2,2,0.086743,0.0,0.003407,0.026667,0.101538,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,17,"FDA busts fake edible oil racket, 1,925 litres seized | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/fda-busts-fake-edible-oil-racket-1925-litres-seized/articleshow/93957827.cms,".... To lure customers, the oil adulterated was being sold at lower prices,â the officials said. âSamples of the oil seized during the raid would be sent to government laboratory for analysis. Action would be initiated based on the f...",1,2,human_relevant_articles_only,75,fa712594-d1fe-493a-8d11-d28646d5f5e2,timesofindia.indiatimes.com,indiatimes.com,2022-09-03,relevant,249
adulterated coconut,phrase_frequency; tfidf,2,0.666667,11,4,0.067085,0.0,0.018739,0.053333,0.100957,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,21,Govt Cracks Down On Sale Of Adulterated Coconut Oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/govt-cracks-down-on-sale-of-adulterated-coconut-oil/articleshow/95568940.cms,"...hapuram: The food safety department has launched a special drive across the state as part of its crackdown on adulterated coconut oil. Named Operation Oil, searches have been conducted in as many as 100 locations across the state, health a...",1,2,human_relevant_articles_only,75,8c7f8bf5-eba8-4f7d-a077-0accf3e8da22,timesofindia.indiatimes.com,indiatimes.com,2022-11-17,relevant,264
adulterated cooking,phrase_frequency; tfidf,2,0.666667,7,4,0.056094,0.0,0.011925,0.053333,0.096088,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,25,How to identify fake cooking oil? (FSSAI recommended tips) - Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/how-to-identify-fake-cooking-oil-fssai-recommended-tips/articleshow/110694766.cms,"...than has tweeted on X (formerly Twitter). In the past, the apex food regulator of the country has seized such adulterated cooking oil manufacturers. Here arises an important question, what is fake cooking oil? How to identify whether the c...",1,2,human_relevant_articles_only,75,99b5db5b-fd0d-4faf-9385-c0cba2b528d3,timesofindia.indiatimes.com,indiatimes.com,2024-06-04,relevant,705
inspection drive,phrase_frequency; tfidf,2,0.666667,7,5,0.049552,0.0,0.011925,0.066667,0.095799,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,https://economictimes.indiatimes.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/articleshow/83373116.cms,"...e 8 asking all the Commissioners of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of...",1,2,human_relevant_articles_only,75,068350a9-1c36-48c8-8fcd-7e5e55a45d21,economictimes.indiatimes.com,indiatimes.com,2021-06-09,relevant,107
adulterated cooking oil,phrase_frequency; tfidf,2,0.666667,6,4,0.052445,0.0,0.010221,0.053333,0.094556,incident/action phrase,manual_review,incident/action phrase needs human pruning,25,How to identify fake cooking oil? (FSSAI recommended tips) - Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/how-to-identify-fake-cooking-oil-fssai-recommended-tips/articleshow/110694766.cms,"...than has tweeted on X (formerly Twitter). In the past, the apex food regulator of the country has seized such adulterated cooking oil manufacturers. Here arises an important question, what is fake cooking oil? How to identify whether the cooki...",1,2,human_relevant_articles_only,75,99b5db5b-fd0d-4faf-9385-c0cba2b528d3,timesofindia.indiatimes.com,indiatimes.com,2024-06-04,relevant,705
oil adulterated,phrase_frequency; tfidf,2,0.666667,3,2,0.047663,0.0,0.005111,0.026667,0.088115,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,17,"FDA busts fake edible oil racket, 1,925 litres seized | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/fda-busts-fake-edible-oil-racket-1925-litres-seized/articleshow/93957827.cms,"...he branded companies. The oil the racketeers were selling may be dangerous for health. To lure customers, the oil adulterated was being sold at lower prices,â the officials said. âSamples of the oil seized during the raid would be sent...",1,2,human_relevant_articles_only,75,fa712594-d1fe-493a-8d11-d28646d5f5e2,timesofindia.indiatimes.com,indiatimes.com,2022-09-03,relevant,249
oil used in india,yake,1,0.333333,1,1,0.0,0.207784,0.001704,0.013333,0.087535,location,manual_review,location term; useful only if we decide to add geography-specific queries,28,Indians love their mustard oil but it is banned in the US; this is why,https://indianexpress.com/article/lifestyle/food-wine/indians-mustard-oil-spices-banned-us-west-why-9378439/,"...arbhavi, Bangalore, explained that studies on animals suggested it might harm the heart. However, the mustard oil used in India often has lower levels of erucic acid, and consumption patterns differ. She added that Indian cuisine uses sm...",1,2,human_relevant_articles_only,75,d31b2352-dff7-41b8-ac10-811bedd4abd7,indianexpress.com,indianexpress.com,2024-06-26,relevant,430
samples sent,phrase_frequency; tfidf,2,0.666667,1,1,0.049562,0.0,0.001704,0.013333,0.086269,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,34,"Crackdown on food adulteration: 112 kg rice bran oil destroyed, substandard sauces seized in Lucknow",https://www.hindustantimes.com/cities/lucknow-news/crackdown-on-food-adulteration-112-kg-rice-bran-oil-destroyed-substandard-sauces-seized-in-lucknow-101741721802362.html,"...ow Upon examination, the FSDA team found that the vegetable and soy sauces were adulterated with potato pulp; samples sent for analysis LUCKNOW The Food Safety and Drug Administration (FSDA) conducted multiple raids across the city...",1,2,human_relevant_articles_only,75,09aee8d2-8c4b-4390-b931-468a413fb0fb,hindustantimes.com,hindustantimes.com,2025-03-12,relevant,471
sunflower oil,phrase_frequency,1,0.333333,9,8,0.0,0.0,0.015332,0.106667,0.051633,oil/product,manual_review,food/product term is relevant but not strong enough alone,9,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,"...ros. These different oils were: mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran oil, sesame oil, corn oil, flaxseed oil and any other no...",1,2,human_relevant_articles_only,75,6dd945a7-2197-4323-b3dc-7b84b6513e2c,financialexpress.com,financialexpress.com,2021-12-29,relevant,466
groundnut oil,phrase_frequency,1,0.333333,7,7,0.0,0.0,0.011925,0.093333,0.049122,oil/product,manual_review,food/product term is relevant but not strong enough alone,9,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,"...: mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran oil, sesame oil, corn oil, flaxseed oil and any other non-listed oils. These samples w...",1,2,human_relevant_articles_only,75,6dd945a7-2197-4323-b3dc-7b84b6513e2c,financialexpress.com,financialexpress.com,2021-12-29,relevant,466
