round_number,final_keep,final_human_label,title,source,date,url,domain,oil_role,model_final_label,model_confidence,reason,evidence_phrase,query_family,query_id,human_review_status,word_count
1,1,relevant,"Loose Cooking Oil Seized, Fir Lodged Against Proprietor | Indore News - Times of India",indiatimes.com,2022-08-18,https://timesofindia.indiatimes.com/city/indore/loose-cooking-oil-seized-fir-lodged-against-proprietor/articleshow/93627772.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Cooking oil is itself the adulterated product.,"seized soyabean oil worth Rs 34,500 on suspicion adulteration",boolean,boolean_core_oils_fraud,human_reviewed,110
1,1,relevant,"FDA busts fake edible oil racket, 1,925 litres seized | Nagpur News - Times of India",indiatimes.com,2022-09-03,https://timesofindia.indiatimes.com/city/nagpur/fda-busts-fake-edible-oil-racket-1925-litres-seized/articleshow/93957827.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,"1,925 litres of inferior quality oil worth Rs2.77 lakh",boolean,boolean_core_oils_fraud,human_reviewed,249
1,1,relevant,FDA adopts zero-tolerance policy for edible oil sold loose and in reused tins | Nagpur News - Times of India,indiatimes.com,2022-10-04,https://timesofindia.indiatimes.com/city/nagpur/fda-adopts-zero-tolerance-policy-for-edible-oil-sold-loose-and-in-reused-tins/articleshow/94628169.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,"LLM reading: edible oil is itself the adulterated product, not just an adulterant in another food","seized 2,075 kgs of edible oils worth more than Rs 2.99 lakhs",boolean,boolean_core_oils_fraud,human_reviewed,323
1,1,relevant,"16,600 Kg Mustard Oil Seized In Vki | Jaipur News - Times of India",indiatimes.com,2022-10-14,https://timesofindia.indiatimes.com/city/jaipur/16600-kg-mustard-oil-seized-in-vki/articleshow/94848908.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Mustard oil is the adulterated product,166 quintals of mustard oil in Vishwakarma Industrial (VKI) area on suspicion that they were adulterated,title_only,title_oils_enforcement,human_reviewed,115
1,1,relevant,"Uttarakhand: A year on, mustard oil manufacturer, supplier penalised for adulteration | Dehradun News - Times of India",indiatimes.com,2022-10-17,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-a-year-on-mustard-oil-manufacturer-supplier-penalised-for-adulteration/articleshow/94903787.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Mustard oil is itself the adulterated food product.,"The samples of sugar, gram flour and mustard oil were sent to the lab for examination. In July 2021, its report came, which suggested that mustard oil was adulterated.",title_only,title_named_oils_fraud,human_reviewed,184
1,1,relevant,Govt Cracks Down On Sale Of Adulterated Coconut Oil | Thiruvananthapuram News - Times of India,indiatimes.com,2022-11-17,https://timesofindia.indiatimes.com/city/thiruvananthapuram/govt-cracks-down-on-sale-of-adulterated-coconut-oil/articleshow/95568940.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: coconut oil is itself adulterated,The food safety department has launched a special drive across the state as part of its crackdown on adulterated coconut oil.,title_only,title_named_oils_fraud,human_reviewed,264
1,1,relevant,Food Dept Seizes 831l Mustard Oil | Kanpur News - Times of India,indiatimes.com,2023-03-06,https://timesofindia.indiatimes.com/city/kanpur/food-dept-seizes-831l-mustard-oil/articleshow/98439612.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Mustard oil is itself the adulterated product,Food security and drug administration department on Sunday seized around 831 litre of mustard oil,title_only,title_oils_enforcement,conflict_resolved,176
1,1,relevant,Food safety department locks and seals two cooking oil mills in Trichy city | Trichy News - Times of India,indiatimes.com,2023-05-28,https://timesofindia.indiatimes.com/city/trichy/food-safety-department-locks-and-seal-two-cooking-oil-mills-in-trichy-city/articleshow/100572169.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: cooking oil is itself adulterated and seized by the authorities,the test results found that the cooking oil was adulterated,boolean,boolean_core_oils_fraud,human_reviewed,289
1,1,relevant,Navi Mumbai: 7 booked for selling adulterated edible oil,mid-day.com,2023-12-07,https://www.mid-day.com/mumbai/mumbai-crime-news/article/navi-mumbai-7-booked-for-selling-adulterated-edible-oil-23323774,mid-day.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,"adulterated edible oil, animal fats and other harmful substances were being mixed in palm oil",boolean,boolean_core_oils_fraud,human_reviewed,120
1,1,relevant,"Govt seizes 18,000 litres of fake cooking oil: Why they can be harmful, and tips to identify them",indianexpress.com,2024-06-04,https://indianexpress.com/article/lifestyle/food-wine/govt-seizes-fake-cooking-oil-harms-how-to-identify-9369475/,indianexpress.com,adulterated_product,relevant,1.0,LLM reading: strictly relevant to adulterated edible oil,"The fake cooking oil was being prepared by using duplicated labels of various famous brands by misbranding these items, along with adulteration,",boolean,boolean_core_oils_fraud,human_reviewed,438
1,1,relevant,How to identify fake cooking oil? (FSSAI recommended tips) - Times of India,indiatimes.com,2024-06-04,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/how-to-identify-fake-cooking-oil-fssai-recommended-tips/articleshow/110694766.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Article discusses identifying fake cooking oil and provides tips for consumers.,"Nearly 18,000 litres of fake cooking oil was seized by the medical department in Ajmer...",boolean,boolean_core_oils_fraud,human_reviewed,705
1,1,relevant,Fake Edible Oil Ingredients: 6 harmful ingredients found in fake edible oil | - Times of India,indiatimes.com,2024-06-05,https://timesofindia.indiatimes.com/life-style/food-news/harmful-ingredients-in-fake-edible-oil/articleshow/110737364.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil itself is adulterated with harmful ingredients,"18,000 litres of fake edible oil were seized in Ajmer, Rajasthan",boolean,boolean_core_oils_fraud,human_reviewed,502
1,1,relevant,Vigilance Raids Target Illegal Edible Oil Hoarding Amid Festival Price Surge | Vijayawada News - The Times of India,indiatimes.com,2024-09-18,https://timesofindia.indiatimes.com/city/vijayawada/vigilance-raids-target-illegal-edible-oil-hoarding-amid-festival-price-surge/articleshow/113467007.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil adulteration incident mentioned,trading of adulterated edible oils,boolean,boolean_core_oils_fraud,human_reviewed,236
1,1,relevant,Adulterated mustard oil behind 3 dropsy deaths in Nabha: report,hindustantimes.com,2024-10-14,https://www.hindustantimes.com/cities/chandigarh-news/adulterated-mustard-oil-behind-3-dropsy-deaths-in-nabha-report-101728847891766.html,hindustantimes.com,adulterated_product,relevant,1.0,LLM reading: adulterated mustard oil is the main subject of the article,The Kharar-based state food lab report has confirmed that mustard oil adulterated with the poisonous argemone mexicana seeds led to the deaths of three members of a family due to dropsy in Nabha last month.,boolean,boolean_named_oils_fraud,human_reviewed,357
1,1,relevant,"Dahod Police Bust Major Spurious Cooking Oil Racket, Seize Goods Worth Over Rs 15 Lakhs | Vadodara News - Times of India",indiatimes.com,2024-12-10,https://timesofindia.indiatimes.com/city/vadodara/dahod-police-bust-major-spurious-cooking-oil-racket-seize-goods-worth-over-rs-15-lakhs/articleshow/116183542.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,"LLM reading: spurious cooking oil seized, suspected palm oil found",suspected spurious cooking oil... a large stock of suspected palm oil,boolean,boolean_core_oils_fraud,human_reviewed,257
1,1,relevant,Hc Questions Lack Of Local Testing Infra For Mustard Oil Adulteration | Chandigarh News - Times of India,indiatimes.com,2024-12-15,https://timesofindia.indiatimes.com/city/chandigarh/hc-questions-lack-of-local-testing-infra-for-mustard-oil-adulteration/articleshow/116327780.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Mustard oil adulteration is the main topic of the article.,"cases of food adulteration rise, especially in edible oils",boolean,boolean_named_oils_fraud,human_reviewed,418
1,1,relevant,"Unsafe cooking oil, food items disposed of | Vadodara News - The Times of India",indiatimes.com,2025-03-04,https://timesofindia.indiatimes.com/city/vadodara/unsafe-cooking-oil-food-items-disposed-of/articleshow/118691575.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: cooking oil itself is adulterated/fake/unsafe,78kg of oil used for frying at these eateries was not fit for consumption,title_only,title_core_oils_fraud,human_reviewed,167
1,1,relevant,"Crackdown on food adulteration: 112 kg rice bran oil destroyed, substandard sauces seized in Lucknow",hindustantimes.com,2025-03-12,https://www.hindustantimes.com/cities/lucknow-news/crackdown-on-food-adulteration-112-kg-rice-bran-oil-destroyed-substandard-sauces-seized-in-lucknow-101741721802362.html,hindustantimes.com,adulterated_product,relevant,1.0,LLM reading: rice bran oil is itself adulterated and destroyed,112kg of rice bran oil that was being manufactured under unhygienic conditions,boolean,boolean_named_oils_fraud,human_reviewed,471
1,1,relevant,Health dept seizes 352 boxes of refined oil after 6 hospitalised,hindustantimes.com,2025-04-22,https://www.hindustantimes.com/cities/chandigarh-news/health-dept-seizes-352-boxes-of-refined-oil-after-6-hospitalised-101745259236048.html,hindustantimes.com,adulterated_product,relevant,1.0,LLM reading: refined oil itself was adulterated with high levels of Vitamin D,preliminary analysis of an oil sample linked to the cases has revealed abnormally high levels of Vitamin D,title_only,title_oils_enforcement,human_reviewed,464
1,1,relevant,AMC seizes 105 tins of suspicious cooking oil from Behrampura - The Times of India,indiatimes.com,2025-04-26,https://timesofindia.indiatimes.com/city/ahmedabad/amc-seizes-105-tins-of-suspicious-cooking-oil-from-behrampura/articleshow/120648762.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Cooking oil is itself the adulterated product.,"Due to suspicions about the cooking oil, 105 tins... were seized.",boolean,boolean_core_oils_fraud,human_reviewed,412
1,1,relevant,Oil purity test: Adulterated mustard oil seized in Ghaziabad: How to check oil purity at home | - The Times of India,indiatimes.com,2025-06-11,https://timesofindia.indiatimes.com/life-style/food-news/adulterated-mustard-oil-seized-in-ghaziabad-how-to-check-oil-purity-at-home/articleshow/121774827.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Mustard oil is itself the adulterated product.,adulterated mustard oil seized in Ghaziabad,boolean,boolean_core_oils_fraud,human_reviewed,332
1,1,relevant,Substandard edible oil found in Nandurbar: Minister warns of action,indianexpress.com,2025-07-07,https://indianexpress.com/article/cities/mumbai/substandard-edible-oil-found-in-nandurbar-minister-warns-of-action-10112216/,indianexpress.com,adulterated_product,relevant,1.0,"LLM reading: edible oil samples failed to meet food safety standards, and action will be taken against the guilty",several edible oil samples collected in Nandurbar district have failed to meet food safety standards,boolean,boolean_core_oils_fraud,human_reviewed,252
1,1,relevant,Court fines 2 for selling adulterated mustard oil in Ghaziabad | Noida News - The Times of India,indiatimes.com,2025-07-26,https://timesofindia.indiatimes.com/city/noida/court-fines-2-for-selling-adulterated-mustard-oil-in-ghaziabad/articleshow/122912688.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: adulterated mustard oil is mentioned as the product being sold and fined upon,storing and selling substandard mustard oil,boolean,boolean_named_oils_fraud,human_reviewed,247
1,1,relevant,16k litres of fake coconut oil seized | Thiruvananthapuram News - Times of India,indiatimes.com,2025-08-14,https://timesofindia.indiatimes.com/city/thiruvananthapuram/16k-litres-of-fake-coconut-oil-seized/articleshow/123288376.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,"LLM reading: coconut oil is itself the adulterated, fake product",16k litres of fake coconut oil seized,boolean,boolean_named_oils_fraud,human_reviewed,132
1,1,relevant,"Kerala seizes 17,000 litres of fake coconut oil, raids intensified ahead of Onam",uniindia.com,2025-08-20,http://www.uniindia.com/kerala-seizes-17-000-litres-of-fake-coconut-oil-raids-intensified-ahead-of-onam/south/news/3550881.html,uniindia.com,adulterated_product,irrelevant,1.0,LLM reading: no mention of edible oil adulteration in article,"Kerala seizes 17,000 litres of fake coconut oil, raids intensified ahead of Onam More News22 Jun 2026 | 3:50 PMKhammam, June 22 (UNI) Telangana Deputy Chi",title_only,title_named_oils_fraud,human_reviewed,287
1,1,relevant,FSDA seizes substandard supply of edible oil worth 30L | Kanpur News - The Times of India,indiatimes.com,2025-10-10,https://timesofindia.indiatimes.com/city/kanpur/fsda-seizes-substandard-supply-of-edible-oil-worth-30l/articleshow/124437838.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,"19,944 litres of edible oil worth Rs 30,22,468 was seized",boolean,boolean_core_oils_fraud,human_reviewed,175
1,1,relevant,Adulterated edible oil worth Rs53L seized in Kanpur raid | Kanpur News - The Times of India,indiatimes.com,2025-10-11,https://timesofindia.indiatimes.com/city/kanpur/adulterated-edible-oil-worth-rs53l-seized-in-kanpur-raid/articleshow/124465364.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated food product,"approximately 35,727 litres of edible oil worth Rs53 lakh",boolean,boolean_core_oils_fraud,human_reviewed,247
1,1,relevant,Maha FDA seizes edible oil worth Rs23L | Nagpur News - The Times of India,indiatimes.com,2025-10-16,https://timesofindia.indiatimes.com/city/nagpur/maha-fda-seizes-edible-oil-worth-rs23l/articleshow/124589903.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is the adulterated product,seized soyabean oil worth Rs22.68 lakh,boolean,boolean_core_oils_fraud,human_reviewed,133
1,1,relevant,Fake Coconut Oil Identity: Signs your coconut oil is fake and how to spot the real one,indiatimes.com,2025-11-03,https://timesofindia.indiatimes.com/life-style/beauty/signs-your-coconut-oil-is-fake-and-how-to-spot-the-real-one/photostory/124849847.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: coconut oil is itself adulterated or fake,adulteration of coconut oil involves the addition of cheaper oils available in the market,boolean,boolean_named_oils_fraud,conflict_resolved,479
1,1,relevant,"Inspection throws up health scare in form of expired foods, fake oil | Jaipur News - The Times of India",indiatimes.com,2025-12-03,https://timesofindia.indiatimes.com/city/jaipur/inspection-throws-up-health-scare-in-form-of-expired-foods-fake-oil/articleshow/125727900.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: fake oil was found during inspection,"In a separate action, food safety officers investigated a complaint of fake Sona Sikka brand groundnut oil allegedly being sold in Jaipur.",boolean,boolean_named_oils_fraud,human_reviewed,259
1,1,relevant,Fake cooking oil supply deal costs Thane businessman Rs 50 lakh,mid-day.com,2026-01-02,https://www.mid-day.com/mumbai/mumbai-crime-news/article/thane-businessman-cheated-of-rs-50-lakh-in-fake-cooking-oil-deal-23610294,mid-day.com,adulterated_product,relevant,1.0,LLM reading: cooking oil is itself the adulterated product,fake cooking oil deal,title_only,title_core_oils_fraud,human_reviewed,123
1,1,relevant,40 liters of unsafe cooking oil and 40 kg rotten tomatoes found in a popular fast food outlet in Jaipur - The Times of India,indiatimes.com,2026-02-13,https://timesofindia.indiatimes.com/life-style/food-news/40-liters-of-unsafe-cooking-oil-and-40-kg-rotten-tomatoes-found-in-a-popular-fast-food-outlet-in-jaipur/articleshow/128305861.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: unsafe cooking oil found in a fast food outlet,higher than permissible levels of total polar compound (TPC) levels in the refined palm cooking oil used for French fries and other items,title_only,title_core_oils_fraud,human_reviewed,335
1,1,relevant,"Food safety teams seize adulterated khoya in Agra, edible oil in Mânagar | Agra News - The Times of India",indiatimes.com,2026-02-22,https://timesofindia.indiatimes.com/city/agra/food-safety-teams-seize-adulterated-khoya-in-agra-edible-oil-in-mnagar/articleshow/128652372.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,"12,000 litres of adulterated edible oil in Muzaffarnagar",boolean,boolean_core_oils_fraud,human_reviewed,243
1,1,relevant,"Coconut Oil Purity Test: FSSAI shares simple trick to detect adulteration in the oil you use for hair, skin and food",indiatimes.com,2026-03-10,https://economictimes.indiatimes.com/news/new-updates/coconut-oil-purity-test-fssai-shares-simple-trick-to-detect-adulteration-in-the-oil-you-use-for-hair-skin-and-food/articleshow/129389742.cms,economictimes.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: coconut oil is itself the adulterated food product,"Coconut Oil Purity Test: FSSAI shares simple trick to detect adulteration in the oil you use for hair, skin and food",boolean,boolean_named_oils_fraud,conflict_resolved,470
1,1,relevant,"Madhapur SOT busts adulterated cooking oil racket, two arrested",etemaaddaily.com,2026-03-10,https://www.en.etemaaddaily.com/world/hyderabad/madhapur-sot-busts-adulterated-cooking-oil-racket-two-arrested:191020,en.etemaaddaily.com,adulterated_product,relevant,1.0,LLM reading: adulterated cooking oil racket busted,Madhapur SOT busts adulterated cooking oil racket,boolean,boolean_core_oils_fraud,human_reviewed,694
1,1,relevant,"Dark discoloration, high TPC levels found in used cooking oil of famous fast food chain: What FSSAI says about the health risks",indiatimes.com,2026-05-05,https://timesofindia.indiatimes.com/life-style/food-news/dark-discoloration-high-tpc-levels-found-in-cooking-oil-of-famous-fast-food-chain-what-fssai-says-about-the-health-risks/articleshow/130833701.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,"LLM reading: Used cooking oil is itself the adulterated food product, with high TPC levels and dark discoloration.",The TPC (Total Polar Compounds) levels in the cooking oil were found to be above permissible limits with dark discoloration.,boolean,boolean_core_oils_fraud,human_reviewed,572
1,1,relevant,Hyderabad: Food safety inspection flags unsafe oil at KFC outlet in Kondapur,siasat.com,2026-05-05,https://www.siasat.com/hyderabad-food-safety-inspection-flags-unsafe-oil-at-kfc-outlet-in-kondapur-3465689/,siasat.com,adulterated_product,relevant,1.0,LLM reading: unsafe cooking oil at KFC outlet,Total Polar Compounds (TPC) levels in the cooking oil were found to be above the permissible limits,proximity,proximity_oil_food_safety,human_reviewed,261
1,1,relevant,"4,000 litres of suspected adulterated oil seized | Kanpur News - The Times of India",indiatimes.com,2026-05-17,https://timesofindia.indiatimes.com/city/kanpur/4000-litres-of-suspected-adulterated-oil-seized/articleshow/131143712.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil was seized as suspected adulterated product,"4,000 litres of suspected adulterated edible oil",boolean,boolean_core_oils_fraud,human_reviewed,195
1,1,relevant,Daltonganj police seize spurious edible oil | Ranchi News - The Times of India,indiatimes.com,2026-06-18,https://timesofindia.indiatimes.com/city/ranchi/daltonganj-police-seize-spurious-edible-oil/articleshow/131829588.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,spurious edible oil of a popular brand was busted,boolean,boolean_core_oils_fraud,human_reviewed,159
1,1,relevant,"Unsafe cooking oil, pungent smell found at KFC in Hyderabad",siasat.com,2026-06-21,https://www.siasat.com/unsafe-cooking-oil-pungent-smell-found-at-kfc-in-hyderabad-3493459/,siasat.com,adulterated_product,relevant,1.0,LLM reading: unsafe cooking oil found at KFC outlet,unsafe cooking oil,boolean,boolean_core_oils_fraud,human_reviewed,138
1,1,relevant,Mumbai: Over 50% edible oils seized in raids found non-certified,freepressjournal.in,2021-02-02,https://www.freepressjournal.in/mumbai/mumbai-over-50-edible-oils-seized-in-raids-found-non-certified,freepressjournal.in,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,More than 50 per cent of edible oils seized by the Food and Drug Administration... have been found to be non-certified,proximity,proximity_mustard_oil_seized,human_reviewed,153
1,1,relevant,Adulteration in edible oil detected ,thehindu.com,2021-04-22,https://www.thehindu.com/news/cities/Tiruchirapalli/adulteration-in-edible-oil-detected/article34386473.ece,thehindu.com,adulterated_product,relevant,1.0,LLM reading: adulteration in edible oil detected,palm oil was found packaged as refined sunflower oil,boolean,boolean_core_oils_fraud,human_reviewed,136
1,1,relevant,"Indore: In ongoing war against adulteration, 3K lt edible oil seized from two units",freepressjournal.in,2021-09-26,https://www.freepressjournal.in/indore/indore-in-ongoing-war-against-adulteration-3k-lt-edible-oil-seizedfrom-two-units,freepressjournal.in,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated food product,"3,000 litres of oil was seized from the two units",title_only,title_core_oils_fraud,human_reviewed,102
1,1,relevant,About 2.42% edible oil samples non-compliant on safety standards,thehindubusinessline.com,2021-12-29,https://www.thehindubusinessline.com/news/about-242-edible-oil-samples-non-compliant-on-safety-standards/article38062922.ece,thehindubusinessline.com,adulterated_product,relevant,0.94,LLM reading: edible oil samples found non-compliant with safety standards,out of the 4461 samples collected about 2.42 per cent samples were found to be non-compliant with safety standards,boolean,boolean_oils_enforcement_evidence,human_reviewed,366
1,1,relevant,Suspected adulterated oil,thehindu.com,2022-03-02,https://www.thehindu.com/news/cities/Tiruchirapalli/food-safety-officials-crack-the-whip-on-adulteration-of-edible-oil-in-tiruchi/article65183634.ece,thehindu.com,adulterated_product,relevant,1.0,LLM reading: edible oil adulteration incident,"a consignment of about 1,150 litres of the two edible oil varieties",boolean,boolean_core_oils_fraud,human_reviewed,305
1,1,relevant,Ganj Basoda: Adulterated Oil surfaces in markets ahead of the festival season,freepressjournal.in,2022-07-29,https://www.freepressjournal.in/bhopal/ganj-basoda-adulterated-oil-surfaces-in-markets-ahead-of-the-festival-season,freepressjournal.in,adulterated_product,relevant,1.0,LLM reading: adulterated edible oil mentioned in the article,the use of low quality and adulterated edible oils has again taken over,boolean,boolean_core_oils_fraud,human_reviewed,289
1,1,relevant,SEA cautions processors on spurious edible oil by mixing glycerine with fatty acids  ,thehindubusinessline.com,2022-08-05,https://www.thehindubusinessline.com/economy/agri-business/sea-cautions-processors-on-spurious-edible-oil-by-mixing-glycerine-with-fatty-acids/article65730930.ece,thehindubusinessline.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,oils obtained by this process is not vegetable oil but synthetic one that is diglyceride in nature,boolean,boolean_core_oils_fraud,human_reviewed,331
1,1,relevant,"With Onam around, adulterated coconut oil floods Kerala market",newindianexpress.com,2022-08-23,https://www.newindianexpress.com/cities/thiruvananthapuram/2022/aug/23/with-onam-around-adulterated-coconut-oil-floods-kerala-market-2490320.html,newindianexpress.com,adulterated_product,relevant,1.0,"LLM reading: coconut oil is itself adulterated, fake, and spurious",adulterated coconut oils are being sold in the state,title_only,title_named_oils_fraud,human_reviewed,262
1,1,relevant,"Video on Sabari coconut oil fake, says Supplyco",thehindu.com,2022-08-30,https://www.thehindu.com/news/cities/Kochi/video-on-sabari-coconut-oil-fake-says-supplyco/article65829695.ece,thehindu.com,adulterated_product,relevant,1.0,LLM reading: Sabari coconut oil is itself the adulterated food product,a video alleging presence of paraffin or mineral oil in its Sabari coconut oil,title_only,title_named_oils_fraud,human_reviewed,262
1,1,relevant,2500 litres of suspected adulterated cooking oil seized,thehindu.com,2022-10-12,https://www.thehindu.com/news/cities/Hyderabad/2500-litres-of-suspected-adulterated-cooking-oil-seized/article66001879.ece,thehindu.com,adulterated_product,relevant,1.0,LLM reading: adulterated cooking oil seized,suspected adulterated cooking oil during a raid,boolean,boolean_core_oils_fraud,human_reviewed,130
